Entity,Code,Year,1st (Real 2011 international dollars)
Australia,AUS,1981,9283.941406
Australia,AUS,1985,9208.149414
Australia,AUS,1989,9159.294922
Australia,AUS,1995,8632.508789
Australia,AUS,2001,9438.12207
Australia,AUS,2003,9546.350586
Australia,AUS,2008,12418.2334
Australia,AUS,2010,12532.04883
Austria,AUT,1994,12501.23438
Austria,AUT,1997,12265.15723
Austria,AUT,2000,13435.9873
Austria,AUT,2004,14563.06152
Belgium,BEL,1985,10302.33887
Belgium,BEL,1988,10634.6748
Belgium,BEL,1992,11227.74707
Belgium,BEL,1995,11347.11426
Belgium,BEL,1997,11488.22559
Belgium,BEL,2000,12141.91309
Canada,CAN,1981,10505.62988
Canada,CAN,1987,11337.20313
Canada,CAN,1991,11477.92676
Canada,CAN,1994,11316.9707
Canada,CAN,1997,11084.3125
Canada,CAN,1998,10864.30859
Canada,CAN,2000,11120.64746
Canada,CAN,2004,11497.86816
Canada,CAN,2007,13013.80273
Canada,CAN,2010,13204.75684
Czech Republic,CZE,1992,6545.183105
Czech Republic,CZE,1996,6947.439941
Czech Republic,CZE,2002,7471.850586
Czech Republic,CZE,2004,7737.567871
Czech Republic,CZE,2007,9489.836914
Czech Republic,CZE,2010,9564.010742
Denmark,DNK,1987,11391.38867
Denmark,DNK,1992,12051.37891
Denmark,DNK,1995,13719.68457
Denmark,DNK,2000,14231.02637
Denmark,DNK,2004,14868.48633
Denmark,DNK,2007,15313.9248
Denmark,DNK,2010,15607.10742
Estonia,EST,2000,2950.541748
Estonia,EST,2004,3887.258789
Estonia,EST,2007,6018.817871
Estonia,EST,2010,5499.611816
Finland,FIN,1987,10746.11523
Finland,FIN,1991,11741.94434
Finland,FIN,1995,10926.96582
Finland,FIN,2000,11275.07227
Finland,FIN,2004,12399.87012
Finland,FIN,2007,13093.18457
Finland,FIN,2010,13570.87988
France,FRA,1978,9137.601563
France,FRA,1984,7978.775879
France,FRA,1989,9623.701172
France,FRA,1994,11129.66113
France,FRA,2000,11365.10352
France,FRA,2005,11349.60938
France,FRA,2010,12643.43652
Germany,DEU,1984,12083.7959
Germany,DEU,1989,14385.18164
Germany,DEU,1994,13053.42773
Germany,DEU,2000,14223.50488
Germany,DEU,2004,13633.49805
Germany,DEU,2007,13375.21191
Germany,DEU,2010,13050.6709
Greece,GRC,1995,5194.652344
Greece,GRC,2000,6480.062988
Greece,GRC,2004,8484.682617
Greece,GRC,2007,9484.925781
Greece,GRC,2010,8083.268555
Hungary,HUN,1991,6015.925781
Hungary,HUN,1994,4590.941895
Hungary,HUN,1999,5040.421875
Hungary,HUN,2005,6278.056641
Hungary,HUN,2007,6318.527832
Hungary,HUN,2009,5836.999512
Hungary,HUN,2012,5376.813477
Iceland,ISL,2004,15440.7373
Iceland,ISL,2007,18051.11133
Iceland,ISL,2010,15260.08301
Ireland,IRL,1987,5609.006348
Ireland,IRL,1994,7273.329102
Ireland,IRL,1995,7355.986328
Ireland,IRL,1996,7754.626953
Ireland,IRL,2000,9182.010742
Ireland,IRL,2004,11180.15527
Ireland,IRL,2007,13493.57324
Ireland,IRL,2010,11923.08105
Israel,ISR,1986,5654.947266
Israel,ISR,1992,6975.257813
Israel,ISR,1997,6128.948242
Israel,ISR,2001,6805.050781
Israel,ISR,2005,5818.088379
Israel,ISR,2007,6394.471191
Israel,ISR,2010,6386.910156
Italy,ITA,1986,7563.703613
Italy,ITA,1987,7752.23877
Italy,ITA,1989,9248.413086
Italy,ITA,1991,9338.93457
Italy,ITA,1993,7658.823242
Italy,ITA,1995,7274.173828
Italy,ITA,1998,7459.995605
Italy,ITA,2000,7913.248535
Italy,ITA,2004,8552.763672
Italy,ITA,2008,9045.957031
Italy,ITA,2010,8558.602539
Luxembourg,LUX,1985,10333.43848
Luxembourg,LUX,1991,15366.42871
Luxembourg,LUX,1994,17275.80078
Luxembourg,LUX,1997,16170.34082
Luxembourg,LUX,2000,17700.05664
Luxembourg,LUX,2004,18668.11328
Luxembourg,LUX,2007,19293.12891
Luxembourg,LUX,2010,19406.79688
Netherlands,NLD,1993,11184.17188
Netherlands,NLD,1999,13969.56836
Netherlands,NLD,2004,13629.82129
Netherlands,NLD,2007,14975.5459
Netherlands,NLD,2010,14918.06348
Norway,NOR,1979,8772.5
Norway,NOR,1986,11278.53027
Norway,NOR,1991,11948.96191
Norway,NOR,1995,11623.89746
Norway,NOR,2000,13956.81055
Norway,NOR,2004,14928.08398
Norway,NOR,2007,16840.57813
Norway,NOR,2010,17611.20508
Poland,POL,1992,5330.751953
Poland,POL,1995,3372.550781
Poland,POL,1999,4569.486328
Poland,POL,2004,4225.366211
Poland,POL,2007,5372.765137
Poland,POL,2010,6233.47168
Slovakia,SVK,1992,6669.532715
Slovakia,SVK,1996,5499.208008
Slovakia,SVK,2004,5668.669922
Slovakia,SVK,2007,7774.612793
Slovakia,SVK,2010,8165.234863
Slovenia,SVN,1997,8499.824219
Slovenia,SVN,1999,8404.735352
Slovenia,SVN,2004,9629.019531
Slovenia,SVN,2007,10061.75293
Slovenia,SVN,2010,9884.419922
Spain,ESP,1980,5208.29834
Spain,ESP,1985,5359.70459
Spain,ESP,1990,6916.381836
