Entity,Code,Year,PopulationTotal_SSP2 (people)
Africa,,1970,368002720
Africa,,1975,420166976
Africa,,1980,482569664
Africa,,1985,553231936
Africa,,1990,634977088
Africa,,1995,720581760
Africa,,2000,810706752
Africa,,2005,910590464
Africa,,2010,1021612672
Africa,,2015,1141314304
Africa,,2020,1267694208
Africa,,2025,1396670336
Africa,,2030,1526196480
Africa,,2035,1654855168
Africa,,2040,1781015424
Africa,,2045,1902342144
Africa,,2050,2017273856
Africa,,2055,2121753984
Africa,,2060,2215744256
Africa,,2065,2300922368
Africa,,2070,2376477184
Africa,,2075,2441858304
Africa,,2080,2497132800
Africa,,2085,2542305536
Africa,,2090,2577286656
Africa,,2095,2603044608
Africa,,2100,2620471808
Asia,,1970,2120421760
Asia,,1975,2376965376
Asia,,1980,2619764224
Asia,,1985,2869767424
Asia,,1990,3179238400
Asia,,1995,3449278720
Asia,,2000,3697089280
Asia,,2005,3922263808
Asia,,2010,4141036032
Asia,,2015,4344922112
Asia,,2020,4531745792
Asia,,2025,4693511168
Asia,,2030,4828026880
Asia,,2035,4937270784
Asia,,2040,5020655104
Asia,,2045,5077730816
Asia,,2050,5106590720
Asia,,2055,5108270592
Asia,,2060,5082706432
Asia,,2065,5035232256
Asia,,2070,4971158528
Asia,,2075,4892130816
Asia,,2080,4799282176
Asia,,2085,4695324672
Asia,,2090,4584994816
Asia,,2095,4470257152
Asia,,2100,4355246592
Europe,,1970,655663680
Europe,,1975,675892352
Europe,,1980,692620608
Europe,,1985,689756736
Europe,,1990,720213760
Europe,,1995,727122048
Europe,,2000,726764992
Europe,,2005,730398528
Europe,,2010,737849088
Europe,,2015,743836160
Europe,,2020,748064192
Europe,,2025,751149504
Europe,,2030,753106176
Europe,,2035,754281344
Europe,,2040,755060544
Europe,,2045,755244032
Europe,,2050,754421888
Europe,,2055,752490112
Europe,,2060,749805248
Europe,,2065,745833344
Europe,,2070,741061376
Europe,,2075,735774336
Europe,,2080,729936448
Europe,,2085,723620672
Europe,,2090,716939584
Europe,,2095,709922304
Europe,,2100,702235200
Latin America and the Caribbean,,1970,286139456
Latin America and the Caribbean,,1975,322829024
Latin America and the Caribbean,,1980,362075648
Latin America and the Caribbean,,1985,399353792
Latin America and the Caribbean,,1990,442775872
Latin America and the Caribbean,,1995,482365024
Latin America and the Caribbean,,2000,521137248
Latin America and the Caribbean,,2005,556704576
Latin America and the Caribbean,,2010,589731008
Latin America and the Caribbean,,2015,621225216
Latin America and the Caribbean,,2020,650960320
Latin America and the Caribbean,,2025,678007104
Latin America and the Caribbean,,2030,701634560
Latin America and the Caribbean,,2035,721547584
Latin America and the Caribbean,,2040,737651008
Latin America and the Caribbean,,2045,749828288
Latin America and the Caribbean,,2050,757877504
Latin America and the Caribbean,,2055,761830848
Latin America and the Caribbean,,2060,762019712
Latin America and the Caribbean,,2065,759260160
Latin America and the Caribbean,,2070,754038784
Latin America and the Caribbean,,2075,746400064
Latin America and the Caribbean,,2080,736548992
Latin America and the Caribbean,,2085,724926208
Latin America and the Caribbean,,2090,711955136
Latin America and the Caribbean,,2095,698160704
Latin America and the Caribbean,,2100,683877568
Northern America,,1970,231180832
Northern America,,1975,242250496
Northern America,,1980,254341968
Northern America,,1985,260318240
Northern America,,1990,281038976
Northern America,,1995,295625952
Northern America,,2000,313163872
Northern America,,2005,329103712
Northern America,,2010,344400544
Northern America,,2015,357537984
Northern America,,2020,371371744
Northern America,,2025,385679456
Northern America,,2030,399712960
Northern America,,2035,413034272
Northern America,,2040,425366016
Northern America,,2045,436598752
Northern America,,2050,447317024
Northern America,,2055,458282656
Northern America,,2060,469713568
Northern America,,2065,480699776
Northern America,,2070,490631808
Northern America,,2075,499210208
Northern America,,2080,506098496
Northern America,,2085,511561728
Northern America,,2090,515685344
Northern America,,2095,518752160
Northern America,,2100,520476160
Oceania,,1970,19334460
Oceania,,1975,21304500
Oceania,,1980,22772240
Oceania,,1985,24264030
Oceania,,1990,26682160
Oceania,,1995,28730170
Oceania,,2000,30790920
Oceania,,2005,33181622
Oceania,,2010,36232968
Oceania,,2015,39085040
Oceania,,2020,41897160
Oceania,,2025,44710752
Oceania,,2030,47437880
Oceania,,2035,50018600
Oceania,,2040,52450020
Oceania,,2045,54748448
Oceania,,2050,56915088
Oceania,,2055,58959828
Oceania,,2060,60855400
Oceania,,2065,62471052
Oceania,,2070,63796712
Oceania,,2075,64838200
Oceania,,2080,65602048
Oceania,,2085,66077532
Oceania,,2090,66271080
Oceania,,2095,66210024
Oceania,,2100,65927436
World,OWID_WRL,1970,3680742912
World,OWID_WRL,1975,4059408640
World,OWID_WRL,1980,4434144256
World,OWID_WRL,1985,4796691968
World,OWID_WRL,1990,5284926464
World,OWID_WRL,1995,5703703552
World,OWID_WRL,2000,6099653120
World,OWID_WRL,2005,6482242560
World,OWID_WRL,2010,6870862336
World,OWID_WRL,2015,7247920640
World,OWID_WRL,2020,7611734016
World,OWID_WRL,2025,7949728256
World,OWID_WRL,2030,8256115712
World,OWID_WRL,2035,8531008000
World,OWID_WRL,2040,8772198400
World,OWID_WRL,2045,8976491520
World,OWID_WRL,2050,9140396032
World,OWID_WRL,2055,9261588480
World,OWID_WRL,2060,9340845056
World,OWID_WRL,2065,9384419328
World,OWID_WRL,2070,9397164032
World,OWID_WRL,2075,9380211712
World,OWID_WRL,2080,9334600704
World,OWID_WRL,2085,9263815680
World,OWID_WRL,2090,9173133312
World,OWID_WRL,2095,9066346496
World,OWID_WRL,2100,8948235264
