Entity,Code,Year,Adjusted net savings per capita (World Bank (2017)) ($)
Afghanistan,AFG,2008,-62.679813
Afghanistan,AFG,2009,-39.233284
Afghanistan,AFG,2010,-85.959099
Afghanistan,AFG,2011,-129.75623
Afghanistan,AFG,2012,-107.74364
Afghanistan,AFG,2013,-152.88329
Afghanistan,AFG,2014,-134.41837
Afghanistan,AFG,2015,-165.81519
Albania,ALB,1984,56.979237
Albania,ALB,1985,63.774315
Albania,ALB,1986,127.5661
Albania,ALB,1987,96.134903
Albania,ALB,1988,75.932205
Albania,ALB,1989,94.06385
Albania,ALB,1990,40.555855
Albania,ALB,1991,-79.858109
Albania,ALB,1992,-40.833775
Albania,ALB,1993,7.9158244
Albania,ALB,1994,9.2894773
Albania,ALB,1995,112.98251
Albania,ALB,1996,156.19585
Albania,ALB,1997,25.131927
Albania,ALB,1998,109.69491
Albania,ALB,1999,140.15538
Albania,ALB,2000,273.51187
Albania,ALB,2001,384.53397
Albania,ALB,2002,336.4166
Albania,ALB,2003,502.42709
Albania,ALB,2004,632.27686
Albania,ALB,2005,646.83636
Albania,ALB,2006,788.8244
Albania,ALB,2007,739.19891
Albania,ALB,2008,551.92554
Albania,ALB,2009,474.90112
Albania,ALB,2010,343.44138
Albania,ALB,2011,315.28162
Albania,ALB,2012,287.83542
Albania,ALB,2013,317.19406
Albania,ALB,2014,45.670383
Albania,ALB,2015,258.02667
Algeria,DZA,1977,237.98186
Algeria,DZA,1978,337.12036
Algeria,DZA,1979,233.11568
Algeria,DZA,1980,394.36227
Algeria,DZA,1981,542.19397
Algeria,DZA,1982,550.82837
Algeria,DZA,1983,593.69104
Algeria,DZA,1984,482.41562
Algeria,DZA,1985,453.33194
Algeria,DZA,1986,367.74673
Algeria,DZA,1987,334.31311
Algeria,DZA,1988,218.29219
Algeria,DZA,1989,187.54163
Algeria,DZA,1990,326.45398
Algeria,DZA,1991,398.9588
Algeria,DZA,2005,1020.8806
Algeria,DZA,2006,1203.7147
Algeria,DZA,2007,1486.2177
Algeria,DZA,2008,1861.8921
Algeria,DZA,2009,1206.9463
Algeria,DZA,2010,1536.1101
Algeria,DZA,2011,1729.215
Algeria,DZA,2012,1736.6854
Algeria,DZA,2013,1625.2058
Algeria,DZA,2014,1503.1078
Algeria,DZA,2015,997.4812
Angola,AGO,1985,-209.54533
Angola,AGO,1986,-153.93407
Angola,AGO,1987,-210.24417
Angola,AGO,1988,-214.50443
Angola,AGO,1989,-608.31293
Angola,AGO,1990,-665.09918
Angola,AGO,1991,-346.60678
Angola,AGO,1992,-420.25009
Angola,AGO,1993,-329.90613
Angola,AGO,1994,-248.43939
Angola,AGO,1996,67.698189
Angola,AGO,1997,-274.50897
Angola,AGO,1998,-197.86613
Angola,AGO,1999,-283.56516
Angola,AGO,2000,-346.79318
Angola,AGO,2001,-360.01758
Angola,AGO,2002,-311.1525
Angola,AGO,2003,-345.47467
Angola,AGO,2004,-488.96231
Angola,AGO,2005,-607.68304
Angola,AGO,2006,-436.23853
Angola,AGO,2007,-950.18042
Angola,AGO,2008,-1956.3068
Angola,AGO,2009,-1894.6482
Angola,AGO,2010,-1173.3654
Angola,AGO,2011,-1478.0507
Angola,AGO,2012,-1432.0753
Angola,AGO,2013,-1520.0846
Angola,AGO,2014,-1732.1288
Angola,AGO,2015,-1561.4583
Argentina,ARG,1976,523.11536
Argentina,ARG,1977,552.89917
Argentina,ARG,1978,498.63998
Argentina,ARG,1979,417.74429
Argentina,ARG,1980,373.33136
Argentina,ARG,1981,295.77692
Argentina,ARG,1982,298.59656
Argentina,ARG,1983,368.14777
Argentina,ARG,1984,255.32587
Argentina,ARG,1986,279.34427
Argentina,ARG,1987,263.66089
