Entity,Code,Year,Number of African elephants (elephants)
Africa,,1500,26000000
Africa,,1913,10000000
Africa,,1979,1300000
Africa,,1995,286233
Africa,,1998,301733
Africa,,2002,402047
Africa,,2007,472269
Africa,,2013,426293
Africa,,2015,415428
Angola,AGO,2007,818
Angola,AGO,2015,3396
Benin,BEN,2007,1223
Benin,BEN,2015,2984
Botswana,BWA,2007,133829
Botswana,BWA,2015,131626
Burkina Faso,BFA,2007,4154
Burkina Faso,BFA,2015,6850
Cameroon,CMR,2007,179
Cameroon,CMR,2015,6830
Central Africa,,1995,7320
Central Africa,,1998,7322
Central Africa,,2002,16450
Central Africa,,2007,10383
Central Africa,,2013,18980
Central Africa,,2015,24119
Central African Republic,CAF,2007,109
Central African Republic,CAF,2015,702
Chad,TCD,2007,3885
Chad,TCD,2015,794
Cote d'Ivoire,CIV,2007,188
Cote d'Ivoire,CIV,2015,189
Democratic Republic of Congo,COD,2007,2447
Democratic Republic of Congo,COD,2015,1794
Eastern Africa,,1995,90482
Eastern Africa,,1998,83770
Eastern Africa,,2002,117716
Eastern Africa,,2007,137485
Eastern Africa,,2013,99751
Eastern Africa,,2015,86373
Equatorial Guinea,GNQ,2015,884
Eritrea,ERI,2007,96
Ethiopia,ETH,2007,634
Ethiopia,ETH,2015,1017
Gabon,GAB,2007,1523
Gabon,GAB,2015,7058
Ghana,GHA,2007,789
Ghana,GHA,2015,994
Guinea,GIN,2007,135
Kenya,KEN,2007,23353
Kenya,KEN,2015,22809
Liberia,LBR,2015,124
Malawi,MWI,2007,185
Malawi,MWI,2015,1307
Mali,MLI,2007,357
Mali,MLI,2015,253
Mozambique,MOZ,2007,14079
Mozambique,MOZ,2015,10884
Namibia,NAM,2007,12531
Namibia,NAM,2015,22754
Niger,NER,2007,85
Nigeria,NGA,2007,348
Nigeria,NGA,2015,94
Rwanda,RWA,2007,34
Rwanda,RWA,2015,88
Senegal,SEN,2007,1
Senegal,SEN,2015,1
South Africa,ZAF,2007,17847
South Africa,ZAF,2015,18841
South Sudan,SSD,2015,7130
Southern Africa,,1995,170837
Southern Africa,,1998,196845
Southern Africa,,2002,246592
Southern Africa,,2007,297718
Southern Africa,,2013,297603
Southern Africa,,2015,293447
Sudan,SDN,2007,20
Swaziland,SWZ,2007,31
Tanzania,TZA,2007,108816
Tanzania,TZA,2015,50433
Togo,TGO,2007,4
Uganda,UGA,2007,2337
Uganda,UGA,2015,4923
Western Africa,,1995,2760
Western Africa,,1998,2489
Western Africa,,2002,5458
Western Africa,,2007,7487
Western Africa,,2013,9959
Western Africa,,2015,11489
Zambia,ZMB,2007,16562
Zambia,ZMB,2015,21967
Zimbabwe,ZWE,2007,84416
Zimbabwe,ZWE,2015,82630
