Entity,Code,Year,"Age of democracies at the end of 2015 (Boix, Miller, and Rosato, 2013, 2018) (years old)"
Afghanistan,AFG,2015,Not a democracy in 2015
Albania,ALB,2015,19
Algeria,DZA,2015,Not a democracy in 2015
Andorra,AND,2015,22
Angola,AGO,2015,Not a democracy in 2015
Antigua and Barbuda,ATG,2015,12
Argentina,ARG,2015,33
Armenia,ARM,2015,Not a democracy in 2015
Australia,AUS,2015,115
Austria,AUT,2015,70
Azerbaijan,AZE,2015,Not a democracy in 2015
Bahamas,BHS,2015,43
Bahrain,BHR,2015,Not a democracy in 2015
Bangladesh,BGD,2015,Not a democracy in 2015
Barbados,BRB,2015,50
Belarus,BLR,2015,Not a democracy in 2015
Belgium,BEL,2015,122
Belize,BLZ,2015,35
Benin,BEN,2015,25
Bhutan,BTN,2015,Not a democracy in 2015
Bolivia,BOL,2015,34
Bosnia and Herzegovina,BIH,2015,24
Botswana,BWA,2015,50
Brazil,BRA,2015,31
Brunei,BRN,2015,Not a democracy in 2015
Bulgaria,BGR,2015,26
Burkina Faso,BFA,2015,Not a democracy in 2015
Burundi,BDI,2015,11
Cambodia,KHM,2015,Not a democracy in 2015
Cameroon,CMR,2015,Not a democracy in 2015
Canada,CAN,2015,149
Cape Verde,CPV,2015,25
Central African Republic,CAF,2015,Not a democracy in 2015
Chad,TCD,2015,Not a democracy in 2015
Chile,CHL,2015,26
China,CHN,2015,Not a democracy in 2015
Colombia,COL,2015,58
Comoros,COM,2015,10
Congo,COG,2015,Not a democracy in 2015
Costa Rica,CRI,2015,67
Cote d'Ivoire,CIV,2015,Not a democracy in 2015
Croatia,HRV,2015,16
Cuba,CUB,2015,Not a democracy in 2015
Cyprus,CYP,2015,39
Czech Republic,CZE,2015,23
Democratic Republic of Congo,COD,2015,Not a democracy in 2015
Denmark,DNK,2015,115
Djibouti,DJI,2015,Not a democracy in 2015
Dominica,DMA,2015,38
Dominican Republic,DOM,2015,50
Ecuador,ECU,2015,13
Egypt,EGY,2015,Not a democracy in 2015
El Salvador,SLV,2015,32
Equatorial Guinea,GNQ,2015,Not a democracy in 2015
Eritrea,ERI,2015,Not a democracy in 2015
Estonia,EST,2015,25
Ethiopia,ETH,2015,Not a democracy in 2015
Fiji,FJI,2015,29
Finland,FIN,2015,99
France,FRA,2015,70
Gabon,GAB,2015,Not a democracy in 2015
Gambia,GMB,2015,Not a democracy in 2015
Georgia,GEO,2015,12
Germany,DEU,2015,26
Ghana,GHA,2015,19
Greece,GRC,2015,42
Grenada,GRD,2015,32
Guatemala,GTM,2015,30
Guinea,GIN,2015,Not a democracy in 2015
Guinea-Bissau,GNB,2015,Not a democracy in 2015
Guyana,GUY,2015,24
Haiti,HTI,2015,Not a democracy in 2015
Honduras,HND,2015,6
Hungary,HUN,2015,26
Iceland,ISL,2015,98
India,IND,2015,66
Indonesia,IDN,2015,17
Iran,IRN,2015,Not a democracy in 2015
Iraq,IRQ,2015,Not a democracy in 2015
Ireland,IRL,2015,94
Israel,ISR,2015,68
Italy,ITA,2015,70
Jamaica,JAM,2015,54
Japan,JPN,2015,64
Jordan,JOR,2015,Not a democracy in 2015
Kazakhstan,KAZ,2015,Not a democracy in 2015
Kenya,KEN,2015,14
Kiribati,KIR,2015,19
Kosovo,OWID_KOS,2015,4
Kuwait,KWT,2015,Not a democracy in 2015
Kyrgyzstan,KGZ,2015,Not a democracy in 2015
Laos,LAO,2015,Not a democracy in 2015
Latvia,LVA,2015,23
Lebanon,LBN,2015,Not a democracy in 2015
Lesotho,LSO,2015,14
Liberia,LBR,2015,10
Libya,LBY,2015,Not a democracy in 2015
Liechtenstein,LIE,2015,25
Lithuania,LTU,2015,24
Luxembourg,LUX,2015,126
Macedonia,MKD,2015,25
Madagascar,MDG,2015,Not a democracy in 2015
Malawi,MWI,2015,22
Malaysia,MYS,2015,Not a democracy in 2015
Maldives,MDV,2015,Not a democracy in 2015
Mali,MLI,2015,Not a democracy in 2015
Malta,MLT,2015,52
Marshall Islands,MHL,2015,24
Mauritania,MRT,2015,Not a democracy in 2015
Mauritius,MUS,2015,48
Mexico,MEX,2015,16
Micronesia (country),FSM,2015,24
Moldova,MDA,2015,25
Monaco,MCO,2015,22
Mongolia,MNG,2015,26
Montenegro,MNE,2015,10
Morocco,MAR,2015,Not a democracy in 2015
Mozambique,MOZ,2015,Not a democracy in 2015
