Entity,Code,Year,2.b.1 - Agricultural export subsidies (millions of current United States dollars) - AG_PRD_XSUBDY ($)
WTO Developed Member States,,1995,4479385545
WTO Developed Member States,,1996,5114231195
WTO Developed Member States,,1997,4457625599
WTO Developed Member States,,1998,5372533682
WTO Developed Member States,,1999,6616262825
WTO Developed Member States,,2000,2887614817
WTO Developed Member States,,2001,2596630873
WTO Developed Member States,,2002,3270377132
WTO Developed Member States,,2003,3778888489
WTO Developed Member States,,2004,3644636023
WTO Developed Member States,,2005,2640188782
WTO Developed Member States,,2006,2088466037.0000002
WTO Developed Member States,,2007,1373276903
WTO Developed Member States,,2008,896273261
WTO Developed Member States,,2009,754629337
WTO Developed Member States,,2010,434807592
WTO Developed Member States,,2011,402591719
WTO Developed Member States,,2012,284717605
WTO Developed Member States,,2013,202282774
WTO Developed Member States,,2014,180633453
WTO Developed Member States,,2015,179227200
WTO Developed Member States,,2016,115896700
WTO Developing Member States,,1995,122193263
WTO Developing Member States,,1996,124573409
WTO Developing Member States,,1997,153086103
WTO Developing Member States,,1998,88483497
WTO Developing Member States,,1999,75079633
WTO Developing Member States,,2000,85307963
WTO Developing Member States,,2001,49699831
WTO Developing Member States,,2002,51127534
WTO Developing Member States,,2003,48293947
WTO Developing Member States,,2004,48430563
WTO Developing Member States,,2005,77850710
WTO Developing Member States,,2006,69185556
WTO Developing Member States,,2007,92271182
WTO Developing Member States,,2008,115298620
WTO Developing Member States,,2009,154259407
WTO Developing Member States,,2010,55715773
WTO Developing Member States,,2011,59216696
WTO Developing Member States,,2012,34327987
WTO Developing Member States,,2013,29744707
WTO Developing Member States,,2014,1815250
WTO Developing Member States,,2015,2274200
WTO Developing Member States,,2016,1284100
World Trade Organization (WTO) Member States,,1995,4601578808
World Trade Organization (WTO) Member States,,1996,5238804603
World Trade Organization (WTO) Member States,,1997,4610711702
World Trade Organization (WTO) Member States,,1998,5461017179
World Trade Organization (WTO) Member States,,1999,6691342457
World Trade Organization (WTO) Member States,,2000,2972922780
World Trade Organization (WTO) Member States,,2001,2646330705
World Trade Organization (WTO) Member States,,2002,3321504666
World Trade Organization (WTO) Member States,,2003,3827182437
World Trade Organization (WTO) Member States,,2004,3693066586
World Trade Organization (WTO) Member States,,2005,2718039492
World Trade Organization (WTO) Member States,,2006,2157651593
World Trade Organization (WTO) Member States,,2007,1465548085
World Trade Organization (WTO) Member States,,2008,1011571881
World Trade Organization (WTO) Member States,,2009,908888744
World Trade Organization (WTO) Member States,,2010,490523364
World Trade Organization (WTO) Member States,,2011,461808415
World Trade Organization (WTO) Member States,,2012,319045592
World Trade Organization (WTO) Member States,,2013,232027480
World Trade Organization (WTO) Member States,,2014,182448703
World Trade Organization (WTO) Member States,,2015,181501400
World Trade Organization (WTO) Member States,,2016,117180800
