Entity,Code,Year,Agricultural irrigated land (% of total agricultural land) (% of total agricultural land)
Afghanistan,AFG,2001,5.6684237014277
Afghanistan,AFG,2002,4.62214923317352
Afghanistan,AFG,2003,7.25929833816935
Afghanistan,AFG,2004,5.50236079238216
Afghanistan,AFG,2005,5.84014771828014
Afghanistan,AFG,2006,6.08546557636508
Afghanistan,AFG,2007,5.94038512265893
Afghanistan,AFG,2008,5.77947771036666
Afghanistan,AFG,2009,4.84304932735426
Afghanistan,AFG,2010,5.00118699058321
Afghanistan,AFG,2011,5.39171722500659
Afghanistan,AFG,2012,5.46557636507518
Afghanistan,AFG,2013,5.51833289369559
Afghanistan,AFG,2014,5.74254814033237
Afghanistan,AFG,2015,5.71089422316012
Albania,ALB,2007,17.426273458445
Albania,ALB,2008,9.99153259949196
Albania,ALB,2009,16.8151169566303
Albania,ALB,2010,17.0232248397569
Albania,ALB,2011,17.0108243130724
Albania,ALB,2012,17.0398734704071
Albania,ALB,2013,17.2879642887223
Albania,ALB,2014,17.8277938158377
Albania,ALB,2015,19.1603508473133
Algeria,DZA,2003,1.80926534304623
Algeria,DZA,2004,1.92733017377567
Algeria,DZA,2005,2.00189269855136
Algeria,DZA,2006,2.0276341031058
Algeria,DZA,2007,2.19383302627751
Algeria,DZA,2008,2.0715098404706
Algeria,DZA,2009,2.13711938134364
Algeria,DZA,2010,2.38125392758737
Algeria,DZA,2011,2.38477336426017
Algeria,DZA,2012,2.51924057549376
Algeria,DZA,2013,2.62963281202482
Algeria,DZA,2014,2.7691824961985
Argentina,ARG,2002,1.05353119415741
Argentina,ARG,2011,1.45804250038778
Armenia,ARM,2006,8.76224094739239
Armenia,ARM,2007,8.82470460642731
Armenia,ARM,2008,8.90667886550778
Armenia,ARM,2009,8.9217202084407
Armenia,ARM,2010,8.94524495677233
Armenia,ARM,2011,9.10429303339026
Armenia,ARM,2013,9.16711253789905
Armenia,ARM,2014,9.19641423124282
Armenia,ARM,2015,9.22794271159547
Australia,AUS,2001,0.549923195084485
Australia,AUS,2002,0.569351230425056
Australia,AUS,2003,0.541069397042093
Australia,AUS,2004,0.545772647747154
Australia,AUS,2005,0.540268539298078
Australia,AUS,2006,0.585388285336552
Australia,AUS,2007,0.451993070849855
Australia,AUS,2008,0.443578535687583
Australia,AUS,2009,0.430531820482166
Australia,AUS,2010,0.461889708465051
Australia,AUS,2011,0.479163117084228
Australia,AUS,2012,0.528023991673942
Australia,AUS,2013,0.599573440560664
Australia,AUS,2014,0.577203773854269
Australia,AUS,2015,0.587024784579941
Austria,AUT,2003,1.1784155855859
Austria,AUT,2005,1.40016802016242
Austria,AUT,2007,1.55471538108194
Austria,AUT,2010,0.952792170408751
Austria,AUT,2013,1.91908408187307
Azerbaijan,AZE,2001,29.9856709372893
Azerbaijan,AZE,2002,29.9900946279163
Azerbaijan,AZE,2003,29.9289109493964
Azerbaijan,AZE,2004,30.0321773328566
Azerbaijan,AZE,2005,30.0508552935737
Azerbaijan,AZE,2006,30.0357443229605
Azerbaijan,AZE,2007,30.0557132345212
Azerbaijan,AZE,2008,30.0523472155065
Azerbaijan,AZE,2009,29.5251508208438
Azerbaijan,AZE,2010,29.4767978518083
Azerbaijan,AZE,2011,29.4545683309917
Azerbaijan,AZE,2012,29.5262462512845
Azerbaijan,AZE,2013,29.6511384125121
Azerbaijan,AZE,2014,29.7230433779902
Azerbaijan,AZE,2015,30.001257914378
Bahrain,BHR,2001,43.4782608695652
Bangladesh,BGD,2004,51.346133218921
Bangladesh,BGD,2005,51.1223284287402
Bangladesh,BGD,2006,52.6185344827586
Belarus,BLR,2001,1.25985977212971
Belarus,BLR,2002,1.27423822714681
Belarus,BLR,2003,1.26864010683285
Belarus,BLR,2004,1.27274757173161
Belarus,BLR,2005,1.27388535031847
Belarus,BLR,2006,1.23911587407904
Belarus,BLR,2007,1.24495289367429
Belarus,BLR,2008,0.594370303913872
Belarus,BLR,2009,0.526492662708637
Belarus,BLR,2010,0.337154416722859
Belarus,BLR,2011,0.344788732394366
Belarus,BLR,2012,0.34106412005457
Belarus,BLR,2013,0.339216135686454
Belarus,BLR,2014,0.344068582020389
Belarus,BLR,2015,0.349568865066418
Belgium,BEL,2003,0.136474644447637
Belgium,BEL,2005,0.245842371655821
Belgium,BEL,2007,0.417001975272514
Belgium,BEL,2013,0.42648709315376
Benin,BEN,2002,0.511144130757801
Benin,BEN,2008,0.269956458635704
Bhutan,BTN,2003,7.07635009310987
Bhutan,BTN,2004,6.50684931506849
Bhutan,BTN,2005,6.40809443507589
Bhutan,BTN,2006,6.58578856152513
Bhutan,BTN,2007,6.74955595026643
Bolivia,BOL,2008,0.731225823662799
Bolivia,BOL,2011,0.790797987059669
Bolivia,BOL,2014,0.710790489198902
Botswana,BWA,2003,0.000542719801519615
Botswana,BWA,2004,0.00116157509582995
Botswana,BWA,2005,0.00773948880676431
Botswana,BWA,2006,0.00116265550517382
Botswana,BWA,2007,0.000814458578963698
Botswana,BWA,2008,0.00579575750550597
Botswana,BWA,2009,0.00254649278493711
Botswana,BWA,2010,0.00290011987162136
Botswana,BWA,2011,0.00134999614286816
Botswana,BWA,2012,0.00424923706879901
Botswana,BWA,2013,0.00425055063951466
Botswana,BWA,2014,0.0096150148071228
Brazil,BRA,2006,1.63279371224119
Brazil,BRA,2007,1.63968222413653
Brunei,BRN,2002,0.909090909090909
Brunei,BRN,2003,0.909090909090909
Brunei,BRN,2004,0.909090909090909
Brunei,BRN,2005,0.909090909090909
Brunei,BRN,2006,0
Brunei,BRN,2007,0.87719298245614
Bulgaria,BGR,2003,1.48328952309425
Bulgaria,BGR,2005,1.02564102564103
Bulgaria,BGR,2007,1.42689601250977
Bulgaria,BGR,2010,1.78147268408551
Bulgaria,BGR,2013,1.97597597597598
Canada,CAN,2005,1.25057348784206
Canada,CAN,2010,1.21703340993795
Canada,CAN,2015,1.44359217443765
Cape Verde,CPV,2004,4.64
Channel Islands,OWID_CIS,2001,9.33333333333333
Channel Islands,OWID_CIS,2002,14.8648648648649
Channel Islands,OWID_CIS,2003,12.1621621621622
Channel Islands,OWID_CIS,2004,6.66666666666667
Channel Islands,OWID_CIS,2005,3.94736842105263
Channel Islands,OWID_CIS,2008,0.740740740740741
Channel Islands,OWID_CIS,2009,3.29545454545454
Channel Islands,OWID_CIS,2010,3.51648351648352
Channel Islands,OWID_CIS,2011,4.27083333333333
Channel Islands,OWID_CIS,2012,3.15789473684211
Channel Islands,OWID_CIS,2013,3.71549893842887
Channel Islands,OWID_CIS,2014,3.58649789029536
Channel Islands,OWID_CIS,2015,3.69565217391304
Chile,CHL,2007,6.95397915077549
China,CHN,2003,9.18038567578512
China,CHN,2006,10.4821126051041
China,CHN,2011,10.4910475694438
Colombia,COL,2011,0.944368543419381
Colombia,COL,2013,1.45172663090531
Costa Rica,CRI,2005,1.43490304709141
Costa Rica,CRI,2006,1.50413223140496
Costa Rica,CRI,2007,1.55555555555556
Costa Rica,CRI,2008,1.5170105967652
Costa Rica,CRI,2009,1.50330396475771
Costa Rica,CRI,2010,1.54480483782298
Croatia,HRV,2003,0.752508361204013
Croatia,HRV,2004,1.02040816326531
Croatia,HRV,2005,1.32122213047069
Croatia,HRV,2006,0.32520325203252
Croatia,HRV,2007,0.382695507487521
Croatia,HRV,2009,0.384733764235149
Croatia,HRV,2010,1.08711950817214
Croatia,HRV,2013,0.854973521342436
Cyprus,CYP,2001,25
Cyprus,CYP,2002,25
Cyprus,CYP,2003,23.3766233766234
Cyprus,CYP,2004,21.7948717948718
Cyprus,CYP,2005,20.9580838323353
Cyprus,CYP,2006,21.0191082802548
Cyprus,CYP,2007,20.2445652173913
Cyprus,CYP,2008,21.1072664359862
Cyprus,CYP,2009,22.4137931034483
Cyprus,CYP,2010,21.8340611353712
Cyprus,CYP,2011,21.4101461736887
Cyprus,CYP,2012,20.9580838323353
Cyprus,CYP,2013,21.6014897579143
Cyprus,CYP,2014,21.1840888066605
Cyprus,CYP,2015,19.8899371069182
Czech Republic,CZE,2003,0.395877254626376
Czech Republic,CZE,2005,0.39906103286385
Czech Republic,CZE,2007,0.470698987997176
Czech Republic,CZE,2008,0.235626767200754
Czech Republic,CZE,2009,0.259495163953763
Czech Republic,CZE,2010,0.448748228625413
Czech Republic,CZE,2011,0.472925041380941
Czech Republic,CZE,2012,0.473372781065089
Czech Republic,CZE,2013,0.426641384214269
Czech Republic,CZE,2014,0.426944971537002
Denmark,DNK,2001,7.62331838565022
Denmark,DNK,2002,7.65478424015009
Denmark,DNK,2003,7.58088788562829
Denmark,DNK,2004,7.70975056689342
Denmark,DNK,2005,9.67861100849649
Denmark,DNK,2006,9.66789667896679
Denmark,DNK,2007,9.5381149079985
Denmark,DNK,2008,9.52023988005997
Denmark,DNK,2009,9.64312832194381
Denmark,DNK,2010,12.1477532368621
Denmark,DNK,2013,9.2755845151399
Dominican Republic,DOM,2001,8.90218687872764
Dominican Republic,DOM,2002,7.92127236580517
Dominican Republic,DOM,2003,7.7741273100616
Dominican Republic,DOM,2004,8.94497310715763
Dominican Republic,DOM,2005,9.93793959453869
Dominican Republic,DOM,2006,9.1932147290029
Dominican Republic,DOM,2007,8.89532478278858
Dominican Republic,DOM,2008,8.85273258239466
Dominican Republic,DOM,2009,8.96954526491448
Dominican Republic,DOM,2010,8.65665415102211
Dominican Republic,DOM,2011,8.69420108468919
Ecuador,ECU,2002,8.58477970627503
Ecuador,ECU,2003,9.26896551724138
Ecuador,ECU,2004,9.52570745316859
Ecuador,ECU,2005,10.0266666666667
Ecuador,ECU,2006,10.2229983879635
Ecuador,ECU,2007,10.7528332433891
Ecuador,ECU,2008,10.1813297515111
Ecuador,ECU,2009,12.6353790613718
Ecuador,ECU,2010,12.5638529148939
Ecuador,ECU,2011,12.7686799798533
Ecuador,ECU,2012,12.6283818886624
Ecuador,ECU,2013,12.5781977904965
Ecuador,ECU,2014,16.7806201688773
El Salvador,SLV,2003,1.83752417794971
El Salvador,SLV,2004,1.75155279503106
El Salvador,SLV,2005,1.92332268370607
El Salvador,SLV,2006,2.20488466757123
El Salvador,SLV,2007,1.66223404255319
El Salvador,SLV,2008,1.80645161290323
El Salvador,SLV,2009,2.03883495145631
El Salvador,SLV,2010,1.10749185667752
El Salvador,SLV,2011,1.02397926117952
El Salvador,SLV,2012,1.25318066157761
El Salvador,SLV,2013,1.29582806573957
El Salvador,SLV,2014,1.33583021223471
Estonia,EST,2005,0.0680349245946252
Estonia,EST,2010,0.0316188870151771
Estonia,EST,2013,0.0310752019888129
Ethiopia,ETH,2001,0.323472328412633
Ethiopia,ETH,2002,0.324611449931143
Ethiopia,ETH,2003,0.3815610466036
Ethiopia,ETH,2004,0.36705839702728
Ethiopia,ETH,2005,0.437319520109553
Ethiopia,ETH,2006,0.393056489085011
Ethiopia,ETH,2007,0.512586595204835
Ethiopia,ETH,2008,0.476255324080781
Ethiopia,ETH,2009,0.441331999428326
Ethiopia,ETH,2010,0.510046800997674
Ethiopia,ETH,2011,0.453128957307874
Finland,FIN,2001,2.88028802880288
Finland,FIN,2002,2.86225402504472
Finland,FIN,2003,2.84951024042743
Finland,FIN,2004,2.84065690190857
Finland,FIN,2005,2.81467147506377
Finland,FIN,2010,0.655351455124569
Finland,FIN,2013,0.420633163604162
France,FRA,2005,5.77195274647504
France,FRA,2007,5.17597351238269
France,FRA,2010,5.47460269719943
France,FRA,2013,4.94757365232834
Georgia,GEO,2006,3.9714058776807
Georgia,GEO,2007,4.17163289630513
Georgia,GEO,2008,4.01750198886237
Germany,DEU,2006,1.38439749793462
Germany,DEU,2009,2.20893047494966
Germany,DEU,2013,2.1896149008804
Ghana,GHA,2005,0.0728476821192053
Ghana,GHA,2006,0.117647058823529
Ghana,GHA,2007,0.0714285714285714
Ghana,GHA,2009,0.192307692307692
Ghana,GHA,2010,0.192061459667093
Ghana,GHA,2011,0.190839694656489
Ghana,GHA,2012,0.191082802547771
Ghana,GHA,2013,0.178343949044586
Ghana,GHA,2014,0.229299363057325
Greece,GRC,2003,15.525817148271
Greece,GRC,2005,15.9186116098145
Greece,GRC,2006,17.7224371373308
Greece,GRC,2007,17.5493879529754
Greece,GRC,2008,17.3606038470903
Greece,GRC,2009,16.8336183728317
Greece,GRC,2010,16.7439589943861
Greece,GRC,2011,16.8704156479218
Greece,GRC,2012,16.9040019641542
Greece,GRC,2013,16.9736679441216
Greece,GRC,2014,16.6131311833483
Grenada,GRD,2008,2.85714285714286
Guatemala,GTM,2003,6.163112164297
Guinea,GIN,2003,0.685446009389671
Guyana,GUY,2003,7.46487119437939
Haiti,HTI,2009,5.39989868231338
Haiti,HTI,2013,4.34782608695652
Honduras,HND,2005,2.59142857142857
Hungary,HUN,2003,2.54049445865303
Hungary,HUN,2004,2.0450204638472
Hungary,HUN,2005,1.28091420774348
Hungary,HUN,2006,1.34136684455156
Hungary,HUN,2007,2.08179783020493
Hungary,HUN,2008,1.38238341968912
Hungary,HUN,2009,1.84610063980633
Hungary,HUN,2010,0.840351862249673
Hungary,HUN,2011,1.89432265317594
Hungary,HUN,2012,2.33795428999625
Hungary,HUN,2013,2.2247191011236
Hungary,HUN,2014,1.85783763561541
Hungary,HUN,2015,2.32466803815224
India,IND,2001,32.2073057893366
India,IND,2002,31.5330084182543
India,IND,2003,30.7335963028921
India,IND,2004,31.6329868329868
India,IND,2005,32.8692137725814
India,IND,2006,33.8165486420686
India,IND,2007,34.9320788330921
India,IND,2008,34.6501109831606
India,IND,2009,35.3416487104871
India,IND,2010,34.4923791438579
India,IND,2011,35.3987866644404
India,IND,2012,36.3294775163937
India,IND,2013,36.7856069627931
Indonesia,IDN,2002,16.0831032979805
Indonesia,IDN,2003,11.3810139983531
Indonesia,IDN,2004,14.4211670351909
Indonesia,IDN,2005,15.2104308914863
Iran,IRN,2001,12.5675696849098
Iran,IRN,2002,12.7381175441884
Iran,IRN,2003,12.9106045281257
Iran,IRN,2004,13.0819092516205
Iran,IRN,2005,17.9987823056413
Iran,IRN,2006,18.2124049151551
Iran,IRN,2007,18.4219832338319
Iran,IRN,2008,17.4702795330406
Iran,IRN,2009,16.9801782967986
Iran,IRN,2010,16.9013781870845
Iran,IRN,2011,16.8220793833499
Iran,IRN,2012,16.7422771365183
Iran,IRN,2013,16.6616052060738
Iran,IRN,2014,16.5807821870947
Israel,ISR,2001,31.5508021390374
Israel,ISR,2002,30.9058614564831
Israel,ISR,2006,35.6721698113208
Israel,ISR,2007,30.0135109052306
Israel,ISR,2009,28.3773440489858
Israel,ISR,2010,32.5867195242815
Israel,ISR,2013,0.0192196809532962
Israel,ISR,2014,0
Italy,ITA,2001,15.9398787253258
Italy,ITA,2003,18.3336687462266
Italy,ITA,2005,17.7320846905537
Italy,ITA,2007,18.8250247140234
Italy,ITA,2010,16.8274264018202
Italy,ITA,2013,19.0829053558327
Jamaica,JAM,2010,6.91441441441441
Japan,JPN,2001,35.468391404131
Japan,JPN,2002,35.3348729792148
Japan,JPN,2003,35.0506756756757
Japan,JPN,2004,35.9991514637251
Japan,JPN,2005,36.2745098039216
Japan,JPN,2006,36.0522372083066
Japan,JPN,2007,35.8924731182796
Japan,JPN,2008,35.0907519446845
Japan,JPN,2009,35.170318941202
Japan,JPN,2010,35.3799259743087
Japan,JPN,2011,34.5099758824819
Japan,JPN,2012,34.7109254781271
Japan,JPN,2013,35.1994710160899
Japan,JPN,2014,34.8085859703474
Jordan,JOR,2001,7.14285714285714
Jordan,JOR,2002,7.31707317073171
Jordan,JOR,2003,7.06467661691542
Jordan,JOR,2004,7.32883317261331
Jordan,JOR,2005,7.89733464955577
