Entity,Code,Year,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal) (% of total freshwater withdrawal)"
Afghanistan,AFG,1987,99
Afghanistan,AFG,2000,98.62
Albania,ALB,1990,83.33
Albania,ALB,2000,57.67
Albania,ALB,2006,39.48
Algeria,DZA,1980,74
Algeria,DZA,1990,60
Algeria,DZA,2001,61.19
Algeria,DZA,2012,59.23
Angola,AGO,1987,76.04
Angola,AGO,2000,32.79
Angola,AGO,2005,20.78
Antigua and Barbuda,ATG,1990,20
Antigua and Barbuda,ATG,2005,15.48
Antigua and Barbuda,ATG,2012,15.65
Arab World,,2015,52.08
Argentina,ARG,1995,75.3
Argentina,ARG,2011,73.93
Armenia,ARM,1995,66.32
Armenia,ARM,2002,65.78
Armenia,ARM,2007,66.13
Armenia,ARM,2012,88.3
Armenia,ARM,2015,90.13
Australia,AUS,1996,69.85
Australia,AUS,2001,69.26
Australia,AUS,2005,65.25
Australia,AUS,2012,59.84
Australia,AUS,2015,60.97
Austria,AUT,1980,2.693
Austria,AUT,1985,5.587
Austria,AUT,1990,2.627
Austria,AUT,1997,2.744
Austria,AUT,2002,2.726
Austria,AUT,2010,2.208
Azerbaijan,AZE,1997,81.22
Azerbaijan,AZE,2002,75.42
Azerbaijan,AZE,2005,76.41
Azerbaijan,AZE,2012,84.38
Bahrain,BHR,1990,56.49
Bahrain,BHR,2003,44.54
Bangladesh,BGD,2008,87.82
Barbados,BRB,1996,67.65
Barbados,BRB,2005,67.65
Belarus,BLR,1995,28.69
Belarus,BLR,2000,24.06
Belarus,BLR,2005,23.97
Belarus,BLR,2010,30.43
Belarus,BLR,2013,32.3
Belgium,BEL,1980,4
Belgium,BEL,1997,0.2081
Belgium,BEL,2002,0.5669
Belgium,BEL,2007,0.5935
Belgium,BEL,2009,0.6694
Belize,BLZ,1987,90
Belize,BLZ,2000,67.72
Benin,BEN,1985,58.18
Benin,BEN,2001,45.38
Bhutan,BTN,2008,94.08
Bolivia,BOL,1987,85
Bolivia,BOL,2009,91.95
Botswana,BWA,1992,47.79
Botswana,BWA,1995,44.49
Botswana,BWA,2000,41.24
Brazil,BRA,1996,60.93
Brazil,BRA,2006,54.59
Brazil,BRA,2010,60
Brunei,BRN,1995,5.761
Bulgaria,BGR,1990,29.69
Bulgaria,BGR,2002,11.28
Bulgaria,BGR,2007,14.12
Bulgaria,BGR,2012,16.61
Bulgaria,BGR,2015,14.72
Burkina Faso,BFA,1985,79.31
Burkina Faso,BFA,1992,80.59
Burkina Faso,BFA,2001,58.78
Burkina Faso,BFA,2005,51.43
Burundi,BDI,1987,64
