Entity,Code,Year,Nitrogen oxides (NOx) (tonnes),Sulphur dioxide (SO₂) (tonnes),Volatile organic compounds (VOCs) (tonnes)
United Kingdom,GBR,1970,3150000,6490000,2400000
United Kingdom,GBR,1971,3120000,6140000,2410000
United Kingdom,GBR,1972,3090000,5890000,2350000
United Kingdom,GBR,1973,3250000,6050000,2490000
United Kingdom,GBR,1974,3020000,5550000,2400000
United Kingdom,GBR,1975,2910000,5270000,2350000
United Kingdom,GBR,1976,2950000,5100000,2410000
United Kingdom,GBR,1977,2960000,5090000,2490000
United Kingdom,GBR,1978,3000000,5140000,2530000
United Kingdom,GBR,1979,3100000,5460000,2600000
United Kingdom,GBR,1980,2920000,4830000,2530000
United Kingdom,GBR,1981,2790000,4390000,2480000
United Kingdom,GBR,1982,2770000,4200000,2500000
United Kingdom,GBR,1983,2730000,3880000,2510000
United Kingdom,GBR,1984,2680000,3730000,2350000
United Kingdom,GBR,1985,2770000,3750000,2520000
United Kingdom,GBR,1986,2860000,3900000,2620000
United Kingdom,GBR,1987,2920000,3880000,2680000
United Kingdom,GBR,1988,3000000,3820000,2750000
United Kingdom,GBR,1989,3050000,3710000,2790000
United Kingdom,GBR,1990,3050000,3770000,2860000
United Kingdom,GBR,1991,2950000,3610000,2800000
United Kingdom,GBR,1992,2890000,3540000,2710000
United Kingdom,GBR,1993,2720000,3200000,2560000
United Kingdom,GBR,1994,2620000,2740000,2430000
United Kingdom,GBR,1995,2490000,2450000,2260000
United Kingdom,GBR,1996,2380000,2100000,2190000
United Kingdom,GBR,1997,2190000,1730000,2089999.9999999998
United Kingdom,GBR,1998,2140000,1700000,1930000
United Kingdom,GBR,1999,2020000,1320000,1750000
United Kingdom,GBR,2000,1950000,1290000,1600000
United Kingdom,GBR,2001,1910000,1200000,1530000
United Kingdom,GBR,2002,1810000,1080000,1440000
United Kingdom,GBR,2003,1780000,1050000,1330000
United Kingdom,GBR,2004,1730000,890000,1250000
United Kingdom,GBR,2005,1720000,770000,1170000
United Kingdom,GBR,2006,1660000,730000,1120000
United Kingdom,GBR,2007,1590000,630000,1090000
United Kingdom,GBR,2008,1430000,530000,1010000
United Kingdom,GBR,2009,1250000,430000,920000
United Kingdom,GBR,2010,1220000,450000,900000
United Kingdom,GBR,2011,1140000,410000,890000
United Kingdom,GBR,2012,1160000,460000,880000
United Kingdom,GBR,2013,1100000,400000,850000
United Kingdom,GBR,2014,1030000,320000,840000
United Kingdom,GBR,2015,990000,250000,840000
United Kingdom,GBR,2016,890000,180000,820000
United States,USA,1970,26880000,31220000,34660000
United States,USA,1975,26380000,28040000,30770000
United States,USA,1980,27080000,25930000,31110000
United States,USA,1985,25760000,23310000,27400000
United States,USA,1990,25530000,23080000,24110000
United States,USA,1991,25180000,22370000,23580000
United States,USA,1992,25260000,22080000,23070000
United States,USA,1993,25360000,21770000,22730000
United States,USA,1994,25350000,21350000,22570000
United States,USA,1995,24960000,18620000,22040000
United States,USA,1996,24790000,18390000,20870000
United States,USA,1997,24700000,18840000,19530000
United States,USA,1998,24350000,18940000,18780000
United States,USA,1999,22840000,17550000,18270000
United States,USA,2000,22600000,16350000.000000002,17510000
United States,USA,2001,21550000,15930000,17110000
United States,USA,2002,23960000,15030000,20290000
United States,USA,2003,22650000,14810000,19910000
United States,USA,2004,21330000,14570000,19510000
United States,USA,2005,20350000,14550000,17750000
United States,USA,2006,19230000,13120000,17900000
United States,USA,2007,18100000,11700000,18050000
United States,USA,2008,16910000,10320000,17760000
United States,USA,2009,15770000,9090000,17590000
United States,USA,2010,14850000,7730000,17840000
United States,USA,2011,14520000,6480000,18150000
United States,USA,2012,13900000,5120000,17750000
United States,USA,2013,13280000,4950000,17350000
United States,USA,2014,12600000,4800000,16489999.999999998
United States,USA,2015,11620000,3800000,16170000.000000002
United States,USA,2016,10490000,2710000,15860000
