Entity,Code,Year,"Indicator:Alcohol, tourist consumption (in litres of pure alcohol) (litres)"
Albania,ALB,2010,0.46
Andorra,AND,2010,1.3
Antigua and Barbuda,ATG,2010,3.36
Austria,AUT,2010,2.25
Bahamas,BHS,2010,4.24
Bahrain,BHR,2010,0.84
Barbados,BRB,2010,0.62
Botswana,BWA,2010,0.44
Cook Islands,COK,2010,2.34
Croatia,HRV,2010,0.68
Dominica,DMA,2010,0.45
Estonia,EST,2010,3.1
Grenada,GRD,2010,1.03
Iceland,ISL,2010,0.44
Ireland,IRL,2010,0.48
Malaysia,MYS,2010,0.16
Maldives,MDV,2010,0.69
Montenegro,MNE,2010,0.81
Palau,PLW,2010,1.93
Qatar,QAT,2010,0.76
Saint Kitts and Nevis,KNA,2010,2.1
Saint Lucia,LCA,2010,1.96
Samoa,WSM,2010,0.19
Seychelles,SYC,2010,0.68
Singapore,SGP,2010,0.41
Swaziland,SWZ,2010,0.24
United Arab Emirates,ARE,2010,0.9
