Entity,Code,Year,All other (away from home) ($),Food stores (at home) ($),Hotels & motels (away from home) ($),Liquor stores (at home) ($),Other (at home) ($),Restaurants & bars (away from home)  ($)
United States,USA,1935,20000000,65000000,81000000,305000000,199000000,964000000
United States,USA,1936,24000000,95000000,97000000,435000000,220000000,1195000000
United States,USA,1937,28000000,113000000,109000000,504000000,235000000,1299000000
United States,USA,1938,26000000,111000000,98000000,479000000,227000000,1246000000
United States,USA,1939,28000000,122000000,103000000,517000000,237000000,1365000000
United States,USA,1940,30000000,131000000,113000000,602000000,244000000,1459000000
United States,USA,1941,37000000,151000000,124000000,758000000,271000000,1753000000
United States,USA,1942,47000000,194000000,145000000,1081000000,311000000,2176000000
United States,USA,1943,60000000,225000000,194000000,1395000000,361000000,2744000000
United States,USA,1944,69000000,252000000,219000000,1734000000,393000000,3144000000
United States,USA,1945,79000000,272000000,236000000,2070000000,422000000,3609000000
United States,USA,1946,91000000,368000000,272000000,2443000000,472000000,3984000000
United States,USA,1947,96000000,341000000,274000000,2540000000,481000000,4178000000
United States,USA,1948,100000000,475000000,272000000,2487000000,484000000,4172000000
United States,USA,1949,110000000,550000000,258000000,2359000000,479000000,4029000000
United States,USA,1950,126000000,569000000,259000000,2399000000,487000000,4028000000
United States,USA,1951,152000000,617000000,272000000,2646000000,526000000,4341000000
United States,USA,1952,176000000,668000000,281000000,2786000000,545000000,4442000000
United States,USA,1953,196000000,698000000,282000000,2830000000,552000000,4482000000
United States,USA,1954,218000000,685000000,274000000,2942000000,562000000,4454000000
United States,USA,1955,226000000,717000000,290000000,3060000000,584000000,4552000000
United States,USA,1956,238000000,756000000,309000000,3408000000,616000000,4753000000
United States,USA,1957,252000000,806000000,325000000,3642000000,645000000,4861000000
United States,USA,1958,261000000,868000000,330000000,3841000000,656000000,4910000000
United States,USA,1959,289000000,919000000,356000000,4056000000,678000000,5014000000
United States,USA,1960,317000000,966000000,378000000,4137000000,690000000,5039000000
United States,USA,1961,337000000,979000000,395000000,4120000000,695000000,4975000000
United States,USA,1962,365000000,1071000000,427000000,4494000000,714000000,5172000000
United States,USA,1963,385000000,1169000000,458000000,4665000000,725000000,5306000000
United States,USA,1964,408000000,1272000000,493000000,4958000000,761000000,5465000000
United States,USA,1965,440000000,1382000000,541000000,5247000000,809000000,5681000000
United States,USA,1966,487000000,1535000000,593000000,5676000000,864000000,5981000000
United States,USA,1967,551000000,1539000000,623000000,6005000000,904000000,6222000000
United States,USA,1968,587000000,1708000000,667000000,6576000000,955000000,6642000000
United States,USA,1969,624000000,1834000000,691000000,7034000000,987000000,6878000000
United States,USA,1970,657000000,2110000000,760000000,7671000000,1064000000,7652000000
United States,USA,1971,678000000,2297000000,849000000,8506000000,1102000000,8026000000
United States,USA,1972,704000000,2702000000,961000000,8810000000,1113000000,7911000000
