Entity,Code,Year,Oil (terawatt-hours)
Africa,,1966,30.89349029259995
Africa,,1967,-2.776667384599932
Africa,,1968,19.642723193399945
Africa,,1969,5.169789115500009
Africa,,1970,39.946867746800024
Africa,,1971,54.682753449799975
Africa,,1972,39.695967243999974
Africa,,1973,38.775909919300034
Africa,,1974,18.715772186199956
Africa,,1975,26.156486622600028
Africa,,1976,65.99504103930008
Africa,,1977,38.74105806569992
Africa,,1978,36.71810551140004
Africa,,1979,48.86883259749993
Africa,,1980,46.514327700100125
Africa,,1981,53.83071650609986
Africa,,1982,42.702618692700185
Africa,,1983,31.675372168799868
Africa,,1984,20.53646868980013
Africa,,1985,22.23990525320005
Africa,,1986,-15.765831873900083
Africa,,1987,50.18920661740003
Africa,,1988,48.64969362469992
Africa,,1989,40.23963101610002
Africa,,1990,15.878674391200093
Africa,,1991,8.120826136799906
Africa,,1992,26.09138548789997
Africa,,1993,14.016500423000252
Africa,,1994,27.773743722999598
Africa,,1995,43.08055891900017
Africa,,1996,32.168364844999815
Africa,,1997,34.78478222700028
Africa,,1998,31.941911299999674
Africa,,1999,48.859641990000455
Africa,,2000,8.068754439999793
Africa,,2001,19.044748367999773
Africa,,2002,25.659205035000014
Africa,,2003,39.00584885900025
Africa,,2004,71.63703420600018
Africa,,2005,80.13537177099988
Africa,,2006,11.344768435000105
Africa,,2007,56.20209362600008
Africa,,2008,96.44536169199978
Africa,,2009,65.3798209009999
Africa,,2010,89.93603906199996
Africa,,2011,-53.95663486499984
Africa,,2012,108.04645648999963
Africa,,2013,68.65034088400057
Africa,,2014,38.194679618999544
Africa,,2015,48.428900516999875
Africa,,2016,12.263803599000767
Africa,,2017,36.61605133099965
Africa,,2018,-8.971409912000126
Algeria,DZA,1966,4.86745333276
Algeria,DZA,1967,-1.3306741642900022
Algeria,DZA,1968,1.2252702763999999
Algeria,DZA,1969,1.13862861394
Algeria,DZA,1970,3.04175082359
Algeria,DZA,1971,3.09236944493
Algeria,DZA,1972,2.681363895850005
Algeria,DZA,1973,2.7789308268299955
Algeria,DZA,1974,3.6434958391300043
Algeria,DZA,1975,4.086826659199993
Algeria,DZA,1976,6.0870650094
Algeria,DZA,1977,6.088761105340012
Algeria,DZA,1978,1.8014511098199861
Algeria,DZA,1979,10.710672504320016
Algeria,DZA,1980,0.8838127785999887
Algeria,DZA,1981,5.12064277075001
Algeria,DZA,1982,4.25034500580999
Algeria,DZA,1983,9.319003328020003
Algeria,DZA,1984,9.109585279089998
Algeria,DZA,1985,2.551796670970006
Algeria,DZA,1986,1.46745110529001
Algeria,DZA,1987,1.0792697219599745
Algeria,DZA,1988,0.07207472693001193
Algeria,DZA,1989,4.764062504829994
Algeria,DZA,1990,7.874954713489998
Algeria,DZA,1991,-1.18382971378999
Algeria,DZA,1992,0.6648694456600026
Algeria,DZA,1993,-0.5377788990599868
Algeria,DZA,1994,-4.703980831610025
Algeria,DZA,1995,-2.9086130491499915
Algeria,DZA,1996,-4.720203053409989
Algeria,DZA,1997,-0.778660284790007
Algeria,DZA,1998,3.015328614960012
Algeria,DZA,1999,-1.7604022223500095
Algeria,DZA,2000,4.234133890660004
Algeria,DZA,2001,3.6428541655099878
Algeria,DZA,2002,11.621895867100008
Algeria,DZA,2003,4.7768882897999845
Algeria,DZA,2004,5.572712210000006
Algeria,DZA,2005,5.4665546166999945
Algeria,DZA,2006,5.6323358472999985
Algeria,DZA,2007,16.544275805799998
Algeria,DZA,2008,13.525899921500013
Algeria,DZA,2009,10.218532958400004
Algeria,DZA,2010,-0.08557435409997538
Algeria,DZA,2011,12.17879795189998
Algeria,DZA,2012,12.167614776500017
Algeria,DZA,2013,9.181117187399963
Algeria,DZA,2014,8.348767856600006
Algeria,DZA,2015,14.223330436400005
Algeria,DZA,2016,-6.707443983099978
