Entity,Code,Year,Solar (terawatt-hours)
Africa,,1966,0
Africa,,1967,0
Africa,,1968,0
Africa,,1969,0
Africa,,1970,0
Africa,,1971,0
Africa,,1972,0
Africa,,1973,0
Africa,,1974,0
Africa,,1975,0
Africa,,1976,0
Africa,,1977,0
Africa,,1978,0
Africa,,1979,0
Africa,,1980,0
Africa,,1981,0
Africa,,1982,0
Africa,,1983,0
Africa,,1984,0
Africa,,1985,0
Africa,,1986,0
Africa,,1987,0
Africa,,1988,0
Africa,,1989,0
Africa,,1990,0
Africa,,1991,0
Africa,,1992,0
Africa,,1993,0
Africa,,1994,0
Africa,,1995,0
Africa,,1996,0
Africa,,1997,0
Africa,,1998,0
Africa,,1999,0
Africa,,2000,0.048421051429999994
Africa,,2001,0.016578948790000013
Africa,,2002,0.016055284779999984
Africa,,2003,0.008157898390000015
Africa,,2004,0.01368420690000001
Africa,,2005,0.013421054889999992
Africa,,2006,0.020263158340000004
Africa,,2007,0.030853378190000003
Africa,,2008,0.05603133963999998
Africa,,2009,0.060401905270000056
Africa,,2010,0.30524953967999996
Africa,,2011,0.62280407293
Africa,,2012,0.24446533305000018
Africa,,2013,0.7127789864299998
Africa,,2014,2.6367703820900004
Africa,,2015,4.58426682185
Africa,,2016,3.5343264479900007
Africa,,2017,4.47171086775
Africa,,2018,6.364519849260002
Algeria,DZA,1966,0
Algeria,DZA,1967,0
Algeria,DZA,1968,0
Algeria,DZA,1969,0
Algeria,DZA,1970,0
Algeria,DZA,1971,0
Algeria,DZA,1972,0
Algeria,DZA,1973,0
Algeria,DZA,1974,0
Algeria,DZA,1975,0
Algeria,DZA,1976,0
Algeria,DZA,1977,0
Algeria,DZA,1978,0
Algeria,DZA,1979,0
Algeria,DZA,1980,0
Algeria,DZA,1981,0
Algeria,DZA,1982,0
Algeria,DZA,1983,0
Algeria,DZA,1984,0
Algeria,DZA,1985,0
Algeria,DZA,1986,0
Algeria,DZA,1987,0
Algeria,DZA,1988,0
Algeria,DZA,1989,0
Algeria,DZA,1990,0
Algeria,DZA,1991,0
Algeria,DZA,1992,0
Algeria,DZA,1993,0
Algeria,DZA,1994,0
Algeria,DZA,1995,0
Algeria,DZA,1996,0
Algeria,DZA,1997,0
Algeria,DZA,1998,0
Algeria,DZA,1999,0
Algeria,DZA,2000,0
Algeria,DZA,2001,0
Algeria,DZA,2002,0
Algeria,DZA,2003,0
Algeria,DZA,2004,0
Algeria,DZA,2005,0
Algeria,DZA,2006,0
Algeria,DZA,2007,0
Algeria,DZA,2008,0
Algeria,DZA,2009,0
Algeria,DZA,2010,0.02394736789
Algeria,DZA,2011,0.02373355034
Algeria,DZA,2012,0.022642807529999996
Algeria,DZA,2013,0.0049394354500000015
Algeria,DZA,2014,0.08263158031000002
Algeria,DZA,2015,-0.0052631681299999955
Algeria,DZA,2016,0.4921052723100001
