Entity,Code,Year,Both sexes (number of deaths) (deaths)
1-4 years,,1915,55570
1-4 years,,1925,27813
1-4 years,,1935,11506
1-4 years,,1945,6420
1-4 years,,1955,2629
1-4 years,,1965,2664
1-4 years,,1975,1698
1-4 years,,1985,1131
1-4 years,,1995,738
1-4 years,,2005,516
1-4 years,,2015,459
10-14 years,,1915,8442
10-14 years,,1925,5884
10-14 years,,1935,4505
10-14 years,,1945,2547
10-14 years,,1955,1174
10-14 years,,1965,1161
10-14 years,,1975,1044
10-14 years,,1985,811
10-14 years,,1995,558
10-14 years,,2005,464
10-14 years,,2015,296
15-19 years,,1915,11193
15-19 years,,1925,9307
15-19 years,,1935,6377
15-19 years,,1945,4042
15-19 years,,1955,1769
15-19 years,,1965,2621
15-19 years,,1975,2215
15-19 years,,1985,1917
15-19 years,,1995,1273
15-19 years,,2005,1234
15-19 years,,2015,830
20-24 years,,1915,12871
20-24 years,,1925,10814
20-24 years,,1935,9399
20-24 years,,1945,5404
20-24 years,,1955,2379
20-24 years,,1965,2371
20-24 years,,1975,2424
20-24 years,,1985,2359
20-24 years,,1995,2088
20-24 years,,2005,1690
20-24 years,,2015,1348
25-29 years,,1915,13536
25-29 years,,1925,10550
25-29 years,,1935,10035
25-29 years,,1945,5427
25-29 years,,1955,2906
25-29 years,,1965,2362
25-29 years,,1975,2520
25-29 years,,1985,2059
25-29 years,,1995,2651
25-29 years,,2005,1859
25-29 years,,2015,1719
30-34 years,,1915,15310
30-34 years,,1925,10895
30-34 years,,1935,10411
30-34 years,,1945,6989
30-34 years,,1955,4032
30-34 years,,1965,2852
30-34 years,,1975,2627
30-34 years,,1985,2470
30-34 years,,1995,3301
30-34 years,,2005,2760
30-34 years,,2015,2372
35-39 years,,1915,18560
35-39 years,,1925,12959
35-39 years,,1935,11567
35-39 years,,1945,8890
35-39 years,,1955,5017
35-39 years,,1965,4781
35-39 years,,1975,3731
35-39 years,,1985,4053
35-39 years,,1995,3854
35-39 years,,2005,4116
35-39 years,,2015,3336
40-44 years,,1915,20770
40-44 years,,1925,16591
40-44 years,,1935,13856
40-44 years,,1945,11938
40-44 years,,1955,8953
40-44 years,,1965,8781
40-44 years,,1975,6395
40-44 years,,1985,5543
40-44 years,,1995,5644
40-44 years,,2005,6058
40-44 years,,2015,5247
45-49 years,,1915,24009
45-49 years,,1925,21090
45-49 years,,1935,19114
45-49 years,,1945,16414
45-49 years,,1955,15033
45-49 years,,1965,12593
45-49 years,,1975,12107
45-49 years,,1985,8888
45-49 years,,1995,9490
45-49 years,,2005,8336
45-49 years,,2015,8428
5-9 years,,1915,14424
5-9 years,,1925,7678
5-9 years,,1935,6108
5-9 years,,1945,3362
5-9 years,,1955,1580
5-9 years,,1965,1396
5-9 years,,1975,1140
5-9 years,,1985,589
5-9 years,,1995,470
5-9 years,,2005,300
5-9 years,,2015,274
50-54 years,,1915,28093
50-54 years,,1925,26185
50-54 years,,1935,26026
50-54 years,,1945,23076
50-54 years,,1955,23941
50-54 years,,1965,23038
50-54 years,,1975,22292
50-54 years,,1985,15067
50-54 years,,1995,12939
50-54 years,,2005,11967
50-54 years,,2015,12496
55-59 years,,1915,32173
55-59 years,,1925,30678
55-59 years,,1935,34454
55-59 years,,1945,32340
55-59 years,,1955,32530
55-59 years,,1965,36150
55-59 years,,1975,29710
55-59 years,,1985,26704
55-59 years,,1995,19222
55-59 years,,2005,19671
55-59 years,,2015,16689
60-64 years,,1915,38486
60-64 years,,1925,37515
60-64 years,,1935,44578
60-64 years,,1945,45000
60-64 years,,1955,44934
60-64 years,,1965,53350
60-64 years,,1975,50594
60-64 years,,1985,46668
60-64 years,,1995,30352
60-64 years,,2005,25476
60-64 years,,2015,24063
65-69 years,,1915,41827
65-69 years,,1925,43939
65-69 years,,1935,53415
65-69 years,,1945,57759
65-69 years,,1955,60919
65-69 years,,1965,65121
65-69 years,,1975,72265
65-69 years,,1985,57603
65-69 years,,1995,49983
65-69 years,,2005,35697
65-69 years,,2015,37868
70-74 years,,1915,47619
70-74 years,,1925,48799
70-74 years,,1935,59965
70-74 years,,1945,67568
70-74 years,,1955,77390
70-74 years,,1965,77434
70-74 years,,1975,90272
70-74 years,,1985,87345
70-74 years,,1995,77183
70-74 years,,2005,51282
70-74 years,,2015,47351
75-79 years,,1915,42010
75-79 years,,1925,44424
75-79 years,,1935,56270
75-79 years,,1945,66265
75-79 years,,1955,86712
75-79 years,,1965,84948
75-79 years,,1975,92224
75-79 years,,1985,104483
75-79 years,,1995,84566
75-79 years,,2005,73766
75-79 years,,2015,64809
80+ years,,1915,47884
80+ years,,1925,54310
80+ years,,1935,66182
80+ years,,1945,85574
80+ years,,1955,130178
80+ years,,1965,151200
80+ years,,1975,180287
80+ years,,1985,216504
80+ years,,1995,257396
80+ years,,2005,264032
80+ years,,2015,300169
<1 year old,,1915,89380
<1 year old,,1925,53316
<1 year old,,1935,34092
<1 year old,,1945,31959
<1 year old,,1955,16613
<1 year old,,1965,16395
<1 year old,,1975,9488
<1 year old,,1985,6141
<1 year old,,1995,3968
<1 year old,,2005,3248
<1 year old,,2015,2721
