Entity,Code,Year,Fossil fuels (%)
Africa,,1966,4.128503834980113
Africa,,1967,0.96103722550831
Africa,,1968,4.828196050432365
Africa,,1969,1.2226479795066636
Africa,,1970,7.114147931074122
Africa,,1971,9.734845646140489
Africa,,1972,5.626215892678688
Africa,,1973,8.162771722485829
Africa,,1974,4.055901731937994
Africa,,1975,5.92693171351617
Africa,,1976,8.652868538253289
Africa,,1977,4.715703203828081
Africa,,1978,4.0209299177841995
Africa,,1979,9.64852909520384
Africa,,1980,8.58831503973505
Africa,,1981,11.981096237022948
Africa,,1982,7.256528616614255
Africa,,1983,3.3845491527486615
Africa,,1984,3.1732061651249976
Africa,,1985,3.2751311734161126
Africa,,1986,1.777767391795737
Africa,,1987,3.9465612824809204
Africa,,1988,6.636759506352874
Africa,,1989,-0.054467721518036694
Africa,,1990,3.646904846727317
Africa,,1991,-0.5574232892681552
Africa,,1992,2.10999373194396
Africa,,1993,0.7603683061850441
Africa,,1994,2.804394233663854
Africa,,1995,3.929501647916367
Africa,,1996,2.562614431745236
Africa,,1997,1.79805693384667
Africa,,1998,1.2582008395860322
Africa,,1999,2.9543511570383485
Africa,,2000,2.035202304329231
Africa,,2001,3.984887655683944
Africa,,2002,0.7445283186138019
Africa,,2003,5.325229969044187
Africa,,2004,7.314886214969563
Africa,,2005,0.8424727458026471
Africa,,2006,1.7577936455322352
Africa,,2007,3.600505336537818
Africa,,2008,6.630113288663098
Africa,,2009,1.7301054793749548
Africa,,2010,2.8150466871539104
Africa,,2011,0.22884129302058742
Africa,,2012,3.829533965488041
Africa,,2013,2.2826472618191485
Africa,,2014,2.836164798802332
Africa,,2015,1.813028293854746
Africa,,2016,2.1372098334478062
Africa,,2017,1.639320339712813
Africa,,2018,2.6698142170753947
Algeria,DZA,1966,21.70391317389113
Algeria,DZA,1967,-6.072218315670142
Algeria,DZA,1968,6.085288592939242
Algeria,DZA,1969,13.219977314116814
Algeria,DZA,1970,7.921134192279933
Algeria,DZA,1971,10.59585317987648
Algeria,DZA,1972,11.422695989319575
Algeria,DZA,1973,18.161490511853785
Algeria,DZA,1974,12.566455997971616
Algeria,DZA,1975,20.822806694565287
