Entity,Code,Year,Renewables (%)
Africa,,1966,9.596344421865677
Africa,,1967,3.2544087584296166
Africa,,1968,15.253119328444974
Africa,,1969,15.893877425539205
Africa,,1970,25.452515674564392
Africa,,1971,-3.9727814670402872
Africa,,1972,15.38915370726086
Africa,,1973,-0.09378235482299102
Africa,,1974,17.65026051063474
Africa,,1975,5.06707544284144
Africa,,1976,10.782774158430142
Africa,,1977,10.29613952994335
Africa,,1978,2.225924177273031
Africa,,1979,2.5953444460355524
Africa,,1980,-2.620060328438789
Africa,,1981,5.100389785618309
Africa,,1982,0.5623330493260026
Africa,,1983,-6.40450663454728
Africa,,1984,-0.8285161910658645
Africa,,1985,9.6027207547025
Africa,,1986,4.194316751084526
Africa,,1987,-4.02429012100235
Africa,,1988,9.060809347530707
Africa,,1989,4.930740464464889
Africa,,1990,1.919496304568824
Africa,,1991,5.868296834504183
Africa,,1992,-4.5071995438561885
Africa,,1993,-1.8735701066815436
Africa,,1994,1.4015687087020057
Africa,,1995,4.041505569145509
Africa,,1996,4.540898465871868
Africa,,1997,2.5923573948101852
Africa,,1998,4.769977700883166
Africa,,1999,5.8644535233763895
Africa,,2000,7.580396495561881
Africa,,2001,7.637461840866933
Africa,,2002,5.1449508331904426
Africa,,2003,-2.1299232980690586
Africa,,2004,5.960833265372667
Africa,,2005,1.8741329652604222
Africa,,2006,4.324285964848196
Africa,,2007,2.733906220901683
Africa,,2008,2.272183349566048
Africa,,2009,3.1397788960039197
Africa,,2010,8.325926399888829
Africa,,2011,3.1822856721420933
Africa,,2012,1.002182252656092
Africa,,2013,6.686843579533752
Africa,,2014,7.75149004994895
Africa,,2015,2.605137343723274
Africa,,2016,0.20507309025892262
Africa,,2017,8.13505936201604
Africa,,2018,8.74086404154717
Algeria,DZA,1966,-7.865168539325862
Algeria,DZA,1967,12.195121951219523
Algeria,DZA,1968,36.956521739130444
Algeria,DZA,1969,-34.92063492063493
Algeria,DZA,1970,60.97560975609757
Algeria,DZA,1971,-43.93939393939393
Algeria,DZA,1972,52.702702702702695
Algeria,DZA,1973,51.327433628318595
Algeria,DZA,1974,-33.91812865497076
Algeria,DZA,1975,-34.51327433628318
Algeria,DZA,1976,17.567567567567565
Algeria,DZA,1977,-29.885057471264375
Algeria,DZA,1978,-4.91803278688524
Algeria,DZA,1979,13.793103448275868
Algeria,DZA,1980,-12.121212121212121
Algeria,DZA,1981,41.37931034482758
Algeria,DZA,1982,31.70731707317076
Algeria,DZA,1983,-50.92592592592593
Algeria,DZA,1984,94.33962264150946
Algeria,DZA,1985,41.916202912621344
Algeria,DZA,1986,-61.30030966106356
Algeria,DZA,1987,99.60000010606561
Algeria,DZA,1988,-63.32665330838807
Algeria,DZA,1989,23.49726876250231
Algeria,DZA,1990,-40.2654874351766
Algeria,DZA,1991,117.0370391224604
Algeria,DZA,1992,-32.081911602558456
Algeria,DZA,1993,77.38693403725713
Algeria,DZA,1994,-52.97450409324078
Algeria,DZA,1995,16.26506123531284
Algeria,DZA,1996,-30.051814373203044
Algeria,DZA,1997,-44.44444589939095
Algeria,DZA,1998,186.66667570188474
Algeria,DZA,1999,-5.581395912914234
Algeria,DZA,2000,-73.39901519657502
Algeria,DZA,2001,27.777779141790138
Algeria,DZA,2002,-17.391306297151875
Algeria,DZA,2003,364.9122966164918
Algeria,DZA,2004,-5.283019125945754
Algeria,DZA,2005,121.23506031512612
Algeria,DZA,2006,-60.8139745295645
Algeria,DZA,2007,3.8602951294008037
Algeria,DZA,2008,25.221237899741556
Algeria,DZA,2009,20.84805724893881
Algeria,DZA,2010,-46.754386845663745
Algeria,DZA,2011,117.52814631189548
Algeria,DZA,2012,4.949087597197899
Algeria,DZA,2013,-69.3064860167273
Algeria,DZA,2014,99.05956138910187
Algeria,DZA,2015,-12.598426909371307
Algeria,DZA,2016,51.37480069650544
Algeria,DZA,2017,72.29473452587885
Algeria,DZA,2018,26.07944818775938
Argentina,ARG,1966,1.4598540145985606
Argentina,ARG,1967,2.1582733812949506
Argentina,ARG,1968,17.957746478873272
