Entity,Code,Year,
Austria,AUT,2013,5.9
Belgium,BEL,2013,5.7
Bulgaria,BGR,2013,4.2
Croatia,HRV,2013,5.1
Cyprus,CYP,2013,4.5
Czech Republic,CZE,2013,5.3
Denmark,DNK,2013,8.3
Estonia,EST,2013,5.8
Finland,FIN,2013,7.4
France,FRA,2013,5
Germany,DEU,2013,5.5
Greece,GRC,2013,5.3
Hungary,HUN,2013,5.3
Iceland,ISL,2013,7
Ireland,IRL,2013,6.4
Italy,ITA,2013,5.7
Latvia,LVA,2013,6.5
Lithuania,LTU,2013,6.1
Luxembourg,LUX,2013,5.5
Malta,MLT,2013,6.2
Netherlands,NLD,2013,6.9
Norway,NOR,2013,7.3
Poland,POL,2013,6
Portugal,PRT,2013,5.3
Romania,ROU,2013,6.4
Serbia,SRB,2013,4.2
Slovakia,SVK,2013,5.8
Slovenia,SVN,2013,6.5
Spain,ESP,2013,6.3
Sweden,SWE,2013,6.9
Switzerland,CHE,2013,6.4
United Kingdom,GBR,2013,6.1
