Entity,Code,Year,Avertable deaths from rotavirus (avertable deaths)
Afghanistan,AFG,2016,642
Albania,ALB,2016,0
Algeria,DZA,2016,33
American Samoa,ASM,2016,0
Andorra,AND,2016,0
Angola,AGO,2016,874
Antigua and Barbuda,ATG,2016,0
Argentina,ARG,2016,13
Armenia,ARM,2016,0
Australia,AUS,2016,0
Austria,AUT,2016,0
Azerbaijan,AZE,2016,20
Bahamas,BHS,2016,0
Bahrain,BHR,2016,0
Bangladesh,BGD,2016,598
Barbados,BRB,2016,0
Belarus,BLR,2016,0
Belgium,BEL,2016,0
Belize,BLZ,2016,1
Benin,BEN,2016,1380
Bermuda,BMU,2016,0
Bhutan,BTN,2016,2
Bolivia,BOL,2016,10
Bosnia and Herzegovina,BIH,2016,0
Botswana,BWA,2016,1
Brazil,BRA,2016,22
Brunei,BRN,2016,0
Bulgaria,BGR,2016,1
Burkina Faso,BFA,2016,689
Burundi,BDI,2016,327
Cambodia,KHM,2016,73
Cameroon,CMR,2016,753
Canada,CAN,2016,1
Cape Verde,CPV,2016,2
Caribbean,,2016,90
Central African Republic,CAF,2016,942
Central Asia,,2016,101
Central Europe,,2016,19
Central Sub-Saharan Africa,,2016,11188
Chad,TCD,2016,3235
Chile,CHL,2016,2
China,CHN,2016,56
Colombia,COL,2016,8
Comoros,COM,2016,14
Congo,COG,2016,117
Costa Rica,CRI,2016,2
Cote d'Ivoire,CIV,2016,1301
Croatia,HRV,2016,0
Cuba,CUB,2016,2
Cyprus,CYP,2016,0
Czech Republic,CZE,2016,1
Democratic Republic of Congo,COD,2016,9217
Denmark,DNK,2016,1
Djibouti,DJI,2016,9
Dominica,DMA,2016,0
Dominican Republic,DOM,2016,16
East Asia,,2016,190
Eastern Europe,,2016,41
Eastern Sub-Saharan Africa,,2016,6976
Ecuador,ECU,2016,2
Egypt,EGY,2016,690
El Salvador,SLV,2016,3
England,,2016,1
Equatorial Guinea,GNQ,2016,4
Eritrea,ERI,2016,19
Estonia,EST,2016,0
Ethiopia,ETH,2016,1545
Fiji,FJI,2016,1
Finland,FIN,2016,0
France,FRA,2016,14
Gabon,GAB,2016,34
Gambia,GMB,2016,11
Georgia,GEO,2016,1
Germany,DEU,2016,3
Ghana,GHA,2016,130
Greece,GRC,2016,0
Greenland,GRL,2016,0
Grenada,GRD,2016,0
Guam,GUM,2016,0
Guatemala,GTM,2016,16
Guinea,GIN,2016,649
Guinea-Bissau,GNB,2016,76
Guyana,GUY,2016,1
Haiti,HTI,2016,65
High-income,,2016,69
High-income Asia Pacific,,2016,8
Honduras,HND,2016,7
Hungary,HUN,2016,0
Iceland,ISL,2016,0
India,IND,2016,7712
Indonesia,IDN,2016,1523
Iran,IRN,2016,119
Iraq,IRQ,2016,167
Ireland,IRL,2016,0
Israel,ISR,2016,1
Italy,ITA,2016,3
Jamaica,JAM,2016,3
Japan,JPN,2016,6
Jordan,JOR,2016,2
Kazakhstan,KAZ,2016,7
Kenya,KEN,2016,455
Kiribati,KIR,2016,1
Kuwait,KWT,2016,1
Kyrgyzstan,KGZ,2016,18
Laos,LAO,2016,252
Latin America and the Caribbean,,2016,308
Latvia,LVA,2016,0
Lebanon,LBN,2016,2
Lesotho,LSO,2016,108
Liberia,LBR,2016,408
Libya,LBY,2016,0
Lithuania,LTU,2016,0
Luxembourg,LUX,2016,0
Macedonia,MKD,2016,1
Madagascar,MDG,2016,636
Malawi,MWI,2016,181
Malaysia,MYS,2016,6
Maldives,MDV,2016,0
Mali,MLI,2016,671
Malta,MLT,2016,0
Marshall Islands,MHL,2016,0
Mauritania,MRT,2016,106
Mauritius,MUS,2016,0
Mexico,MEX,2016,84
Micronesia (region),,2016,0
Moldova,MDA,2016,0
Mongolia,MNG,2016,0
Montenegro,MNE,2016,0
Morocco,MAR,2016,28
Mozambique,MOZ,2016,553
Myanmar,MMR,2016,247
Namibia,NAM,2016,36
Nepal,NPL,2016,122
Netherlands,NLD,2016,2
New Zealand,NZL,2016,0
Nicaragua,NIC,2016,0
Niger,NER,2016,1955
Nigeria,NGA,2016,36428
North Africa and Middle East,,2016,2502
North America,,2016,13
North Korea,PRK,2016,132
Northern Ireland,,2016,0
Northern Mariana Islands,MNP,2016,0
Norway,NOR,2016,0
Oceania,,2016,63
Oman,OMN,2016,1
Pakistan,PAK,2016,1659
Palestine,PSE,2016,5
Panama,PAN,2016,6
Papua New Guinea,PNG,2016,55
Paraguay,PRY,2016,3
Peru,PER,2016,4
Philippines,PHL,2016,341
Poland,POL,2016,2
Portugal,PRT,2016,1
Puerto Rico,PRI,2016,0
Qatar,QAT,2016,0
Romania,ROU,2016,12
Russia,RUS,2016,37
Rwanda,RWA,2016,57
Saint Lucia,LCA,2016,0
Saint Vincent and the Grenadines,VCT,2016,0
Samoa,WSM,2016,0
Sao Tome and Principe,STP,2016,2
Saudi Arabia,SAU,2016,1
Scotland,,2016,0
Senegal,SEN,2016,252
Serbia,SRB,2016,1
Seychelles,SYC,2016,0
Sierra Leone,SLE,2016,439
Singapore,SGP,2016,2
Slovakia,SVK,2016,1
Slovenia,SVN,2016,0
Solomon Islands,SLB,2016,4
Somalia,SOM,2016,396
South Africa,ZAF,2016,85
South Asia,,2016,10093
South Korea,KOR,2016,0
South Sudan,SSD,2016,700
Southeast Asia,,2016,2539
Southern Latin America,,2016,16
Southern Sub-Saharan Africa,,2016,409
Spain,ESP,2016,1
Sri Lanka,LKA,2016,2
Sub-Saharan Africa,,2016,67234
Sudan,SDN,2016,217
Suriname,SUR,2016,2
Swaziland,SWZ,2016,22
Sweden,SWE,2016,0
Switzerland,CHE,2016,1
Syria,SYR,2016,4
Taiwan,TWN,2016,2
Tajikistan,TJK,2016,41
Tanzania,TZA,2016,255
Thailand,THA,2016,19
Timor,TLS,2016,41
Togo,TGO,2016,174
Tonga,TON,2016,0
Trinidad and Tobago,TTO,2016,0
Tunisia,TUN,2016,3
Turkey,TUR,2016,30
Turkmenistan,TKM,2016,13
Uganda,UGA,2016,1639
Ukraine,UKR,2016,4
United Arab Emirates,ARE,2016,0
United States,USA,2016,12
United States Virgin Islands,VIR,2016,0
Uruguay,URY,2016,1
Uzbekistan,UZB,2016,0
Vanuatu,VUT,2016,2
Venezuela,VEN,2016,49
Vietnam,VNM,2016,34
Wales,,2016,0
Western Europe,,2016,31
Western Sub-Saharan Africa,,2016,48660
World,OWID_WRL,2016,83158
Yemen,YEM,2016,558
Zambia,ZMB,2016,192
Zimbabwe,ZWE,2016,157
