Entity,Code,Year,Central Gov Expenditure (% GDP)
Australia,AUS,1900,1.103945822
Australia,AUS,1905,2.254664339
Australia,AUS,1910,2.276665345
Australia,AUS,1913,2.287954465
Australia,AUS,1920,6.390944123
Australia,AUS,1922,4.661104828
Australia,AUS,1925,3.584734723
Australia,AUS,1929,4.189994186
Australia,AUS,1932,5.101581663
Australia,AUS,1935,4.601599649
Australia,AUS,1938,4.087539762
Australia,AUS,1945,18.87246221
Australia,AUS,1948,10.66337451
Australia,AUS,1950,9.662200511
Australia,AUS,1951,9.889015555
Australia,AUS,1952,12.39124686
Australia,AUS,1953,12.67163157
Australia,AUS,1954,11.16437614
Australia,AUS,1955,11.26887277
Australia,AUS,1956,11.57078221
Australia,AUS,1957,11.23271435
Australia,AUS,1958,11.44278646
Australia,AUS,1959,11.57171503
Australia,AUS,1960,10.63456833
Australia,AUS,1961,11.58536598
Australia,AUS,1962,11.38548926
Australia,AUS,1963,11.3203764
Australia,AUS,1964,11.80269271
Australia,AUS,1965,12.59832531
Australia,AUS,1966,13.05468529
Australia,AUS,1967,13.57811987
Australia,AUS,1968,13.97438794
Australia,AUS,1969,13.47690672
Australia,AUS,1970,13.68121505
Australia,AUS,1971,14.28708881
Australia,AUS,1972,14.69915509
Australia,AUS,1973,14.60870802
Australia,AUS,1974,15.58356434
Australia,AUS,1975,17.77673811
Australia,AUS,1976,17.86921322
Australia,AUS,1977,17.81013161
Australia,AUS,1978,18.02439541
Australia,AUS,1979,17.24749655
Australia,AUS,1980,17.77803004
Australia,AUS,1981,17.95638204
Australia,AUS,1982,18.26042235
Australia,AUS,1983,19.13789213
Australia,AUS,1984,19.20791864
Australia,AUS,1985,19.34119463
Australia,AUS,1986,19.80885267
Australia,AUS,1987,18.72280985
Australia,AUS,1988,17.95976758
Australia,AUS,1989,17.43658483
Australia,AUS,1990,18.07228625
Australia,AUS,1991,19.16430295
Australia,AUS,1992,19.13050413
Australia,AUS,1993,18.92719567
Australia,AUS,1994,18.43046099
Australia,AUS,1995,18.29831898
Australia,AUS,1996,18.32037866
Australia,AUS,1997,18.07379872
Australia,AUS,1998,18.08432192
Australia,AUS,1999,18.16464961
Australia,AUS,2000,18.20157319
Australia,AUS,2001,18.08732599
Australia,AUS,2002,17.9327324
Australia,AUS,2003,18.04666221
Australia,AUS,2004,18.09561551
Australia,AUS,2005,18.15026104
Canada,CAN,1900,3.751241043
Canada,CAN,1905,3.850353882
Canada,CAN,1910,4.107483476
Canada,CAN,1913,4.750435054
Canada,CAN,1920,6.781020015
Canada,CAN,1922,6.990567595
Canada,CAN,1925,4.94319126
Canada,CAN,1929,4.491886869
Canada,CAN,1932,9.497076273
Canada,CAN,1935,8.438423276
Canada,CAN,1938,7.14167133
Canada,CAN,1945,29.47772741
Canada,CAN,1948,9.146954864
Canada,CAN,1950,10.08104607
Canada,CAN,1951,12.61669695
Canada,CAN,1952,14.38220143
Canada,CAN,1953,14.48759288
Canada,CAN,1954,14.41709697
Canada,CAN,1955,13.79829049
Canada,CAN,1956,13.45206946
Canada,CAN,1957,13.26776296
Canada,CAN,1958,13.60082924
Canada,CAN,1959,13.13726008
Canada,CAN,1960,13.38724345
Canada,CAN,1961,14.97583389
Canada,CAN,1962,14.702788
Canada,CAN,1963,14.43464458
Canada,CAN,1964,14.3218711
Canada,CAN,1965,14.27412331
Canada,CAN,1966,14.87704068
Canada,CAN,1967,15.9143731
Canada,CAN,1968,16.66206867
Canada,CAN,1969,16.92335159
Canada,CAN,1970,18.23927909
Canada,CAN,1971,18.51893216
Canada,CAN,1972,18.31994355
Canada,CAN,1973,17.71999747
Canada,CAN,1974,17.83975363
Canada,CAN,1975,19.16012466
Canada,CAN,1976,19.13757473
Canada,CAN,1977,19.64538693
Canada,CAN,1978,19.35093999
Canada,CAN,1979,18.70182455
Canada,CAN,1980,18.84601861
Canada,CAN,1981,19.08392012
Canada,CAN,1982,20.70636749
Canada,CAN,1983,20.55757791
Canada,CAN,1984,19.81596202
Canada,CAN,1985,19.66568828
Canada,CAN,1986,19.5358023
Canada,CAN,1987,18.92587692
Canada,CAN,1988,18.67119819
Canada,CAN,1989,18.86919886
Canada,CAN,1990,19.87804472
Canada,CAN,1991,23.69985729
Canada,CAN,1992,24.11560714
Canada,CAN,1993,23.55263531
Canada,CAN,1994,22.27721065
Canada,CAN,1995,21.30336463
Canada,CAN,1996,20.47536969
Canada,CAN,1997,19.47168559
Canada,CAN,1998,19.32756454
Canada,CAN,1999,18.65628511
Canada,CAN,2000,18.22326779
Canada,CAN,2001,18.7372908
Canada,CAN,2002,18.95276904
Canada,CAN,2003,19.0188542
Canada,CAN,2004,19.26351339
Canada,CAN,2005,19.16879117
Denmark,DNK,1900,5.999626592
Denmark,DNK,1905,6.458609551
Denmark,DNK,1910,7.036473602
Denmark,DNK,1913,4.684823751
Denmark,DNK,1920,7.326928526
Denmark,DNK,1922,9.383717179
Denmark,DNK,1925,6.889559329
Denmark,DNK,1929,5.659825355
Denmark,DNK,1932,6.62305057
Denmark,DNK,1935,6.263164431
Denmark,DNK,1938,6.724895537
Denmark,DNK,1945,9.070518613
Denmark,DNK,1948,11.37300879
Denmark,DNK,1950,10.21420583
Denmark,DNK,1951,11.34546399
Denmark,DNK,1952,11.99140847
Denmark,DNK,1953,12.23895252
Denmark,DNK,1954,12.78108656
Denmark,DNK,1955,12.51728982
Denmark,DNK,1956,12.48019636
Denmark,DNK,1957,12.44295686
Denmark,DNK,1958,12.66744286
Denmark,DNK,1959,12.36739829
Denmark,DNK,1960,12.30814531
