Entity,Code,Year,Average IQ change (Pietschnig and Voracek (2015)) (IQ points)
Argentina,ARG,1964,0
Argentina,ARG,1998,24.48
Australia,AUS,1936,0
Australia,AUS,1995,24.78
Austria,AUT,1962,0
Austria,AUT,2000,9.12
Belgium,BEL,1958,0
Belgium,BEL,1967,7.29
Brazil,BRA,1930,0
Brazil,BRA,2007,-9.24
Bulgaria,BGR,1941,0
Bulgaria,BGR,1973,6.72
Canada,CAN,1946,0
Canada,CAN,1976,13.2
China,CHN,1984,0
China,CHN,2011,5.94
Denmark,DNK,1959,0
Denmark,DNK,2004,7.65
Dominica,DMA,1947,0
Dominica,DMA,1983,17.64
Estonia,EST,1935,0
Estonia,EST,2006,12.07
Finland,FIN,1988,0
Finland,FIN,2009,4.2
France,FRA,1938,0
France,FRA,1993,24.2
Germany,DEU,1956,0
Germany,DEU,2008,31.2
Ireland,IRL,1942,0
Ireland,IRL,1972,6.6
Israel,ISR,1971,0
Israel,ISR,1984,7.54
Japan,JPN,1951,0
Japan,JPN,1975,24.48
Kenya,KEN,1984,0
Kenya,KEN,1998,25.06
Netherlands,NLD,1952,0
Netherlands,NLD,2005,19.08
New Zealand,NZL,1936,0
New Zealand,NZL,1978,10.08
Norway,NOR,1954,0
Norway,NOR,2002,11.04
Saudi Arabia,SAU,1977,0
Saudi Arabia,SAU,2013,12.6
South Africa,ZAF,1963,0
South Africa,ZAF,1987,3.84
South Korea,KOR,1986,0
South Korea,KOR,1999,7.28
Spain,ESP,1963,0
Spain,ESP,2000,17.02
Sudan,SDN,1964,0
Sudan,SDN,2007,12.04
Sweden,SWE,1912,0
Sweden,SWE,2004,23
Switzerland,CHE,1954,0
Switzerland,CHE,1981,21.6
Turkey,TUR,1977,0
Turkey,TUR,2010,5.28
United Kingdom,GBR,1932,0
United Kingdom,GBR,2008,8.36
United States,USA,1909,0
United States,USA,2006,32.98
