Entity,Code,Year,"Child mortality rate from rotavirus (deaths per 100,000)"
Afghanistan,AFG,2016,16.9
Albania,ALB,2016,0.1
Algeria,DZA,2016,0.9
American Samoa,ASM,2016,0.5
Andorra,AND,2016,0.2
Angola,AGO,2016,40.8
Antigua and Barbuda,ATG,2016,0.9
Argentina,ARG,2016,0.8
Armenia,ARM,2016,0.5
Australia,AUS,2016,0.2
Austria,AUT,2016,0.1
Azerbaijan,AZE,2016,2.8
Bahamas,BHS,2016,0.7
Bahrain,BHR,2016,0.1
Bangladesh,BGD,2016,5.5
Barbados,BRB,2016,0.6
Belarus,BLR,2016,0.1
Belgium,BEL,2016,0.3
Belize,BLZ,2016,1.6
Benin,BEN,2016,94.5
Bermuda,BMU,2016,0.1
Bhutan,BTN,2016,3.6
Bolivia,BOL,2016,3.2
Bosnia and Herzegovina,BIH,2016,0.4
Botswana,BWA,2016,4.3
Brazil,BRA,2016,1.7
Brunei,BRN,2016,0.3
Bulgaria,BGR,2016,0.5
Burkina Faso,BFA,2016,84.5
Burundi,BDI,2016,84.7
Cambodia,KHM,2016,5.1
Cameroon,CMR,2016,50.6
Canada,CAN,2016,0.1
Cape Verde,CPV,2016,3.9
Caribbean,,2016,5
Central African Republic,CAF,2016,166
Central Asia,,2016,2.5
Central Europe,,2016,0.4
Central Sub-Saharan Africa,,2016,75.1
Chad,TCD,2016,160.1
Chile,CHL,2016,0.2
China,CHN,2016,0.8
Colombia,COL,2016,2.4
Comoros,COM,2016,19.6
Congo,COG,2016,36.6
Costa Rica,CRI,2016,0.8
Cote d'Ivoire,CIV,2016,72.9
Croatia,HRV,2016,0.1
Cuba,CUB,2016,0.4
Cyprus,CYP,2016,0.6
Czech Republic,CZE,2016,0.1
Democratic Republic of Congo,COD,2016,85.8
Denmark,DNK,2016,0.5
Djibouti,DJI,2016,11.1
Dominica,DMA,2016,1.2
Dominican Republic,DOM,2016,3.6
East Asia,,2016,3.7
Eastern Europe,,2016,0.4
Eastern Sub-Saharan Africa,,2016,26.1
Ecuador,ECU,2016,1.1
Egypt,EGY,2016,8.3
El Salvador,SLV,2016,2.9
England,,2016,0.1
Equatorial Guinea,GNQ,2016,5.5
Eritrea,ERI,2016,36.3
Estonia,EST,2016,0
Ethiopia,ETH,2016,17.3
Fiji,FJI,2016,7
Finland,FIN,2016,0.1
France,FRA,2016,0.5
Gabon,GAB,2016,18.1
Gambia,GMB,2016,10
Georgia,GEO,2016,0.4
Germany,DEU,2016,0.2
Ghana,GHA,2016,15.3
Greece,GRC,2016,0
Greenland,GRL,2016,0.3
Grenada,GRD,2016,0.7
Guam,GUM,2016,0.2
Guatemala,GTM,2016,7
Guinea,GIN,2016,41.8
Guinea-Bissau,GNB,2016,63.1
Guyana,GUY,2016,8.4
Haiti,HTI,2016,9.6
High-income,,2016,0.2
High-income Asia Pacific,,2016,0.1
Honduras,HND,2016,5.3
Hungary,HUN,2016,0.1
Iceland,ISL,2016,0.1
India,IND,2016,9.2
Indonesia,IDN,2016,8.8
Iran,IRN,2016,1.9
Iraq,IRQ,2016,4.1
Ireland,IRL,2016,0.1
Israel,ISR,2016,0.4
Italy,ITA,2016,0.2
Jamaica,JAM,2016,1.4
Japan,JPN,2016,0.2
Jordan,JOR,2016,0.7
Kazakhstan,KAZ,2016,0.5
Kenya,KEN,2016,21.4
Kiribati,KIR,2016,11
Kuwait,KWT,2016,0.3
Kyrgyzstan,KGZ,2016,3.1
Laos,LAO,2016,29.1
Latin America and the Caribbean,,2016,2.5
Latvia,LVA,2016,0.1
Lebanon,LBN,2016,0.6
Lesotho,LSO,2016,54.7
Liberia,LBR,2016,93.2
Libya,LBY,2016,0.5
Lithuania,LTU,2016,0.1
Luxembourg,LUX,2016,0.3
Macedonia,MKD,2016,0.6
Madagascar,MDG,2016,44.2
Malawi,MWI,2016,31.2
Malaysia,MYS,2016,0.3
Maldives,MDV,2016,0.4
Mali,MLI,2016,35.2
Malta,MLT,2016,0.1
Marshall Islands,MHL,2016,1.1
Mauritania,MRT,2016,34.4
Mauritius,MUS,2016,1.7
Mexico,MEX,2016,2.4
Micronesia (region),,2016,0.8
Moldova,MDA,2016,0.5
Mongolia,MNG,2016,0.1
Montenegro,MNE,2016,0.2
Morocco,MAR,2016,10.3
Mozambique,MOZ,2016,24.5
Myanmar,MMR,2016,7
Namibia,NAM,2016,30.3
Nepal,NPL,2016,4
Netherlands,NLD,2016,0.2
New Zealand,NZL,2016,0.2
Nicaragua,NIC,2016,0.9
Niger,NER,2016,112.9
Nigeria,NGA,2016,161.5
North Africa and Middle East,,2016,6.6
North America,,2016,0.2
North Korea,PRK,2016,5.8
Northern Ireland,,2016,0.4
Northern Mariana Islands,MNP,2016,0.1
Norway,NOR,2016,0.1
Oceania,,2016,6
Oman,OMN,2016,0.3
Pakistan,PAK,2016,9.4
Palestine,PSE,2016,0.6
Panama,PAN,2016,4.7
Papua New Guinea,PNG,2016,6.7
Paraguay,PRY,2016,1.4
Peru,PER,2016,0.5
Philippines,PHL,2016,7.7
Poland,POL,2016,0.1
Portugal,PRT,2016,0.3
Puerto Rico,PRI,2016,0.3
Qatar,QAT,2016,0.2
Romania,ROU,2016,1.7
Russia,RUS,2016,0.5
Rwanda,RWA,2016,34.7
Saint Lucia,LCA,2016,0.9
Saint Vincent and the Grenadines,VCT,2016,1.7
Samoa,WSM,2016,0.4
Sao Tome and Principe,STP,2016,16
Saudi Arabia,SAU,2016,0.3
Scotland,,2016,0.3
Senegal,SEN,2016,35.5
Serbia,SRB,2016,0.3
Seychelles,SYC,2016,0.4
Sierra Leone,SLE,2016,107.9
Singapore,SGP,2016,0.1
Slovakia,SVK,2016,0.3
Slovenia,SVN,2016,0
Solomon Islands,SLB,2016,6
Somalia,SOM,2016,39.2
South Africa,ZAF,2016,6.4
South Asia,,2016,8.7
South Korea,KOR,2016,0.1
South Sudan,SSD,2016,31.9
Southeast Asia,,2016,6.6
Southern Latin America,,2016,0.7
Southern Sub-Saharan Africa,,2016,17.6
Spain,ESP,2016,0.1
Sri Lanka,LKA,2016,0.2
Sub-Saharan Africa,,2016,66.9
Sudan,SDN,2016,12.7
Suriname,SUR,2016,4.9
Swaziland,SWZ,2016,36
Sweden,SWE,2016,0.1
Switzerland,CHE,2016,0.3
Syria,SYR,2016,0.3
Taiwan,TWN,2016,0.2
Tajikistan,TJK,2016,12.6
Tanzania,TZA,2016,13.6
Thailand,THA,2016,0.8
Timor,TLS,2016,32.5
Togo,TGO,2016,40.1
Tonga,TON,2016,1
Trinidad and Tobago,TTO,2016,0.9
Tunisia,TUN,2016,0.5
Turkey,TUR,2016,0.6
Turkmenistan,TKM,2016,3
Uganda,UGA,2016,28.6
Ukraine,UKR,2016,0.2
United Arab Emirates,ARE,2016,0.1
United States,USA,2016,0.2
United States Virgin Islands,VIR,2016,0.2
Uruguay,URY,2016,0.8
Uzbekistan,UZB,2016,0.4
Vanuatu,VUT,2016,5
Venezuela,VEN,2016,4.1
Vietnam,VNM,2016,0.6
Wales,,2016,0.5
Western Europe,,2016,0.2
Western Sub-Saharan Africa,,2016,110.3
World,OWID_WRL,2016,20.3
Yemen,YEM,2016,23.6
Zambia,ZMB,2016,25.4
Zimbabwe,ZWE,2016,34.2
