Entity,Code,Year,Coal production per worker (tonnes)
United Kingdom,GBR,1873,300.4205396
United Kingdom,GBR,1883,322.0909552
United Kingdom,GBR,1893,298.520474
United Kingdom,GBR,1903,284.1924317
United Kingdom,GBR,1913,263.8020596
United Kingdom,GBR,1914,260.0333565
United Kingdom,GBR,1915,275.141493
United Kingdom,GBR,1916,265.5219164
United Kingdom,GBR,1917,251.9710419
United Kingdom,GBR,1918,233.7302869
United Kingdom,GBR,1919,205.5074648
United Kingdom,GBR,1920,195.8056356
United Kingdom,GBR,1922,233.7333751
United Kingdom,GBR,1923,243.6290321
United Kingdom,GBR,1924,233.3550198
United Kingdom,GBR,1925,229.1899963
United Kingdom,GBR,1927,257.5698406
United Kingdom,GBR,1928,263.6847563
United Kingdom,GBR,1929,283.2794724
United Kingdom,GBR,1930,272.290233
United Kingdom,GBR,1931,264.4962562
United Kingdom,GBR,1932,266.4230251
United Kingdom,GBR,1933,274.3491421
United Kingdom,GBR,1934,292.0021042
United Kingdom,GBR,1935,299.8738167
United Kingdom,GBR,1936,309.4708907
United Kingdom,GBR,1937,315.9838862
United Kingdom,GBR,1938,297.1970206
United Kingdom,GBR,1939,308.8559895
United Kingdom,GBR,1940,306.3007849
United Kingdom,GBR,1941,302.9559306
United Kingdom,GBR,1942,295.7714545
United Kingdom,GBR,1943,288.3063053
United Kingdom,GBR,1944,278.1704091
United Kingdom,GBR,1945,264.5290598
United Kingdom,GBR,1946,278.6578655
United Kingdom,GBR,1947,282.9567185
United Kingdom,GBR,1948,292.1
United Kingdom,GBR,1949,304.9418994
United Kingdom,GBR,1950,316.6753247
United Kingdom,GBR,1951,325.4123741
United Kingdom,GBR,1952,320.9247191
United Kingdom,GBR,1953,318.4796634
United Kingdom,GBR,1954,321.6135785
United Kingdom,GBR,1955,320.5306818
United Kingdom,GBR,1956,321.5647226
United Kingdom,GBR,1957,320.8270423
United Kingdom,GBR,1958,314.393133
United Kingdom,GBR,1959,315.9530827
United Kingdom,GBR,1960,325.9159802
United Kingdom,GBR,1961,339.2121739
United Kingdom,GBR,1962,364.4586331
United Kingdom,GBR,1963,379.6628788
United Kingdom,GBR,1964,394.5338645
United Kingdom,GBR,1965,421.4361117
United Kingdom,GBR,1966,426.3246445
United Kingdom,GBR,1967,456.1001284
United Kingdom,GBR,1968,513.5086129
United Kingdom,GBR,1969,509.3032385
United Kingdom,GBR,1970,507.5689655
United Kingdom,GBR,1971,537.1653268
United Kingdom,GBR,1972,463.5745614
United Kingdom,GBR,1973,524.1620334
United Kingdom,GBR,1974,436.914557
United Kingdom,GBR,1975,510.6468254
United Kingdom,GBR,1976,495.7989588
United Kingdom,GBR,1977,492.7390077
United Kingdom,GBR,1978,514.047421
United Kingdom,GBR,1979,506.4942053
United Kingdom,GBR,1980,549.1642043
United Kingdom,GBR,1981,741.0988372
United Kingdom,GBR,1982,760.4329268
United Kingdom,GBR,1983,805.7702703
United Kingdom,GBR,1984,368.2158273
United Kingdom,GBR,1985,825.5350877
United Kingdom,GBR,1986,1187.901099
United Kingdom,GBR,1987,1393.773333
United Kingdom,GBR,1988,1508.202899
United Kingdom,GBR,1989,1782.5
United Kingdom,GBR,1990,1893.102041
United Kingdom,GBR,1991,2479
United Kingdom,GBR,1992,3017.607143
United Kingdom,GBR,1993,6819.9
United Kingdom,GBR,1994,7112.142857
United Kingdom,GBR,1995,4549.798404
United Kingdom,GBR,1996,4866.408143
United Kingdom,GBR,1997,3522.298083
United Kingdom,GBR,1998,3705.300099
United Kingdom,GBR,1999,3096.717615
United Kingdom,GBR,2000,2851.95929
United Kingdom,GBR,2001,2791.315325
United Kingdom,GBR,2002,3131.045625
United Kingdom,GBR,2003,3427.757576
United Kingdom,GBR,2004,3229.034611
United Kingdom,GBR,2005,3385.908986
United Kingdom,GBR,2006,3409.530841
United Kingdom,GBR,2007,3071.005237
United Kingdom,GBR,2008,2932.149191
United Kingdom,GBR,2009,3023.280416
United Kingdom,GBR,2010,3050.653537
United Kingdom,GBR,2011,3106.493337
United Kingdom,GBR,2012,2911.732806
United Kingdom,GBR,2013,3436.728293
United Kingdom,GBR,2014,3234.549234
United Kingdom,GBR,2015,4353.51269
United Kingdom,GBR,2016,5027.432527
United Kingdom,GBR,2017,4904.942719
