Entity,Code,Year,Coal - Prices (US dollars per MWh)
Asian marker price,,2001,4.538035648148148
Asian marker price,,2002,3.740020000000004
Asian marker price,,2003,4.4930912962962966
Asian marker price,,2004,8.907250000000005
Asian marker price,,2005,7.60632
Asian marker price,,2006,6.946254470370368
Asian marker price,,2007,10.401494999999999
Asian marker price,,2008,18.211174999999958
Asian marker price,,2009,9.693220000000004
Asian marker price,,2010,12.967992499999959
Asian marker price,,2011,15.46561000000004
Asian marker price,,2012,12.977012500000042
Asian marker price,,2013,11.180290000000005
Asian marker price,,2014,9.5801625
Asian marker price,,2015,7.8125521985061
Asian marker price,,2016,8.748085017250004
Asian marker price,,2017,12.247793141916778
Asian marker price,,2018,13.738249630565527
China Qinhuangdao spot price,,2001,3.9094332937034215
China Qinhuangdao spot price,,2002,4.08296851505362
China Qinhuangdao spot price,,2003,3.9045579032435955
China Qinhuangdao spot price,,2004,5.259536424518185
China Qinhuangdao spot price,,2005,6.315008888888373
China Qinhuangdao spot price,,2006,6.58372751154482
China Qinhuangdao spot price,,2007,7.531022578785285
China Qinhuangdao spot price,,2008,12.911575997444427
China Qinhuangdao spot price,,2009,10.806989646716673
China Qinhuangdao spot price,,2010,13.539742733971808
China Qinhuangdao spot price,,2011,15.65401333440665
China Qinhuangdao spot price,,2012,13.762434593657265
China Qinhuangdao spot price,,2013,11.73649170689494
China Qinhuangdao spot price,,2014,10.346320578411222
China Qinhuangdao spot price,,2015,8.306421176317672
China Qinhuangdao spot price,,2016,8.775910093525328
China Qinhuangdao spot price,,2017,11.650986933318165
China Qinhuangdao spot price,,2018,12.231950510710627
Japan coking coal import cif price,,2001,5.083487500000004
Japan coking coal import cif price,,2002,5.167639999999996
Japan coking coal import cif price,,2003,5.11311
Japan coking coal import cif price,,2004,7.49808
Japan coking coal import cif price,,2005,10.987589999999999
Japan coking coal import cif price,,2006,11.4958875
Japan coking coal import cif price,,2007,10.853827500000001
Japan coking coal import cif price,,2008,22.020280000000042
Japan coking coal import cif price,,2009,20.6421675
Japan coking coal import cif price,,2010,19.55033749999996
Japan coking coal import cif price,,2011,28.182169999999957
Japan coking coal import cif price,,2012,23.55009250000004
Japan coking coal import cif price,,2013,17.27494000000004
Japan coking coal import cif price,,2014,14.072839999999958
Japan coking coal import cif price,,2015,11.542935
Japan coking coal import cif price,,2016,10.995994999999995
Japan coking coal import cif price,,2017,18.4503075
Japan coking coal import cif price,,2018,17.385981666666613
Japan steam coal import cif price,,2001,4.669285000000004
Japan steam coal import cif price,,2002,4.538597500000004
Japan steam coal import cif price,,2003,4.27302
Japan steam coal import cif price,,2004,6.31482
Japan steam coal import cif price,,2005,7.7379299999999995
Japan steam coal import cif price,,2006,7.753407499999996
Japan steam coal import cif price,,2007,8.592882499999996
Japan steam coal import cif price,,2008,15.10563
Japan steam coal import cif price,,2009,13.543120000000041
Japan steam coal import cif price,,2010,12.937755
Japan steam coal import cif price,,2011,16.75362499999996
Japan steam coal import cif price,,2012,16.43443999999996
Japan steam coal import cif price,,2013,13.6723725
Japan steam coal import cif price,,2014,12.011462500000004
Japan steam coal import cif price,,2015,9.77481
Japan steam coal import cif price,,2016,8.974900000000003
Japan steam coal import cif price,,2017,12.196987499999999
Japan steam coal import cif price,,2018,12.312616041666612
Japan steam spot cif price,,2001,4.635854625
Japan steam spot cif price,,2002,3.871393225000004
Japan steam spot cif price,,2003,4.872349287499996
Japan steam spot cif price,,2004,9.128547499999994
Japan steam spot cif price,,2005,7.948639249999996
Japan steam spot cif price,,2006,8.0217525
Japan steam spot cif price,,2007,11.757082099999996
Japan steam spot cif price,,2008,19.4189325
Japan steam spot cif price,,2009,10.281160000000003
Japan steam spot cif price,,2010,13.34123395000004
Japan steam spot cif price,,2011,15.51409249999996
Japan steam spot cif price,,2012,12.33669499999996
Japan steam spot cif price,,2013,11.077995
Japan steam spot cif price,,2014,9.36399
Japan steam spot cif price,,2015,7.391793649999996
Japan steam spot cif price,,2016,8.813929122413795
Japan steam spot cif price,,2017,11.811036496900005
Japan steam spot cif price,,2018,13.866197419827607
Northwest Europe marker price,,2001,4.801210384615389
Northwest Europe marker price,,2002,3.892902692307694
Northwest Europe marker price,,2003,5.362539807692306
Northwest Europe marker price,,2004,8.86562711538461
Northwest Europe marker price,,2005,7.446325384615388
Northwest Europe marker price,,2006,7.885293461538458
Northwest Europe marker price,,2007,10.920578653846153
Northwest Europe marker price,,2008,18.163859423076943
Northwest Europe marker price,,2009,8.69104075471698
Northwest Europe marker price,,2010,11.377452692307694
Northwest Europe marker price,,2011,14.947267499999999
Northwest Europe marker price,,2012,11.377452692307694
Northwest Europe marker price,,2013,10.047751730769235
Northwest Europe marker price,,2014,9.271834615384613
Northwest Europe marker price,,2015,6.966673584905656
Northwest Europe marker price,,2016,7.39053463461538
Northwest Europe marker price,,2017,10.394780855769236
Northwest Europe marker price,,2018,11.294728096153847
US Central Appalachian coal spot price index,,2001,6.169021949999999
US Central Appalachian coal spot price index,,2002,4.083352082395831
US Central Appalachian coal spot price index,,2003,4.738292813229165
US Central Appalachian coal spot price index,,2004,7.982914011458339
