Entity,Code,Year,Coal Production (terwatt-hours)
Africa,,1981,909.9033433946205
Africa,,1982,998.7121947560928
Africa,,1983,1011.872796721143
Africa,,1984,1128.452845730893
Africa,,1985,1198.9106623583702
Africa,,1986,1229.4911939331903
Africa,,1987,1230.7749334437863
Africa,,1988,1264.9314535838466
Africa,,1989,1228.4504004985063
Africa,,1990,1221.2260188175526
Africa,,1991,1244.8148103639148
Africa,,1992,1273.1393947340619
Africa,,1993,1296.9969405781894
Africa,,1994,1348.031758237021
Africa,,1995,1416.0434099038612
Africa,,1996,1411.6851803352665
Africa,,1997,1501.6075814527853
Africa,,1998,1521.7465095732655
Africa,,1999,1519.3371783431805
Africa,,2000,1518.0176616170888
Africa,,2001,1514.2569430192877
Africa,,2002,1488.9234872490565
Africa,,2003,1599.960609376875
Africa,,2004,1634.8584204067934
Africa,,2005,1645.3937386449095
Africa,,2006,1634.1575638998956
Africa,,2007,1633.5044845189022
Africa,,2008,1659.7474079880324
Africa,,2009,1645.72772381149
Africa,,2010,1706.9717884140402
Africa,,2011,1697.5177479998936
Africa,,2012,1766.9137820998303
Africa,,2013,1771.9929479318773
Africa,,2014,1834.5563507727686
Africa,,2015,1763.6787630519646
Africa,,2016,1739.5358648557738
Africa,,2017,1805.4393606929032
Africa,,2018,1812.3313350326755
Asia Pacific,,1981,5790.295534780134
Asia Pacific,,1982,6083.16632198962
Asia Pacific,,1983,6436.264922738594
Asia Pacific,,1984,6967.3504691934495
Asia Pacific,,1985,7707.272316116161
Asia Pacific,,1986,7976.553889756356
Asia Pacific,,1987,8294.24467970488
Asia Pacific,,1988,8634.462072937835
Asia Pacific,,1989,9258.498215251437
Asia Pacific,,1990,9526.4769701212
Asia Pacific,,1991,9718.788496026556
Asia Pacific,,1992,10055.094715334182
Asia Pacific,,1993,10316.916781544256
Asia Pacific,,1994,10898.875566243303
Asia Pacific,,1995,11814.21482806773
Asia Pacific,,1996,12230.720296759746
Asia Pacific,,1997,12403.709807504456
Asia Pacific,,1998,12133.079608499313
Asia Pacific,,1999,12468.80256178381
Asia Pacific,,2000,12974.382181158047
Asia Pacific,,2001,13776.775461290956
Asia Pacific,,2002,14594.906535393362
Asia Pacific,,2003,16537.8032235679
Asia Pacific,,2004,18865.804897810463
Asia Pacific,,2005,20866.807886360246
Asia Pacific,,2006,22348.134770770415
Asia Pacific,,2007,24022.079725133583
Asia Pacific,,2008,25073.032329623587
Asia Pacific,,2009,26059.055761526433
Asia Pacific,,2010,27943.13049263139
Asia Pacific,,2011,30658.813992358104
Asia Pacific,,2012,31365.07133664552
Asia Pacific,,2013,32453.708578978763
Asia Pacific,,2014,32350.070213889398
Asia Pacific,,2015,32050.640927180804
Asia Pacific,,2016,30647.57582039248
Asia Pacific,,2017,31285.68495740636
Asia Pacific,,2018,33181.366314578605
Australia,AUS,1981,788.5712011679027
Australia,AUS,1982,804.9543042904443
Australia,AUS,1983,838.7407187645341
Australia,AUS,1984,880.917322009869
Australia,AUS,1985,1074.3456703652084
Australia,AUS,1986,1142.859530714817
Australia,AUS,1987,1193.6675457704052
Australia,AUS,1988,1173.2935123690675
Australia,AUS,1989,1274.678000306595
Australia,AUS,1990,1334.6012127745719
Australia,AUS,1991,1384.4242753222725
Australia,AUS,1992,1477.235254405438
Australia,AUS,1993,1484.1000650977617
Australia,AUS,1994,1516.9103519334608
Australia,AUS,1995,1591.8179891345746
Australia,AUS,1996,1640.682256603732
Australia,AUS,1997,1789.1142892491475
Australia,AUS,1998,1832.1017852846805
Australia,AUS,1999,1931.9179209629558
Australia,AUS,2000,1996.8197844194826
Australia,AUS,2001,2157.92096480826
Australia,AUS,2002,2224.0463311188987
Australia,AUS,2003,2299.047704486149
Australia,AUS,2004,2388.8310367486974
Australia,AUS,2005,2501.2884451207283
Australia,AUS,2006,2556.8404676483265
Australia,AUS,2007,2640.8552744577996
Australia,AUS,2008,2720.621501441359
Australia,AUS,2009,2822.833885863993
Australia,AUS,2010,2914.789465346708
Australia,AUS,2011,2850.8133671766177
Australia,AUS,2012,3091.909191931405
Australia,AUS,2013,3323.660816947053
Australia,AUS,2014,3557.161146069339
Australia,AUS,2015,3554.696944837547
Australia,AUS,2016,3566.41953307999
Australia,AUS,2017,3477.1290408227237
Australia,AUS,2018,3501.6783735179
Brazil,BRA,1981,33.744058884000005
Brazil,BRA,1982,37.195046229000006
Brazil,BRA,1983,39.683975551
Brazil,BRA,1984,44.53918770400001
Brazil,BRA,1985,45.453852314
Brazil,BRA,1986,43.101745290000004
Brazil,BRA,1987,39.264879197000006
Brazil,BRA,1988,42.773261755
Brazil,BRA,1989,38.603477608000006
Brazil,BRA,1990,19.6207117902
Brazil,BRA,1991,23.47046583052
Brazil,BRA,1992,21.972292196170002
Brazil,BRA,1993,21.83779492125
Brazil,BRA,1994,24.354949799680004
Brazil,BRA,1995,23.892641657330003
Brazil,BRA,1996,22.267610809070003
Brazil,BRA,1997,26.055892228170002
Brazil,BRA,1998,25.497108165140002
Brazil,BRA,1999,26.124039690180002
Brazil,BRA,2000,31.22725395227
