Entity,Code,Year,Coal Output (terrawatt-hour equivalents),Coal imports (tonnes)
United Kingdom,GBR,1700,16.282,
United Kingdom,GBR,1750,40.705,
United Kingdom,GBR,1800,81.41,
United Kingdom,GBR,1825,195.38400000000001,
United Kingdom,GBR,1853,582.17235356,
United Kingdom,GBR,1863,864.519948376,
United Kingdom,GBR,1873,1142.152927272,
United Kingdom,GBR,1883,1405.468362032,
United Kingdom,GBR,1893,1681.7365836879999,
United Kingdom,GBR,1903,2100.7584126479996,
United Kingdom,GBR,1913,2377.40711208,
United Kingdom,GBR,1914,2197.374953984,
United Kingdom,GBR,1915,2094.331646736,
United Kingdom,GBR,1916,2120.543257,
United Kingdom,GBR,1917,2055.398844744,
United Kingdom,GBR,1918,1883.770282744,
United Kingdom,GBR,1919,1900.56920368,
United Kingdom,GBR,1920,1898.517932192,
United Kingdom,GBR,1921,1350.2908132559999,
United Kingdom,GBR,1922,2064.563396392,
United Kingdom,GBR,1923,2282.874927256,
United Kingdom,GBR,1924,2209.401360208,
United Kingdom,GBR,1925,2011.370949056,
United Kingdom,GBR,1926,1044.485936424,
United Kingdom,GBR,1927,2078.004187392,
United Kingdom,GBR,1928,1964.1917048320001,
United Kingdom,GBR,1929,2133.214821192,
United Kingdom,GBR,1930,2017.210455792,
United Kingdom,GBR,1931,1815.201570504,
United Kingdom,GBR,1932,1726.4840786480001,
United Kingdom,GBR,1933,1713.076372672,
United Kingdom,GBR,1934,1825.681251856,
United Kingdom,GBR,1935,1838.2783747439998,
United Kingdom,GBR,1936,1889.5518906880002,
United Kingdom,GBR,1937,1988.4843837039998,
United Kingdom,GBR,1938,1877.517213208,
United Kingdom,GBR,1939,1913.455820528,
United Kingdom,GBR,1940,1855.2344495440002,
United Kingdom,GBR,1941,1706.7240480639998,
United Kingdom,GBR,1942,1695.144289664,
United Kingdom,GBR,1943,1645.3182435200001,
United Kingdom,GBR,1944,1594.2680514879999,
United Kingdom,GBR,1945,1511.7788154,
United Kingdom,GBR,1946,1572.1077024127999,
United Kingdom,GBR,1947,1628.6103064,
United Kingdom,GBR,1948,1712.149992,
United Kingdom,GBR,1949,1777.4929144,
United Kingdom,GBR,1950,1786.5912959999998,
United Kingdom,GBR,1951,1841.1815855999998,
United Kingdom,GBR,1952,1860.2054744,
United Kingdom,GBR,1953,1848.625716,
United Kingdom,GBR,1954,1851.1070928,
United Kingdom,GBR,1955,1837.0459576,
United Kingdom,GBR,1956,1840.35446,
United Kingdom,GBR,1957,1854.4155952,
United Kingdom,GBR,1958,1789.0726728,
United Kingdom,GBR,1959,1710.4957408,
United Kingdom,GBR,1960,1610.5421709999998,
United Kingdom,GBR,1961,1587.877627,
United Kingdom,GBR,1962,1649.684099,
United Kingdom,GBR,1963,1631.9611419999999,
United Kingdom,GBR,1964,1612.373896,
United Kingdom,GBR,1965,1560.035407,
United Kingdom,GBR,1966,1464.639169,
United Kingdom,GBR,1967,1446.256791,
United Kingdom,GBR,1968,1383.31872,
United Kingdom,GBR,1969,1267.5048539999998,
United Kingdom,GBR,1970,1198.3144949999999,0.8141
United Kingdom,GBR,1971,1251.1333029999998,34.1922
United Kingdom,GBR,1972,1032.555594,40.705
United Kingdom,GBR,1973,1074.4817440000002,13.839699999999999
United Kingdom,GBR,1974,899.1897319999999,28.4935
United Kingdom,GBR,1975,1047.608303,41.519099999999995
United Kingdom,GBR,1976,1007.8639410000001,22.7948
United Kingdom,GBR,1977,994.4231500000001,19.5384
United Kingdom,GBR,1978,1006.040357,19.5384
United Kingdom,GBR,1979,996.206029,35.82040000000001
United Kingdom,GBR,1980,1059.1196770000001,59.4293
United Kingdom,GBR,1981,1037.725129,35.006299999999996
United Kingdom,GBR,1982,1015.272251,33.378099999999996
United Kingdom,GBR,1983,970.846814,36.6345
United Kingdom,GBR,1984,416.672662,72.45490000000001
United Kingdom,GBR,1985,766.157651,103.3907
United Kingdom,GBR,1986,880.033959,86.2946
United Kingdom,GBR,1987,851.003153,79.7818
United Kingdom,GBR,1988,847.201306,95.24969999999999
United Kingdom,GBR,1989,812.6346199999999,98.5061
United Kingdom,GBR,1990,755.175442,120.4868
United Kingdom,GBR,1991,766.898482,159.5636
United Kingdom,GBR,1992,687.8575129999999,165.2623
United Kingdom,GBR,1993,555.2080589999999,149.7944
United Kingdom,GBR,1994,405.29968499999995,122.92909999999999
United Kingdom,GBR,1995,431.77421699999996,129.4419
United Kingdom,GBR,1996,408.65377700000005,144.90980000000002
United Kingdom,GBR,1997,394.797795,161.1918
United Kingdom,GBR,1998,335.221957,172.5892
United Kingdom,GBR,1999,301.843857,165.2623
United Kingdom,GBR,2000,253.97952051647,190.49939999999998
United Kingdom,GBR,2001,259.940957696,289.0055
United Kingdom,GBR,2002,244.141710855,233.64669999999998
United Kingdom,GBR,2003,230.219339,259.6979
United Kingdom,GBR,2004,204.307000037,294.7042
United Kingdom,GBR,2005,166.876603313,358.204
United Kingdom,GBR,2006,150.74821584199998,411.1205
United Kingdom,GBR,2007,138.455835007,353.3194
United Kingdom,GBR,2008,146.97144776237,357.3899
United Kingdom,GBR,2009,145.50925292862,310.9862
United Kingdom,GBR,2010,149.35991784217,215.7365
United Kingdom,GBR,2011,151.03165460761002,264.5825
United Kingdom,GBR,2012,138.12563653546,364.7168
United Kingdom,GBR,2013,103.93977471100999,411.9346
United Kingdom,GBR,2014,94.82320758239,343.5502
United Kingdom,GBR,2015,69.997844950383,183.1725
United Kingdom,GBR,2016,34.01144073663,69.1985
United Kingdom,GBR,2017,24.757305980526,69.1985
