Entity,Code,Year,Sub-bituminous and lignite (tonnes),Anthracite and bituminous (tonnes)
Australia,AUS,2018,76508000000,70927000000
Brazil,BRA,2018,5049000000,1547000000
Bulgaria,BGR,2018,2174000000,192000000
Canada,CAN,2018,2236000000,4346000000
China,CHN,2018,7968000000,130851000000
Colombia,COL,2018,0,4881000000
Czech Republic,CZE,2018,2547000000,110000000
Europe (other),,2018,5172000000,1109000000
Germany,DEU,2018,36100000000,3000000
Greece,GRC,2018,2876000000,0
Hungary,HUN,2018,2633000000,276000000
India,IND,2018,4895000000,96468000000
Indonesia,IDN,2018,10878000000,26122000000
Japan,JPN,2018,10000000,340000000
Kazakhstan,KAZ,2018,0,25605000000
Mexico,MEX,2018,51000000,1160000000
Middle East,,2018,0,1203000000
Mongolia,MNG,2018,1350000000,1170000000
New Zealand,NZL,2018,6750000000,825000000
Other Africa,,2018,66000000,2756000000
Other Asia & Pacific,,2018,687000000,1326000000
Other CIS,,2018,0,1509000000
Other S. & Cent. America,,2018,24000000,1784000000
Pakistan,PAK,2018,2857000000,207000000
Poland,POL,2018,5937000000,20542000000
Romania,ROU,2018,280000000,11000000
Russia,RUS,2018,90730000000,69634000000
Serbia,SRB,2018,7112000000,402000000
South Africa,ZAF,2018,0,9893000000
South Korea,KOR,2018,0,326000000
Spain,ESP,2018,319000000,868000000
Thailand,THA,2018,1063000000,0
Total Asia Pacific,,2018,113210000000,331678000000
Total CIS,,2018,90730000000,98123000000
Total Europe,,2018,78461000000,56132000000
Total Middle East & Africa,,2018,66000000,14354000000
Total North America,,2018,32339000000,225673000000
Total S. & Cent. America,,2018,5073000000,8943000000
Turkey,TUR,2018,10975000000,551000000
Ukraine,UKR,2018,2336000000,32039000000
United Kingdom,GBR,2018,0,29000000
United States,USA,2018,30052000000,220167000000
Uzbekistan,UZB,2018,0,1375000000
Venezuela,VEN,2018,0,731000000
Vietnam,VNM,2018,244000000,3116000000
World,OWID_WRL,2018,319879000000,734903000000
Zimbabwe,ZWE,2018,0,502000000
