Entity,Code,Year,"Crops - Coffee, green - 656 - Production - 5510 - tonnes (tonnes)"
Africa,,1961,870970
Africa,,1962,883512
Africa,,1963,996674
Africa,,1964,1162048
Africa,,1965,1075084
Africa,,1966,1199529
Africa,,1967,1085561
Africa,,1968,1183868
Africa,,1969,1253504
Africa,,1970,1295001
Africa,,1971,1266294
Africa,,1972,1296274
Africa,,1973,1379422
Africa,,1974,1266734
Africa,,1975,1312580
Africa,,1976,1165512
Africa,,1977,1235352
Africa,,1978,1063658
Africa,,1979,1110744
Africa,,1980,1163648
Africa,,1981,1293046
Africa,,1982,1206872
Africa,,1983,1113475
Africa,,1984,1036465
Africa,,1985,1181857
Africa,,1986,1274895
Africa,,1987,1235947
Africa,,1988,1218793
Africa,,1989,1256511
Africa,,1990,1254209
Africa,,1991,1192734
Africa,,1992,1156200
Africa,,1993,991823
Africa,,1994,1058408
Africa,,1995,1127035
Africa,,1996,1254436
Africa,,1997,1176346
Africa,,1998,1219222
Africa,,1999,1254045
Africa,,2000,1280778
Africa,,2001,1121273
Africa,,2002,1098673
Africa,,2003,811188
Africa,,2004,1063193
Africa,,2005,984259
Africa,,2006,1060500
Africa,,2007,999819
Africa,,2008,1079152
Africa,,2009,1001934
Africa,,2010,1085219
Africa,,2011,987478
Africa,,2012,975107
Africa,,2013,1104529
Africa,,2014,1117023
Africa,,2015,1158685
Africa,,2016,1171138
Africa,,2017,1102352
Africa,,2018,1171129
Americas,,1961,3450946
Americas,,1962,3474586
Americas,,1963,2891256
Americas,,1964,2337445
Americas,,1965,3620044
Americas,,1966,2557166
Americas,,1967,2910826
Americas,,1968,2443850
Americas,,1969,2663590
Americas,,1970,2190997
Americas,,1971,2989531
Americas,,1972,2907067
Americas,,1973,2438003
Americas,,1974,3136378
Americas,,1975,2854435
Americas,,1976,1905543
Americas,,1977,2673232
Americas,,1978,3096048
Americas,,1979,3261343
Americas,,1980,2987143
Americas,,1981,4094151
Americas,,1982,3014170
Americas,,1983,3752510
Americas,,1984,3528917
Americas,,1985,3857266
Americas,,1986,3193538
Americas,,1987,4266338
Americas,,1988,3582576
Americas,,1989,3669875
Americas,,1990,3883989
Americas,,1991,3909803
Americas,,1992,3890575
Americas,,1993,3516330
Americas,,1994,3503408
Americas,,1995,3217473
Americas,,1996,3652299
Americas,,1997,3505525
Americas,,1998,3910578
Americas,,1999,3854455
Americas,,2000,4188967
Americas,,2001,4165212
Americas,,2002,4793894
Americas,,2003,4138193
Americas,,2004,4622290
Americas,,2005,4292759
Americas,,2006,4819051
Americas,,2007,4585459
Americas,,2008,5044666
Americas,,2009,4401071
Americas,,2010,4960559
Americas,,2011,4792941
Americas,,2012,5174050
Americas,,2013,5032684
Americas,,2014,4860667
Americas,,2015,4843786
Americas,,2016,5285689
Americas,,2017,5082318
Americas,,2018,6007503
Angola,AGO,1961,168600
Angola,AGO,1962,185000
Angola,AGO,1963,168300
Angola,AGO,1964,198200
Angola,AGO,1965,205000
Angola,AGO,1966,225700
Angola,AGO,1967,235200
Angola,AGO,1968,198000
Angola,AGO,1969,215000
Angola,AGO,1970,204000
Angola,AGO,1971,228000
Angola,AGO,1972,225000
Angola,AGO,1973,210000
Angola,AGO,1974,224772
Angola,AGO,1975,180000
Angola,AGO,1976,57480
Angola,AGO,1977,57060
Angola,AGO,1978,34320
Angola,AGO,1979,17340
