Entity,Code,Year,Social security (% GDP),Trade taxes (% GDP),Excise taxes (% GDP),General consumption taxes (% GDP),Personal Income taxes (% GDP),Corporate income taxes (% GDP)
Developing - Africa ,,1986,0.4,5.7,2.3,3.2,3.1,2.9
Developing - Africa ,,1996,0.5,5.1,2.3,3.8,3.9,2.4
Developing - All,,1986,1.2,4.2,2.6,2.3,1.7,2.8
Developing - All,,1996,1.3,3.5,2.4,3.6,2.2,2.6
Developing -Asia ,,1986,0.1,3.6,2.5,1.9,2.1,3.5
Developing -Asia ,,1996,0.3,2.7,2.2,3.1,3,3
Developing -Middle East ,,1986,1.2,4.4,2.4,1.5,1,4.3
Developing -Middle East ,,1996,1.1,4.3,3,1.5,1.3,3.2
Developing -West. Hem.,,1986,2.4,3.7,3,2.6,1,1.8
Developing -West. Hem.,,1996,2.5,2.6,2.3,4.8,1,2.3
OECD - All,,1986,8.8,0.7,3.8,6,11.3,2.8
OECD - All,,1996,9.5,0.3,3.6,6.6,10.8,3.1
OECD - America,,1986,5.8,0.6,2.2,3.4,11.4,2.5
OECD - America,,1996,6.1,0.3,2,3.7,12.3,3
OECD - Europe,,1986,10.1,0.7,4,6.8,11,2.7
OECD - Europe,,1996,10.8,0.3,4,7.3,10.6,2.9
OECD - Pacific,,1986,2.8,0.8,3.7,2.3,13.2,3.9
OECD - Pacific,,1996,3.5,0.6,2.6,4.3,11.4,4.3
