Entity,Code,Year,Year,Share of global consumption-based CO₂ emissions (%),Share of global population (%),Share of global population (%)
Afghanistan,AFG,2015,,0.459,0.459
Africa,,2015,2.936,16.251,16.251
Albania,ALB,2015,0.02,0.039,0.039
Algeria,DZA,2015,,0.542,0.542
Andorra,AND,2015,,0.001,0.001
Angola,AGO,2015,,0.379,0.379
Anguilla,AIA,2015,,0,0
Antigua and Barbuda,ATG,2015,,0.001,0.001
Argentina,ARG,2015,0.604,0.59,0.59
Armenia,ARM,2015,0.019,0.04,0.04
Aruba,ABW,2015,,0.001,0.001
Asia,,2015,52.264,59.668,59.668
Australia,AUS,2015,1.136,0.323,0.323
Austria,AUT,2015,0.266,0.117,0.117
Azerbaijan,AZE,2015,0.119,0.131,0.131
Bahamas,BHS,2015,,0.005,0.005
Bahrain,BHR,2015,0.059,0.019,0.019
Bangladesh,BGD,2015,0.297,2.192,2.192
Barbados,BRB,2015,,0.004,0.004
Belarus,BLR,2015,0.204,0.129,0.129
Belgium,BEL,2015,0.534,0.153,0.153
Belize,BLZ,2015,,0.005,0.005
Benin,BEN,2015,0.025,0.144,0.144
Bermuda,BMU,2015,,0.001,0.001
Bhutan,BTN,2015,,0.011,0.011
Bolivia,BOL,2015,0.059,0.146,0.146
Bosnia and Herzegovina,BIH,2015,,0.048,0.048
Botswana,BWA,2015,0.046,0.03,0.03
Brazil,BRA,2015,1.585,2.8,2.8
British Virgin Islands,VGB,2015,,0,0
Brunei,BRN,2015,0.031,0.006,0.006
Bulgaria,BGR,2015,0.126,0.098,0.098
Burkina Faso,BFA,2015,0.012,0.246,0.246
Burundi,BDI,2015,,0.139,0.139
Cambodia,KHM,2015,0.042,0.211,0.211
Cameroon,CMR,2015,0.034,0.31,0.31
Canada,CAN,2015,1.684,0.487,0.487
Cape Verde,CPV,2015,,0.007,0.007
Cayman Islands,CYM,2015,,0.001,0.001
Central African Republic,CAF,2015,,0.062,0.062
Chad,TCD,2015,,0.19,0.19
Chile,CHL,2015,0.272,0.241,0.241
China,CHN,2015,24.184,18.643,18.643
Colombia,COL,2015,0.293,0.656,0.656
Comoros,COM,2015,,0.011,0.011
Congo,COG,2015,,0.068,0.068
Cook Islands,COK,2015,,0,0
Costa Rica,CRI,2015,0.037,0.065,0.065
Cote d'Ivoire,CIV,2015,0.051,0.314,0.314
Croatia,HRV,2015,0.061,0.057,0.057
Cuba,CUB,2015,,0.156,0.156
Curacao,CUW,2015,,0.002,0.002
Cyprus,CYP,2015,0.023,0.016,0.016
Czech Republic,CZE,2015,0.297,0.143,0.143
Democratic Republic of Congo,COD,2015,,1.036,1.036
Denmark,DNK,2015,0.156,0.077,0.077
Djibouti,DJI,2015,,0.013,0.013
Dominica,DMA,2015,,0.001,0.001
Dominican Republic,DOM,2015,0.071,0.143,0.143
Ecuador,ECU,2015,0.148,0.219,0.219
Egypt,EGY,2015,0.565,1.275,1.275
El Salvador,SLV,2015,0.026,0.086,0.086
Equatorial Guinea,GNQ,2015,,0.016,0.016
Eritrea,ERI,2015,,0.066,0.066
Estonia,EST,2015,0.049,0.018,0.018
Ethiopia,ETH,2015,0.053,1.358,1.358
Europe,,2015,18.37,10.148,10.148
Faeroe Islands,FRO,2015,,0.001,0.001
Falkland Islands,FLK,2015,,0,0
Fiji,FJI,2015,,0.012,0.012
Finland,FIN,2015,0.199,0.074,0.074
France,FRA,2015,1.321,0.906,0.906
French Guiana,GUF,2015,,0,0
French Polynesia,PYF,2015,,0.004,0.004
Gabon,GAB,2015,,0.026,0.026
Gambia,GMB,2015,,0.027,0.027
Georgia,GEO,2015,0.035,0.051,0.051
Germany,DEU,2015,2.6,1.111,1.111
Ghana,GHA,2015,0.058,0.375,0.375
Gibraltar,GIB,2015,,0,0
Greece,GRC,2015,0.193,0.147,0.147
Greenland,GRL,2015,,0.001,0.001
Grenada,GRD,2015,,0.001,0.001
Guadeloupe,GLP,2015,,0.004,0.004
Guatemala,GTM,2015,0.066,0.221,0.221
Guinea,GIN,2015,0.007,0.164,0.164
Guinea-Bissau,GNB,2015,,0.024,0.024
Guyana,GUY,2015,,0.01,0.01
Haiti,HTI,2015,,0.146,0.146
High income,,2015,45.62877814,16.18648855,16.18648855
Honduras,HND,2015,0.034,0.122,0.122
Hong Kong,HKG,2015,0.381,0.099,0.099
Hungary,HUN,2015,0.185,0.134,0.134
Iceland,ISL,2015,,0.004,0.004
India,IND,2015,6.255,17.798,17.798
Indonesia,IDN,2015,1.394,3.51,3.51
Iran,IRN,2015,1.513,1.079,1.079
Iraq,IRQ,2015,,0.491,0.491
Ireland,IRL,2015,0.126,0.064,0.064
Israel,ISR,2015,0.242,0.114,0.114
Italy,ITA,2015,1.383,0.826,0.826
Jamaica,JAM,2015,0.024,0.039,0.039
Japan,JPN,2015,4.183,1.729,1.729
Jordan,JOR,2015,0.104,0.125,0.125
Kazakhstan,KAZ,2015,0.614,0.239,0.239
Kenya,KEN,2015,0.07,0.642,0.642
Kiribati,KIR,2015,,0.002,0.002
Kuwait,KWT,2015,0.274,0.054,0.054
Kyrgyzstan,KGZ,2015,0.051,0.081,0.081
Laos,LAO,2015,0.02,0.091,0.091
Latin America and the Caribbean,,2015,5.837,8.544,8.544
Latvia,LVA,2015,0.038,0.027,0.027
Lebanon,LBN,2015,,0.08,0.08
Lesotho,LSO,2015,,0.03,0.03
Liberia,LBR,2015,,0.061,0.061
Libya,LBY,2015,,0.085,0.085
Liechtenstein,LIE,2015,,0.001,0.001
Lithuania,LTU,2015,0.068,0.039,0.039
Low income,,2015,0.352360292,8.585906084,8.585906084
Lower-middle income,,2015,12.57869554,40.11398358,40.11398358
Luxembourg,LUX,2015,0.069,0.008,0.008
Macao,MAC,2015,,0.008,0.008
Macedonia,MKD,2015,,0.028,0.028
Madagascar,MDG,2015,0.012,0.329,0.329
Malawi,MWI,2015,0.009,0.239,0.239
Malaysia,MYS,2015,0.724,0.418,0.418
Maldives,MDV,2015,,0.006,0.006
Mali,MLI,2015,,0.237,0.237
Malta,MLT,2015,0.016,0.006,0.006
Marshall Islands,MHL,2015,,0.001,0.001
Martinique,MTQ,2015,,0.004,0.004
Mauritania,MRT,2015,,0.057,0.057
Mauritius,MUS,2015,0.015,0.017,0.017
Mexico,MEX,2015,1.515,1.712,1.712
Micronesia (country),FSM,2015,,0.001,0.001
Moldova,MDA,2015,,0.048,0.048
Mongolia,MNG,2015,0.064,0.04,0.04
Montenegro,MNE,2015,,0.008,0.008
Montserrat,MSR,2015,,0,0
Morocco,MAR,2015,0.192,0.473,0.473
Mozambique,MOZ,2015,0.049,0.381,0.381
Myanmar,MMR,2015,,0.712,0.712
Namibia,NAM,2015,0.025,0.033,0.033
Nauru,NRU,2015,,0,0
Nepal,NPL,2015,0.042,0.39,0.39
Netherlands,NLD,2015,0.468,0.23,0.23
New Caledonia,NCL,2015,,0.004,0.004
New Zealand,NZL,2015,0.118,0.062,0.062
Nicaragua,NIC,2015,0.019,0.083,0.083
Niger,NER,2015,,0.271,0.271
Nigeria,NGA,2015,0.274,2.463,2.463
North America,,2015,19.294,4.855,4.855
North Korea,PRK,2015,,0.343,0.343
Norway,NOR,2015,0.146,0.071,0.071
Oceania,,2015,1.298,0.534,0.534
Oman,OMN,2015,0.218,0.057,0.057
Pakistan,PAK,2015,0.539,2.575,2.575
Palau,PLW,2015,,0,0
Palestine,PSE,2015,,0.06,0.06
Panama,PAN,2015,0.058,0.054,0.054
Papua New Guinea,PNG,2015,,0.108,0.108
Paraguay,PRY,2015,0.029,0.09,0.09
Peru,PER,2015,0.224,0.427,0.427
Philippines,PHL,2015,0.395,1.383,1.383
Poland,POL,2015,0.867,0.516,0.516
Portugal,PRT,2015,0.168,0.141,0.141
Qatar,QAT,2015,0.274,0.034,0.034
Reunion,REU,2015,,0.012,0.012
Romania,ROU,2015,0.222,0.269,0.269
Russia,RUS,2015,3.855,1.959,1.959
Rwanda,RWA,2015,0.002,0.158,0.158
Saint Helena,SHN,2015,,0,0
Saint Kitts and Nevis,KNA,2015,,0.001,0.001
Saint Lucia,LCA,2015,,0.002,0.002
Saint Pierre and Miquelon,SPM,2015,,0,0
Saint Vincent and the Grenadines,VCT,2015,,0.001,0.001
Samoa,WSM,2015,,0.003,0.003
Sao Tome and Principe,STP,2015,,0.003,0.003
Saudi Arabia,SAU,2015,1.826,0.429,0.429
Senegal,SEN,2015,0.027,0.204,0.204
Serbia,SRB,2015,,0.096,0.096
Seychelles,SYC,2015,,0.001,0.001
Sierra Leone,SLE,2015,,0.098,0.098
Singapore,SGP,2015,0.367,0.075,0.075
Sint Maarten (Dutch part),SXM,2015,,0.001,0.001
