Entity,Code,Year,"Indicator 3.b.1: Geometric mean of the coverage of eight vaccines, conditional on inclusion in national vaccine schedules, in target populations (%) - Past - Unscaled (%)"
Afghanistan,AFG,1990,11.659
Afghanistan,AFG,1995,15.407
Afghanistan,AFG,2000,23.482
Afghanistan,AFG,2005,41.174
Afghanistan,AFG,2010,53.044
Afghanistan,AFG,2016,68.843
Albania,ALB,1990,95.667
Albania,ALB,1995,96.326
Albania,ALB,2000,98.1
Albania,ALB,2005,99.175
Albania,ALB,2010,99.612
Albania,ALB,2016,99.782
Algeria,DZA,1990,81.712
Algeria,DZA,1995,89.567
Algeria,DZA,2000,94.412
Algeria,DZA,2005,96.836
Algeria,DZA,2010,98.6
Algeria,DZA,2016,99.315
Andorra,AND,1990,83.468
Andorra,AND,1995,82.359
Andorra,AND,2000,91.344
Andorra,AND,2005,95.034
Andorra,AND,2010,96.369
Andorra,AND,2016,96.701
Angola,AGO,1990,22.377
Angola,AGO,1995,34.819
Angola,AGO,2000,41.961
Angola,AGO,2005,56.738
Angola,AGO,2010,67.063
Angola,AGO,2016,79.561
Antigua and Barbuda,ATG,1990,95.52
Antigua and Barbuda,ATG,1995,97.946
Antigua and Barbuda,ATG,2000,98.916
Antigua and Barbuda,ATG,2005,97.95
Antigua and Barbuda,ATG,2010,99.175
Antigua and Barbuda,ATG,2016,99.634
Argentina,ARG,1990,86.582
Argentina,ARG,1995,90.214
Argentina,ARG,2000,87.933
Argentina,ARG,2005,90.582
Argentina,ARG,2010,93.166
Argentina,ARG,2016,94.77
Armenia,ARM,1990,88.102
Armenia,ARM,1995,87.319
Armenia,ARM,2000,90.397
Armenia,ARM,2005,90.918
Armenia,ARM,2010,94.537
Armenia,ARM,2016,96.212
Australia,AUS,1990,82.295
Australia,AUS,1995,87.301
Australia,AUS,2000,92.419
Australia,AUS,2005,94.749
Australia,AUS,2010,92.886
Australia,AUS,2016,95.813
Austria,AUT,1990,77.457
Austria,AUT,1995,83.356
Austria,AUT,2000,81.86
Austria,AUT,2005,82.637
Austria,AUT,2010,83.266
Austria,AUT,2016,92.562
Azerbaijan,AZE,1990,44.321
Azerbaijan,AZE,1995,47.123
Azerbaijan,AZE,2000,51.379
Azerbaijan,AZE,2005,51.865
Azerbaijan,AZE,2010,71.804
Azerbaijan,AZE,2016,80.509
Bahamas,BHS,1990,85.184
Bahamas,BHS,1995,90.505
Bahamas,BHS,2000,92.679
Bahamas,BHS,2005,93.806
Bahamas,BHS,2010,96.099
Bahamas,BHS,2016,97.213
Bahrain,BHR,1990,77.679
Bahrain,BHR,1995,85.147
Bahrain,BHR,2000,89.474
Bahrain,BHR,2005,92.738
Bahrain,BHR,2010,96.151
Bahrain,BHR,2016,96.851
Bangladesh,BGD,1990,55.693
Bangladesh,BGD,1995,86.586
