Entity,Code,Year,Positive reciprocity (Falk et al. (2018) GPS)
Afghanistan,AFG,2012,0.2896409
Algeria,DZA,2012,-0.59825534
Argentina,ARG,2012,0.15967931
Australia,AUS,2012,0.069660023
Austria,AUT,2012,0.16104659
Bangladesh,BGD,2012,0.15436757
Bolivia,BOL,2012,0.10791961
Bosnia and Herzegovina,BIH,2012,0.096462861
Botswana,BWA,2012,-0.2586675
Brazil,BRA,2012,0.35123819
Cambodia,KHM,2012,0.17168301
Cameroon,CMR,2012,0.15297563
Canada,CAN,2012,0.1967963
Chile,CHL,2012,0.024950547
China,CHN,2012,0.47933719
Colombia,COL,2012,0.19964258
Costa Rica,CRI,2012,0.14475521
Croatia,HRV,2012,0.18859911
Czech Republic,CZE,2012,-0.30193788
Egypt,EGY,2012,0.5699845
Estonia,EST,2012,-0.49283144
Finland,FIN,2012,0.088596597
France,FRA,2012,-0.12234953
Georgia,GEO,2012,0.56275272
Germany,DEU,2012,-0.079865031
Ghana,GHA,2012,-0.22070853
Greece,GRC,2012,-0.043773349
Guatemala,GTM,2012,-0.064931743
Haiti,HTI,2012,-0.69851607
Hungary,HUN,2012,-0.065830164
India,IND,2012,-0.45382959
Indonesia,IDN,2012,0.14521286
Iran,IRN,2012,0.55093294
Iraq,IRQ,2012,-0.28882602
Israel,ISR,2012,-0.009948548
Italy,ITA,2012,0.17641944
Japan,JPN,2012,-0.23702188
Jordan,JOR,2012,0.28744587
Kazakhstan,KAZ,2012,0.3076663
Kenya,KEN,2012,-0.31849501
Lithuania,LTU,2012,-0.53168762
Malawi,MWI,2012,0.023893518
Mexico,MEX,2012,-1.0379812
Moldova,MDA,2012,0.20627499
Morocco,MAR,2012,0.55314094
Netherlands,NLD,2012,-0.14840142
Nicaragua,NIC,2012,-0.41596606
Nigeria,NGA,2012,-0.37476322
Pakistan,PAK,2012,-0.022444665
Peru,PER,2012,-0.086826205
Philippines,PHL,2012,0.21247929
Poland,POL,2012,-0.163956
Portugal,PRT,2012,0.18640624
Romania,ROU,2012,-0.11751875
Russia,RUS,2012,-0.093405068
Rwanda,RWA,2012,-0.57998246
Saudi Arabia,SAU,2012,-0.48707733
Serbia,SRB,2012,0.37641996
South Africa,ZAF,2012,-0.83418101
South Korea,KOR,2012,-0.16840631
Spain,ESP,2012,0.31589085
Sri Lanka,LKA,2012,0.26989344
Suriname,SUR,2012,0.16491938
Sweden,SWE,2012,-0.027697507
Switzerland,CHE,2012,0.12515697
Tanzania,TZA,2012,-0.88645709
Thailand,THA,2012,0.30432498
Turkey,TUR,2012,-0.44317982
Uganda,UGA,2012,-0.27726883
Ukraine,UKR,2012,0.16583692
United Arab Emirates,ARE,2012,0.073196009
United Kingdom,GBR,2012,-0.038331732
United States,USA,2012,0.20365003
Venezuela,VEN,2012,0.047842871
Vietnam,VNM,2012,-0.26562613
Zimbabwe,ZWE,2012,-0.16466387
