Entity,Code,Year,Child health (US$),General health sector support (US$),HIV/AIDS (US$),Malaria (US$),Maternal health (US$),Non-communicable diseases (US$),Other (US$),Other infectious diseases (US$),Tuberculosis (US$),Unallocable (US$)
Global,,1990,952000000,1400000000,340000000,64000000,1800000000,134000000,2400000000,130000000,30000000,257000000
Global,,1991,952000000,1200000000,477000000,80000000,1700000000,99000000,2200000000,224000000,81000000,13400000
Global,,1992,1100000000,1700000000,531000000,36000000,1800000000,155000000,2400000000,202000000,35000000,33100000
Global,,1993,1100000000,1700000000,447000000,51000000,1600000000,204000000,2600000000,156000000,66000000,278000000
Global,,1994,1500000000,1700000000,779000000,71000000,2300000000,224000000,2500000000,163000000,99000000,252000000
Global,,1995,1400000000,1900000000,769000000,62000000,2400000000,142000000,2700000000,247000000,72000000,247000000
Global,,1996,1400000000,2100000000,737000000,66000000,1800000000,131000000,2900000000,238000000,98000000,171000000
Global,,1997,1300000000,2000000000,673000000,70000000,1800000000,132000000,3100000000,267000000,63000000,303000000
Global,,1998,1300000000,2300000000,720000000,83000000,2000000000,146000000,3100000000,619000000,87000000,61000000
Global,,1999,1800000000,2200000000,826000000,113000000,2200000000,149000000,2800000000,521000000,93000000,388000000
Global,,2000,2000000000,2300000000,1300000000,172000000,2500000000,192000000,2300000000,813000000,136000000,360000000
Global,,2001,2400000000,2100000000,1500000000,188000000,2300000000,218000000,2600000000,811000000,157000000,334000000
Global,,2002,2400000000,2000000000,2200000000,194000000,1900000000,193000000,3100000000,599000000,213000000,1500000000
Global,,2003,3000000000,3100000000,2900000000,297000000,1900000000,196000000,3300000000,891000000,301000000,670000000
Global,,2004,2800000000,3200000000,4000000000,506000000,1500000000,181000000,3900000000,935000000,487000000,1300000000
Global,,2005,3200000000,3500000000,5000000000,790000000,2000000000,247000000,4400000000,673000000,496000000,808000000
Global,,2006,3100000000,2800000000,6400000000,953000000,2000000000,291000000,4700000000,749000000,652000000,1300000000
Global,,2007,4200000000,3200000000,7800000000,946000000,2400000000,306000000,3800000000,851000000,856000000,2000000000
Global,,2008,4100000000,3300000000,9500000000,1500000000,3000000000,383000000,4300000000,1200000000,1000000000,2200000000
Global,,2009,4400000000,3700000000,9700000000,2100000000,3400000000,434000000,4000000000,1200000000,1100000000,1200000000
Global,,2010,5200000000,4800000000,11200000000,2400000000,3600000000,503000000,3800000000,1200000000,1400000000,810000000
Global,,2011,5400000000,4700000000,11600000000,2100000000,3900000000,548000000,4400000000,1400000000,1400000000,1200000000
Global,,2012,6700000000,3800000000,12000000000,2400000000,4300000000,580000000,4000000000,1200000000,1300000000,846000000
Global,,2013,7800000000,4400000000,11700000000,2300000000,4400000000,807000000,4800000000,1300000000,1600000000,1100000000
Global,,2014,6900000000,4300000000,10500000000,2300000000,4000000000,643000000,4200000000,2100000000,1200000000,723000000
Global,,2015,8200000000,3700000000,8700000000,2200000000,4100000000,675000000,4100000000,2400000000,1200000000,963000000
Global,,2016,7600000000,4000000000,9600000000,2400000000,3800000000,830000000,4300000000,1800000000,1500000000,1600000000
Global,,2017,7700000000,4200000000,9100000000,2700000000,3900000000,825000000,4300000000,1700000000,1700000000,1300000000
