Entity,Code,Year,Crops - Hempseed - 336 - Production - 5510 - tonnes (tonnes)
Americas,,1961,8.219999999999999
Americas,,1962,8.219999999999999
Americas,,1963,8.219999999999999
Americas,,1964,8.219999999999999
Americas,,1965,8.219999999999999
Americas,,1966,8.219999999999999
Americas,,1967,8.219999999999999
Americas,,1968,8.219999999999999
Americas,,1969,8.767999999999999
Americas,,1970,6.85
Americas,,1971,6.85
Americas,,1972,6.576
Americas,,1973,4.3839999999999995
Americas,,1974,4.3839999999999995
Americas,,1975,4.6579999999999995
Americas,,1976,4.3839999999999995
Americas,,1977,3.014
Americas,,1978,3.014
Americas,,1979,3.014
Americas,,1980,3.014
Americas,,1981,3.014
Americas,,1982,3.014
Americas,,1983,3.014
Americas,,1984,3.014
Americas,,1985,3.014
Americas,,1986,3.014
Americas,,1987,3.014
Americas,,1988,3.014
Americas,,1989,3.014
Americas,,1990,3.0961999999999996
Americas,,1991,2.3810599999999997
Americas,,1992,2.4522999999999997
Americas,,1993,2.52628
Americas,,1994,2.62492
Americas,,1995,2.6797199999999997
Americas,,1996,2.7399999999999998
Americas,,1997,2.81946
Americas,,1998,2.89344
Americas,,1999,2.95646
Americas,,2000,3.014
Americas,,2001,3.151
Americas,,2002,3.288
Americas,,2003,3.425
Americas,,2004,3.4797999999999996
Americas,,2005,3.562
Americas,,2006,3.55104
Americas,,2007,3.5729599999999997
Americas,,2008,3.6058399999999997
Americas,,2009,3.6113199999999996
Americas,,2010,3.562
Americas,,2011,3.7811999999999997
Americas,,2012,3.973
Americas,,2013,3.973
Americas,,2014,4.016839999999999
Americas,,2015,4.06616
Americas,,2016,4.09904
Americas,,2017,4.1511
Americas,,2018,4.200419999999999
Asia,,1961,87.67999999999999
Asia,,1962,98.366
Asia,,1963,114.258
Asia,,1964,116.44999999999999
Asia,,1965,124.66999999999999
Asia,,1966,135.63
Asia,,1967,134.534
Asia,,1968,138.37
Asia,,1969,136.452
Asia,,1970,138.37
Asia,,1971,138.64399999999998
Asia,,1972,142.891
Asia,,1973,146.316
Asia,,1974,164.39999999999998
Asia,,1975,163.85199999999998
Asia,,1976,158.92
Asia,,1977,154.81
Asia,,1978,153.44
Asia,,1979,161.66
Asia,,1980,127.684
Asia,,1981,163.304
Asia,,1982,152.07
Asia,,1983,108.22999999999999
Asia,,1984,111.38099999999999
Asia,,1985,116.44999999999999
Asia,,1986,215.36399999999998
Asia,,1987,182.48399999999998
Asia,,1988,178.648
Asia,,1989,81.0492
Asia,,1990,70.829
Asia,,1991,76.97207999999999
Asia,,1992,71.79621999999999
Asia,,1993,77.63789999999999
Asia,,1994,81.63556
Asia,,1995,82.76992
Asia,,1996,81.69583999999999
Asia,,1997,83.29874
Asia,,1998,87.97591999999999
Asia,,1999,89.55142
Asia,,2000,77.89272
Asia,,2001,62.16786
Asia,,2002,87.59505999999999
Asia,,2003,76.90357999999999
Asia,,2004,69.28912
Asia,,2005,117.20075999999999
Asia,,2006,118.71324
Asia,,2007,134.534
Asia,,2008,85.86063999999999
Asia,,2009,36.444739999999996
Asia,,2010,31.816879999999998
Asia,,2011,44.95518
Asia,,2012,41.039719999999996
Asia,,2013,42.111059999999995
Asia,,2014,43.374199999999995
Asia,,2015,36.62558
Asia,,2016,33.12112
Asia,,2017,33.03344
Asia,,2018,32.94302
Bulgaria,BGR,1961,3.836
Bulgaria,BGR,1962,3.836
Bulgaria,BGR,1963,3.562
Bulgaria,BGR,1964,4.109999999999999
Bulgaria,BGR,1965,5.4799999999999995
Bulgaria,BGR,1966,4.9319999999999995
Bulgaria,BGR,1967,4.082599999999999
Bulgaria,BGR,1968,4.109999999999999
Bulgaria,BGR,1969,3.562
Bulgaria,BGR,1970,3.288
Bulgaria,BGR,1971,3.288
Bulgaria,BGR,1972,2.36462
Bulgaria,BGR,1973,2.2194
Bulgaria,BGR,1974,2.3564
Bulgaria,BGR,1975,2.29064
Bulgaria,BGR,1976,1.7700399999999998
Bulgaria,BGR,1977,1.8632
Bulgaria,BGR,1978,2.0276
Bulgaria,BGR,1979,1.1672399999999998
Bulgaria,BGR,1980,0.7726799999999999
Bulgaria,BGR,1981,0.7973399999999999
Bulgaria,BGR,1982,1.55906
Bulgaria,BGR,1983,1.00558
Bulgaria,BGR,1984,1.04942
Bulgaria,BGR,1985,0.61924
Bulgaria,BGR,1986,0.59732
Bulgaria,BGR,1987,0.49045999999999995
Bulgaria,BGR,1988,0.18358
Bulgaria,BGR,1989,0.24933999999999998
Bulgaria,BGR,1990,0.10686
Bulgaria,BGR,1991,0
Bulgaria,BGR,1992,0
Bulgaria,BGR,1993,0
Bulgaria,BGR,1994,0
Bulgaria,BGR,1995,0.00274
Bulgaria,BGR,1996,0
Bulgaria,BGR,1997,0.00274
Bulgaria,BGR,1998,0
Bulgaria,BGR,1999,0
Chile,CHL,1961,8.219999999999999
Chile,CHL,1962,8.219999999999999
Chile,CHL,1963,8.219999999999999
Chile,CHL,1964,8.219999999999999
Chile,CHL,1965,8.219999999999999
Chile,CHL,1966,8.219999999999999
Chile,CHL,1967,8.219999999999999
Chile,CHL,1968,8.219999999999999
Chile,CHL,1969,8.767999999999999
Chile,CHL,1970,6.85
Chile,CHL,1971,6.85
Chile,CHL,1972,6.576
Chile,CHL,1973,4.3839999999999995
Chile,CHL,1974,4.3839999999999995
Chile,CHL,1975,4.6579999999999995
Chile,CHL,1976,4.3839999999999995
Chile,CHL,1977,3.014
Chile,CHL,1978,3.014
Chile,CHL,1979,3.014
Chile,CHL,1980,3.014
Chile,CHL,1981,3.014
Chile,CHL,1982,3.014
Chile,CHL,1983,3.014
Chile,CHL,1984,3.014
Chile,CHL,1985,3.014
Chile,CHL,1986,3.014
Chile,CHL,1987,3.014
Chile,CHL,1988,3.014
Chile,CHL,1989,3.014
Chile,CHL,1990,3.0961999999999996
Chile,CHL,1991,2.3810599999999997
Chile,CHL,1992,2.4522999999999997
Chile,CHL,1993,2.52628
Chile,CHL,1994,2.62492
Chile,CHL,1995,2.6797199999999997
Chile,CHL,1996,2.7399999999999998
Chile,CHL,1997,2.81946
Chile,CHL,1998,2.89344
Chile,CHL,1999,2.95646
Chile,CHL,2000,3.014
Chile,CHL,2001,3.151
Chile,CHL,2002,3.288
Chile,CHL,2003,3.425
Chile,CHL,2004,3.4797999999999996
Chile,CHL,2005,3.562
Chile,CHL,2006,3.55104
Chile,CHL,2007,3.5729599999999997
Chile,CHL,2008,3.6058399999999997
Chile,CHL,2009,3.6113199999999996
Chile,CHL,2010,3.562
Chile,CHL,2011,3.7811999999999997
Chile,CHL,2012,3.973
Chile,CHL,2013,3.973
Chile,CHL,2014,4.016839999999999
Chile,CHL,2015,4.06616
Chile,CHL,2016,4.09904
Chile,CHL,2017,4.1511
Chile,CHL,2018,4.200419999999999
China,CHN,1961,73.97999999999999
China,CHN,1962,82.19999999999999
China,CHN,1963,98.63999999999999
China,CHN,1964,106.86
China,CHN,1965,115.08
China,CHN,1966,126.03999999999999
China,CHN,1967,126.03999999999999
China,CHN,1968,128.78
China,CHN,1969,128.78
China,CHN,1970,131.51999999999998
China,CHN,1971,131.51999999999998
China,CHN,1972,134.26
China,CHN,1973,137
China,CHN,1974,156.17999999999998
China,CHN,1975,156.17999999999998
China,CHN,1976,153.44
China,CHN,1977,150.7
China,CHN,1978,147.95999999999998
China,CHN,1979,147.95999999999998
China,CHN,1980,115.08
China,CHN,1981,153.44
China,CHN,1982,142.48
China,CHN,1983,101.38
China,CHN,1984,104.11999999999999
China,CHN,1985,112.33999999999999
China,CHN,1986,208.23999999999998
China,CHN,1987,175.35999999999999
China,CHN,1988,175.35999999999999
China,CHN,1989,79.46
China,CHN,1990,68.5
China,CHN,1991,65.62299999999999
China,CHN,1992,60.279999999999994
China,CHN,1993,68.5
China,CHN,1994,73.43199999999999
China,CHN,1995,74.63759999999999
China,CHN,1996,73.97999999999999
China,CHN,1997,76.72
China,CHN,1998,82.19999999999999
China,CHN,1999,83.844
China,CHN,2000,71.24
China,CHN,2001,55.309639999999995
China,CHN,2002,82.48496
China,CHN,2003,71.93321999999999
China,CHN,2004,65.75999999999999
China,CHN,2005,113.29351999999999
China,CHN,2006,115.08
China,CHN,2007,131.13914
China,CHN,2008,82.48496
China,CHN,2009,33.86092
China,CHN,2010,29.764619999999997
China,CHN,2011,43.29748
China,CHN,2012,39.73
China,CHN,2013,41.23974
China,CHN,2014,42.7303
China,CHN,2015,36.020039999999995
China,CHN,2016,32.564899999999994
China,CHN,2017,32.47996
China,CHN,2018,32.39228
Czechoslovakia,OWID_CZS,1961,1.644
Czechoslovakia,OWID_CZS,1962,1.1124399999999999
Czechoslovakia,OWID_CZS,1963,1.2467
Czechoslovakia,OWID_CZS,1964,0.87954
Czechoslovakia,OWID_CZS,1965,1.03846
Czechoslovakia,OWID_CZS,1966,1.41658
Czechoslovakia,OWID_CZS,1967,1.29602
Czechoslovakia,OWID_CZS,1968,1.8933399999999998
Czechoslovakia,OWID_CZS,1969,0.6767799999999999
Czechoslovakia,OWID_CZS,1970,0.35894
Czechoslovakia,OWID_CZS,1971,0.6877399999999999
Czechoslovakia,OWID_CZS,1972,0.38908
Czechoslovakia,OWID_CZS,1973,0.35072
Czechoslovakia,OWID_CZS,1974,0.34249999999999997
Czechoslovakia,OWID_CZS,1975,0.34797999999999996
Czechoslovakia,OWID_CZS,1976,0.24933999999999998
Czechoslovakia,OWID_CZS,1977,0.18905999999999998
Czechoslovakia,OWID_CZS,1978,0.17809999999999998
Czechoslovakia,OWID_CZS,1979,0.12603999999999999
Czechoslovakia,OWID_CZS,1980,0.024659999999999998
