Entity,Code,Year,Number of observations in Poval per decade (survey observations per decade)
Albania,ALB,1994,0
Albania,ALB,2004,2
Albania,ALB,2014,3
Angola,AGO,1994,0
Angola,AGO,2004,1
Angola,AGO,2014,1
Argentina,ARG,1994,6
Argentina,ARG,2004,10
Argentina,ARG,2014,10
Armenia,ARM,1994,0
Armenia,ARM,2004,6
Armenia,ARM,2014,10
Azerbaijan,AZE,1994,0
Azerbaijan,AZE,2004,5
Azerbaijan,AZE,2014,2
Bangladesh,BGD,1994,3
Bangladesh,BGD,2004,2
Bangladesh,BGD,2014,2
Belarus,BLR,1994,2
Belarus,BLR,2004,8
Belarus,BLR,2014,10
Belize,BLZ,1994,2
Belize,BLZ,2004,5
Belize,BLZ,2014,0
Benin,BEN,1994,0
Benin,BEN,2004,1
Benin,BEN,2014,1
Bhutan,BTN,1994,0
Bhutan,BTN,2004,1
Bhutan,BTN,2014,2
Bolivia,BOL,1994,2
Bolivia,BOL,2004,6
Bolivia,BOL,2014,9
Bosnia and Herzegovina,BIH,1994,0
Bosnia and Herzegovina,BIH,2004,2
Bosnia and Herzegovina,BIH,2014,2
Botswana,BWA,1994,2
Botswana,BWA,2004,1
Botswana,BWA,2014,1
Brazil,BRA,1994,8
Brazil,BRA,2004,9
Brazil,BRA,2014,9
Bulgaria,BGR,1994,3
Bulgaria,BGR,2004,4
Bulgaria,BGR,2014,7
Burkina Faso,BFA,1994,1
Burkina Faso,BFA,2004,2
Burkina Faso,BFA,2014,2
Burundi,BDI,1994,1
Burundi,BDI,2004,1
Burundi,BDI,2014,1
Cambodia,KHM,1994,1
Cambodia,KHM,2004,1
Cambodia,KHM,2014,6
Cameroon,CMR,1994,0
Cameroon,CMR,2004,2
Cameroon,CMR,2014,2
Cape Verde,CPV,1994,0
Cape Verde,CPV,2004,1
Cape Verde,CPV,2014,1
Central African Republic,CAF,1994,1
Central African Republic,CAF,2004,1
Central African Republic,CAF,2014,1
Chad,TCD,1994,0
Chad,TCD,2004,1
Chad,TCD,2014,1
Chile,CHL,1994,4
Chile,CHL,2004,4
Chile,CHL,2014,4
China,CHN,1994,3
China,CHN,2004,3
China,CHN,2014,6
Colombia,COL,1994,4
Colombia,COL,2004,7
Colombia,COL,2014,8
Comoros,COM,1994,0
Comoros,COM,2004,1
Comoros,COM,2014,0
Congo,COG,1994,0
Congo,COG,2004,0
Congo,COG,2014,2
Costa Rica,CRI,1994,7
Costa Rica,CRI,2004,10
Costa Rica,CRI,2014,10
Cote d'Ivoire,CIV,1994,5
Cote d'Ivoire,CIV,2004,3
Cote d'Ivoire,CIV,2014,1
Croatia,HRV,1994,1
Croatia,HRV,2004,5
Croatia,HRV,2014,5
Czech Republic,CZE,1994,2
Czech Republic,CZE,2004,2
Czech Republic,CZE,2014,8
Democratic Republic of Congo,COD,1994,0
Democratic Republic of Congo,COD,2004,1
Democratic Republic of Congo,COD,2014,1
Djibouti,DJI,1994,0
Djibouti,DJI,2004,1
Djibouti,DJI,2014,2
Dominican Republic,DOM,1994,3
Dominican Republic,DOM,2004,7
Dominican Republic,DOM,2014,9
East Asia & Pacific,,1994,3
East Asia & Pacific,,2004,3
East Asia & Pacific,,2014,6
Ecuador,ECU,1994,2
Ecuador,ECU,2004,6
Ecuador,ECU,2014,10
El Salvador,SLV,1994,2
El Salvador,SLV,2004,9
El Salvador,SLV,2014,10
Estonia,EST,1994,2
Estonia,EST,2004,7
Estonia,EST,2014,8
Ethiopia,ETH,1994,0
Ethiopia,ETH,2004,3
Ethiopia,ETH,2014,1
Europe & Central Asia,,1994,3
Europe & Central Asia,,2004,3
Europe & Central Asia,,2014,6
Fiji,FJI,1994,0
Fiji,FJI,2004,1
Fiji,FJI,2014,1
Fragile and conflict affected situations,,1994,3
Fragile and conflict affected situations,,2004,3
Fragile and conflict affected situations,,2014,6
Gabon,GAB,1994,0
Gabon,GAB,2004,0
Gabon,GAB,2014,1
Gambia,GMB,1994,0
Gambia,GMB,2004,2
Gambia,GMB,2014,0
Georgia,GEO,1994,0
Georgia,GEO,2004,9
Georgia,GEO,2014,10
Ghana,GHA,1994,3
Ghana,GHA,2004,1
Ghana,GHA,2014,1
Guatemala,GTM,1994,2
Guatemala,GTM,2004,2
Guatemala,GTM,2014,3
Guinea,GIN,1994,2
Guinea,GIN,2004,1
Guinea,GIN,2014,2
Guinea-Bissau,GNB,1994,2
Guinea-Bissau,GNB,2004,1
Guinea-Bissau,GNB,2014,1
Guyana,GUY,1994,1
Guyana,GUY,2004,1
Guyana,GUY,2014,0
Haiti,HTI,1994,0
Haiti,HTI,2004,1
Haiti,HTI,2014,1
High income,,1994,3
High income,,2004,3
High income,,2014,6
Honduras,HND,1994,7
Honduras,HND,2004,9
Honduras,HND,2014,10
Hungary,HUN,1994,3
Hungary,HUN,2004,7
Hungary,HUN,2014,7
IBRD only,,1994,3
IBRD only,,2004,3
IBRD only,,2014,6
IDA & IBRD total,,1994,3
IDA & IBRD total,,2004,3
IDA & IBRD total,,2014,6
IDA blend,,1994,3
IDA blend,,2004,3
IDA blend,,2014,6
IDA only,,1994,3
IDA only,,2004,3
IDA only,,2014,6
IDA total,,1994,3
IDA total,,2004,3
IDA total,,2014,6
India,IND,1994,2
India,IND,2004,1
