Entity,Code,Year,Share of NYT media coverage (%)
Accidents,,1999,2.07
Accidents,,2000,2.44
Accidents,,2001,1.68
Accidents,,2002,1.56
Accidents,,2003,1.63
Accidents,,2004,1.74
Accidents,,2005,1.86
Accidents,,2006,1.92
Accidents,,2007,2.54
Accidents,,2008,2.17
Accidents,,2009,2.3
Accidents,,2010,2.86
Accidents,,2011,3.1
Accidents,,2012,2.92
Accidents,,2013,2.19
Accidents,,2014,2.53
Accidents,,2015,2.07
Accidents,,2016,1.9
Alzheimer's Disease,,1999,1.17
Alzheimer's Disease,,2000,1.23
Alzheimer's Disease,,2001,0.81
Alzheimer's Disease,,2002,0.82
Alzheimer's Disease,,2003,0.81
Alzheimer's Disease,,2004,1.15
Alzheimer's Disease,,2005,1.02
Alzheimer's Disease,,2006,0.83
Alzheimer's Disease,,2007,1.06
Alzheimer's Disease,,2008,1.3
Alzheimer's Disease,,2009,1.54
Alzheimer's Disease,,2010,1.43
Alzheimer's Disease,,2011,1.45
Alzheimer's Disease,,2012,1.38
Alzheimer's Disease,,2013,1.42
Alzheimer's Disease,,2014,1.51
Alzheimer's Disease,,2015,1.23
Alzheimer's Disease,,2016,1.01
Cancer,,1999,24.03
Cancer,,2000,26.12
Cancer,,2001,14.12
Cancer,,2002,14.42
Cancer,,2003,14.58
Cancer,,2004,15.14
Cancer,,2005,16.74
Cancer,,2006,16.59
Cancer,,2007,18.47
Cancer,,2008,22.13
Cancer,,2009,21.85
Cancer,,2010,22.81
Cancer,,2011,22.71
Cancer,,2012,21.8
Cancer,,2013,18.59
Cancer,,2014,19.95
Cancer,,2015,17.37
Cancer,,2016,13.47
Diabetes,,1999,2.74
Diabetes,,2000,3.05
Diabetes,,2001,2.32
Diabetes,,2002,2.17
Diabetes,,2003,2.68
Diabetes,,2004,2.8
Diabetes,,2005,2.97
Diabetes,,2006,3.51
Diabetes,,2007,3.69
Diabetes,,2008,3.9
Diabetes,,2009,3.8
Diabetes,,2010,4.19
Diabetes,,2011,3.31
Diabetes,,2012,4.1
Diabetes,,2013,3.66
Diabetes,,2014,3.2
Diabetes,,2015,2.83
Diabetes,,2016,2.39
Drug overdose,,1999,0.29
Drug overdose,,2000,0.19
Drug overdose,,2001,0.13
Drug overdose,,2002,0.11
Drug overdose,,2003,0.14
Drug overdose,,2004,0.18
Drug overdose,,2005,0.18
Drug overdose,,2006,0.13
Drug overdose,,2007,0.23
Drug overdose,,2008,0.19
Drug overdose,,2009,0.22
Drug overdose,,2010,0.29
Drug overdose,,2011,0.31
Drug overdose,,2012,0.24
Drug overdose,,2013,0.2
Drug overdose,,2014,0.33
Drug overdose,,2015,0.31
Drug overdose,,2016,0.4
Heart disease,,1999,3.61
Heart disease,,2000,3.14
Heart disease,,2001,2.17
Heart disease,,2002,2.43
Heart disease,,2003,2.37
Heart disease,,2004,3.25
Heart disease,,2005,3.65
Heart disease,,2006,3.69
Heart disease,,2007,3.46
Heart disease,,2008,4.02
Heart disease,,2009,3.6
Heart disease,,2010,3.41
Heart disease,,2011,3.37
Heart disease,,2012,3.79
Heart disease,,2013,3.7
Heart disease,,2014,3.02
Heart disease,,2015,3.13
Heart disease,,2016,2.48
Homicide,,1999,27.02
Homicide,,2000,26.46
Homicide,,2001,16.25
Homicide,,2002,16.48
Homicide,,2003,17.49
Homicide,,2004,17.71
Homicide,,2005,19.75
Homicide,,2006,19.73
Homicide,,2007,21.38
Homicide,,2008,19.59
Homicide,,2009,17.44
Homicide,,2010,19.86
Homicide,,2011,22.29
Homicide,,2012,22.3
Homicide,,2013,22.48
Homicide,,2014,23.57
Homicide,,2015,22.74
Homicide,,2016,22.75
Kidney disease,,1999,0.25
Kidney disease,,2000,0.21
Kidney disease,,2001,0.16
Kidney disease,,2002,0.2
Kidney disease,,2003,0.33
Kidney disease,,2004,0.24
Kidney disease,,2005,0.33
Kidney disease,,2006,0.29
Kidney disease,,2007,0.2
Kidney disease,,2008,0.36
Kidney disease,,2009,0.35
Kidney disease,,2010,0.26
Kidney disease,,2011,0.35
Kidney disease,,2012,0.34
Kidney disease,,2013,0.36
Kidney disease,,2014,0.28
Kidney disease,,2015,0.25
