Entity,Code,Year,Deaths averted due to HIV programmes - estimate (deaths averted)
Angola,AGO,2016,153792
Benin,BEN,2016,42025
Botswana,BWA,2016,206252
Burkina Faso,BFA,2016,38256
Burundi,BDI,2016,62941
Cameroon,CMR,2016,142718
Central African Republic,CAF,2016,42166
Chad,TCD,2016,98718
Congo,COG,2016,22290
Cote d'Ivoire,CIV,2016,143504
Democratic Republic of Congo,COD,2016,81571
Djibouti,DJI,2016,4200
Equatorial Guinea,GNQ,2016,7918
Eritrea,ERI,2016,9948
Ethiopia,ETH,2016,342556
Gabon,GAB,2016,34943
Gambia,GMB,2016,7928
Ghana,GHA,2016,102379
Guinea-Bissau,GNB,2016,13436
Haiti,HTI,2016,89910
Kenya,KEN,2016,635011
Lesotho,LSO,2016,103042
Liberia,LBR,2016,9855
Malawi,MWI,2016,466819
Mozambique,MOZ,2016,742721
Namibia,NAM,2016,114837
Nigeria,NGA,2016,563689
Rwanda,RWA,2016,111782
Sierra Leone,SLE,2016,40954
South Africa,ZAF,2016,2140000
South Sudan,SSD,2016,77036
Swaziland,SWZ,2016,77193
Tanzania,TZA,2016,692951
Togo,TGO,2016,79198
Uganda,UGA,2016,481756
Zambia,ZMB,2016,604323
Zimbabwe,ZWE,2016,608095
