Entity,Code,Year,Household air pollution,Outdoor air pollution
Afghanistan,AFG,1990,20372,13085
Afghanistan,AFG,1995,27948,17602
Afghanistan,AFG,2000,31581,20097
Afghanistan,AFG,2005,36956,22285
Afghanistan,AFG,2006,36622,22493
Afghanistan,AFG,2010,31631,21195
Afghanistan,AFG,2016,34356,27426
Albania,ALB,1990,2159,1208
Albania,ALB,1995,1994,1085
Albania,ALB,2000,1794,1105
Albania,ALB,2005,1680,1176
Albania,ALB,2006,1565,1219
Albania,ALB,2010,1190,1398
Albania,ALB,2016,1003,1421
Algeria,DZA,1990,2502,7963
Algeria,DZA,1995,1630,8298
Algeria,DZA,2000,1018,9007
Algeria,DZA,2005,456,9062
Algeria,DZA,2006,393,9093
Algeria,DZA,2010,220,9547
Algeria,DZA,2016,111,12976
American Samoa,ASM,1990,11,2
American Samoa,ASM,1995,10,2
American Samoa,ASM,2000,9,3
American Samoa,ASM,2005,8,3
American Samoa,ASM,2006,8,2
American Samoa,ASM,2010,7,1
American Samoa,ASM,2016,6,2
Andorra,AND,1990,2,18
Andorra,AND,1995,1,21
Andorra,AND,2000,1,18
Andorra,AND,2005,1,21
Andorra,AND,2006,1,22
Andorra,AND,2010,1,24
Andorra,AND,2016,1,27
Angola,AGO,1990,12604,6469
Angola,AGO,1995,13317,6912
Angola,AGO,2000,13815,7772
Angola,AGO,2005,13316,8156
Angola,AGO,2006,12874,8068
Angola,AGO,2010,11864,7733
Angola,AGO,2016,7902,7327
Antigua and Barbuda,ATG,1990,4,21
Antigua and Barbuda,ATG,1995,3,20
Antigua and Barbuda,ATG,2000,2,19
Antigua and Barbuda,ATG,2005,2,18
Antigua and Barbuda,ATG,2006,2,18
Antigua and Barbuda,ATG,2010,1,16
Antigua and Barbuda,ATG,2016,1,19
Argentina,ARG,1990,4424,13842
Argentina,ARG,1995,3139,13912
Argentina,ARG,2000,2588,14637
Argentina,ARG,2005,2208,14962
Argentina,ARG,2006,2109,15011
Argentina,ARG,2010,1707,15424
Argentina,ARG,2016,1202,15807
Armenia,ARM,1990,2355,1913
Armenia,ARM,1995,2226,1984
Armenia,ARM,2000,1366,1926
Armenia,ARM,2005,1269,2117
Armenia,ARM,2006,1239,2184
Armenia,ARM,2010,867,2229
Armenia,ARM,2016,650,2148
Australia,AUS,1990,241,3864
Australia,AUS,1995,98,3764
Australia,AUS,2000,86,3533
Australia,AUS,2005,87,3154
Australia,AUS,2006,85,3057
Australia,AUS,2010,69,2669
Australia,AUS,2016,59,3098
Austria,AUT,1990,377,4904
Austria,AUT,1995,257,4464
Austria,AUT,2000,196,3995
Austria,AUT,2005,148,3542
Austria,AUT,2006,140,3492
Austria,AUT,2010,112,3407
Austria,AUT,2016,87,3454
Azerbaijan,AZE,1990,5458,5348
Azerbaijan,AZE,1995,5220,5341
Azerbaijan,AZE,2000,3481,5286
Azerbaijan,AZE,2005,2442,5425
Azerbaijan,AZE,2006,2257,5601
Azerbaijan,AZE,2010,2098,6469
Azerbaijan,AZE,2016,1849,6885
Bahamas,BHS,1990,15,61
Bahamas,BHS,1995,13,67
Bahamas,BHS,2000,11,68
Bahamas,BHS,2005,10,75
Bahamas,BHS,2006,10,71
Bahamas,BHS,2010,10,69
Bahamas,BHS,2016,10,95
Bahrain,BHR,1990,44,212
Bahrain,BHR,1995,28,228
Bahrain,BHR,2000,21,228
Bahrain,BHR,2005,11,217
Bahrain,BHR,2006,10,224
Bahrain,BHR,2010,8,253
Bahrain,BHR,2016,6,308
Bangladesh,BGD,1990,117467,82922
Bangladesh,BGD,1995,110913,81365
Bangladesh,BGD,2000,108085,82277
Bangladesh,BGD,2005,110898,94713
Bangladesh,BGD,2006,111627,96396
Bangladesh,BGD,2010,110340,100287
Bangladesh,BGD,2016,106871,115489
Barbados,BRB,1990,1,108
Barbados,BRB,1995,1,112
Barbados,BRB,2000,1,99
Barbados,BRB,2005,0,87
Barbados,BRB,2006,0,86
Barbados,BRB,2010,0,79
Barbados,BRB,2016,0,103
Belarus,BLR,1990,1590,11199
Belarus,BLR,1995,1513,12252
Belarus,BLR,2000,1091,11919
Belarus,BLR,2005,784,11796
Belarus,BLR,2006,677,11533
Belarus,BLR,2010,417,11406
Belarus,BLR,2016,244,9657
Belgium,BEL,1990,204,6705
Belgium,BEL,1995,130,6122
Belgium,BEL,2000,105,5837
Belgium,BEL,2005,85,5321
Belgium,BEL,2006,81,5215
Belgium,BEL,2010,68,5164
Belgium,BEL,2016,56,5230
Belize,BLZ,1990,55,58
Belize,BLZ,1995,45,68
Belize,BLZ,2000,39,79
Belize,BLZ,2005,31,67
Belize,BLZ,2006,30,66
Belize,BLZ,2010,33,68
Belize,BLZ,2016,31,76
Benin,BEN,1990,6640,4128
Benin,BEN,1995,7078,4395
Benin,BEN,2000,6949,4396
Benin,BEN,2005,6625,3817
Benin,BEN,2006,6592,3790
Benin,BEN,2010,6884,3913
Benin,BEN,2016,7056,5737
Bermuda,BMU,1990,8,24
