Entity,Code,Year,Estimated deaths from volcanic eruptions (deaths)
Cameroon,CMR,141 BCE,0
Cameroon,CMR,79,0
Cameroon,CMR,450,0
Cameroon,CMR,764,0
Cameroon,CMR,1169,0
Cameroon,CMR,1300,0
Cameroon,CMR,1362,0
Cameroon,CMR,1410,0
Cameroon,CMR,1485,0
Cameroon,CMR,1510,0
Cameroon,CMR,1536,0
Cameroon,CMR,1538,0
Cameroon,CMR,1568,0
Cameroon,CMR,1570,0
Cameroon,CMR,1580,0
Cameroon,CMR,1586,0
Cameroon,CMR,1595,0
Cameroon,CMR,1598,0
Cameroon,CMR,1600,0
Cameroon,CMR,1629,0
Cameroon,CMR,1630,0
Cameroon,CMR,1631,0
Cameroon,CMR,1638,0
Cameroon,CMR,1640,0
Cameroon,CMR,1650,0
Cameroon,CMR,1660,0
Cameroon,CMR,1663,0
Cameroon,CMR,1664,0
Cameroon,CMR,1669,0
Cameroon,CMR,1672,0
Cameroon,CMR,1677,0
Cameroon,CMR,1682,0
Cameroon,CMR,1684,0
Cameroon,CMR,1711,0
Cameroon,CMR,1716,0
Cameroon,CMR,1717,0
Cameroon,CMR,1718,0
Cameroon,CMR,1721,0
Cameroon,CMR,1727,0
Cameroon,CMR,1737,0
Cameroon,CMR,1741,0
Cameroon,CMR,1754,0
Cameroon,CMR,1755,0
Cameroon,CMR,1757,0
Cameroon,CMR,1760,0
Cameroon,CMR,1766,0
Cameroon,CMR,1772,0
Cameroon,CMR,1775,0
Cameroon,CMR,1778,0
Cameroon,CMR,1779,0
Cameroon,CMR,1780,0
Cameroon,CMR,1781,0
Cameroon,CMR,1783,0
Cameroon,CMR,1784,0
Cameroon,CMR,1785,0
Cameroon,CMR,1786,0
Cameroon,CMR,1790,0
Cameroon,CMR,1792,0
Cameroon,CMR,1794,0
Cameroon,CMR,1800,0
Cameroon,CMR,1801,0
Cameroon,CMR,1805,0
Cameroon,CMR,1812,0
Cameroon,CMR,1814,0
Cameroon,CMR,1815,0
Cameroon,CMR,1816,0
Cameroon,CMR,1822,0
Cameroon,CMR,1832,0
Cameroon,CMR,1833,0
Cameroon,CMR,1838,0
Cameroon,CMR,1840,0
Cameroon,CMR,1843,0
Cameroon,CMR,1845,0
Cameroon,CMR,1846,0
Cameroon,CMR,1848,0
Cameroon,CMR,1853,0
Cameroon,CMR,1854,0
Cameroon,CMR,1856,0
Cameroon,CMR,1860,0
Cameroon,CMR,1861,0
Cameroon,CMR,1864,0
Cameroon,CMR,1866,0
Cameroon,CMR,1867,0
Cameroon,CMR,1868,0
Cameroon,CMR,1869,0
Cameroon,CMR,1871,0
Cameroon,CMR,1872,0
Cameroon,CMR,1873,0
Cameroon,CMR,1874,0
Cameroon,CMR,1875,0
Cameroon,CMR,1877,0
Cameroon,CMR,1878,0
Cameroon,CMR,1883,0
Cameroon,CMR,1885,0
Cameroon,CMR,1886,0
Cameroon,CMR,1887,0
Cameroon,CMR,1888,0
Cameroon,CMR,1892,0
Cameroon,CMR,1893,0
Cameroon,CMR,1894,0
Cameroon,CMR,1895,0
Cameroon,CMR,1896,0
Cameroon,CMR,1897,0
Cameroon,CMR,1899,0
Cameroon,CMR,1900,0
Cameroon,CMR,1902,0
Cameroon,CMR,1903,0
Cameroon,CMR,1904,0
Cameroon,CMR,1905,0
Cameroon,CMR,1906,0
Cameroon,CMR,1907,0
Cameroon,CMR,1909,0
Cameroon,CMR,1910,0
Cameroon,CMR,1911,0
Cameroon,CMR,1912,0
Cameroon,CMR,1913,0
