Entity,Code,Year,
Afghanistan,AFG,0,1972
Albania,ALB,0,1922
Algeria,DZA,0,1961
Angola,AGO,0,1959
Argentina,ARG,0,1966
Armenia,ARM,0,1936
Australia,AUS,0,1917
Austria,AUT,0,1923
Azerbaijan,AZE,0,1936
Bangladesh,BGD,0,1975
Belarus,BLR,0,1936
Belgium,BEL,0,1926
Belize,BLZ,0,1939
Benin,BEN,0,1969
Bhutan,BTN,0,1920
Bolivia,BOL,0,1960
Bosnia and Herzegovina,BIH,0,1925
Botswana,BWA,0,1973
Brazil,BRA,0,1971
Bulgaria,BGR,0,1923
Burkina Faso,BFA,0,1968
Burundi,BDI,0,1970
Cambodia,KHM,0,1959
Cameroon,CMR,0,1968
Canada,CAN,0,1944
Central African Republic,CAF,0,1963
Chad,TCD,0,1965
Chile,CHL,0,1954
China,CHN,0,1961
Colombia,COL,0,1965
Congo,COG,0,1965
Costa Rica,CRI,0,1920
Cote d'Ivoire,CIV,0,1966
Croatia,HRV,0,1925
Czech Republic,CZE,0,1924
Democratic Republic of Congo,COD,0,1971
Denmark,DNK,0,1901
Djibouti,DJI,0,1959
Ecuador,ECU,0,1963
Egypt,EGY,0,1948
El Salvador,SLV,0,1938
Equatorial Guinea,GNQ,0,1960
Eritrea,ERI,0,1976
Estonia,EST,0,1936
Ethiopia,ETH,0,1976
Finland,FIN,0,1922
France,FRA,0,1936
French Guiana,GUF,0,1904
Gabon,GAB,0,1965
Gambia,GMB,0,1966
Georgia,GEO,0,1936
Germany,DEU,0,1922
Ghana,GHA,0,1967
Greece,GRC,0,1944
Guatemala,GTM,0,1951
Guinea,GIN,0,1968
Guinea-Bissau,GNB,0,1957
Guyana,GUY,0,1951
Honduras,HND,0,1952
Hungary,HUN,0,1923
Iceland,ISL,0,1872
India,IND,0,1975
Indonesia,IDN,0,1972
Iran,IRN,0,1972
Iraq,IRQ,0,1972
Ireland,IRL,0,1907
Israel,ISR,0,1920
Italy,ITA,0,1947
Japan,JPN,0,1951
Jordan,JOR,0,1925
Kazakhstan,KAZ,0,1936
Kenya,KEN,0,1969
Kyrgyzstan,KGZ,0,1936
Laos,LAO,0,1953
Latvia,LVA,0,1936
Lebanon,LBN,0,1949
Lesotho,LSO,0,1962
Liberia,LBR,0,1968
Libya,LBY,0,1948
Lithuania,LTU,0,1936
Macedonia,MKD,0,1925
Madagascar,MDG,0,1918
Malawi,MWI,0,1971
Malaysia,MYS,0,1960
Mali,MLI,0,1968
Mauritania,MRT,0,1962
Mexico,MEX,0,1951
Moldova,MDA,0,1936
Morocco,MAR,0,1948
Mozambique,MOZ,0,1969
Myanmar,MMR,0,1965
Namibia,NAM,0,1955
Nepal,NPL,0,1975
Netherlands,NLD,0,1900
New Zealand,NZL,0,1914
Nicaragua,NIC,0,1924
Niger,NER,0,1968
Nigeria,NGA,0,1970
North Korea,PRK,0,1946
Norway,NOR,0,1898
Oman,OMN,0,1962
Pakistan,PAK,0,1974
Panama,PAN,0,1922
Paraguay,PRY,0,1960
Peru,PER,0,1966
Philippines,PHL,0,1949
Poland,POL,0,1933
Portugal,PRT,0,1953
Romania,ROU,0,1923
Russia,RUS,0,1936
Rwanda,RWA,0,1970
Saudi Arabia,SAU,0,1961
Senegal,SEN,0,1963
Serbia,SRB,0,1925
Sierra Leone,SLE,0,1969
Slovakia,SVK,0,1924
Slovenia,SVN,0,1925
Somalia,SOM,0,1977
South Africa,ZAF,0,1971
South Korea,KOR,0,1954
South Sudan,SSD,0,1972
Spain,ESP,0,1948
Sri Lanka,LKA,0,1951
Sudan,SDN,0,1972
Suriname,SUR,0,1920
Swaziland,SWZ,0,1966
Sweden,SWE,0,1895
Switzerland,CHE,0,1926
Syria,SYR,0,1950
Tajikistan,TJK,0,1936
Tanzania,TZA,0,1970
Thailand,THA,0,1962
Togo,TGO,0,1969
Tunisia,TUN,0,1948
Turkey,TUR,0,1951
Turkmenistan,TKM,0,1936
Uganda,UGA,0,1968
Ukraine,UKR,0,1936
United Kingdom,GBR,0,1934
United States,USA,0,1948
Uruguay,URY,0,1957
Uzbekistan,UZB,0,1936
Venezuela,VEN,0,1956
Vietnam,VNM,0,1959
Yemen,YEM,0,1960
Zambia,ZMB,0,1968
Zimbabwe,ZWE,0,1970
