Entity,Code,Year,"3.c.1 - Health worker density, by type of occupation (per 10,000 population) - SH_MED_HEAWOR - Dentists (per 1,000 population)"
Afghanistan,AFG,2006,1.3
Afghanistan,AFG,2007,1.1700000000000002
Afghanistan,AFG,2008,1.4000000000000001
Afghanistan,AFG,2014,0.34
Afghanistan,AFG,2015,0.36
Afghanistan,AFG,2016,0.35000000000000003
Albania,ALB,2006,33.89
Algeria,DZA,2002,27.69
Algeria,DZA,2005,27.1
Algeria,DZA,2007,30.96
Andorra,AND,2003,60.11
Andorra,AND,2015,82.05
Angola,AGO,2004,1.18
Argentina,ARG,2001,95.92
Argentina,ARG,2004,91.89999999999999
Armenia,ARM,2010,43.69
Armenia,ARM,2011,45.099999999999994
Armenia,ARM,2012,44.76
Armenia,ARM,2013,41.989999999999995
Armenia,ARM,2014,39.16
Australia,AUS,2001,42.56
Australia,AUS,2006,143.98999999999998
Australia,AUS,2009,66.7
Australia,AUS,2010,51.870000000000005
Australia,AUS,2011,58.040000000000006
Australia,AUS,2012,58.129999999999995
Australia,AUS,2013,56.37
Australia,AUS,2014,57.160000000000004
Australia,AUS,2015,58.129999999999995
Australia,AUS,2016,58.879999999999995
Austria,AUT,2010,55.709999999999994
Austria,AUT,2011,56.06
Austria,AUT,2012,56.31999999999999
Austria,AUT,2013,56.580000000000005
Austria,AUT,2014,56.68
Austria,AUT,2015,56.529999999999994
Austria,AUT,2016,56.86
Austria,AUT,2017,57.34
Azerbaijan,AZE,2010,27.31
Azerbaijan,AZE,2011,26.25
Azerbaijan,AZE,2012,26.560000000000002
Azerbaijan,AZE,2013,26.13
Azerbaijan,AZE,2014,27.37
Bahamas,BHS,2008,22.66
Bahamas,BHS,2011,22.91
Bahamas,BHS,2017,25.8
Bahrain,BHR,2004,21.69
Bahrain,BHR,2005,11.020000000000001
Bahrain,BHR,2006,10.75
Bahrain,BHR,2008,10.68
Bahrain,BHR,2009,9.96
Bahrain,BHR,2010,9.83
Bahrain,BHR,2011,9.94
Bahrain,BHR,2012,10.69
Bahrain,BHR,2013,10.19
Bahrain,BHR,2014,9.8
Bahrain,BHR,2015,9.77
Bangladesh,BGD,2002,1.3800000000000001
Bangladesh,BGD,2004,1.3800000000000001
Bangladesh,BGD,2005,1.6300000000000001
Bangladesh,BGD,2007,1.4000000000000001
Bangladesh,BGD,2008,2.27
Bangladesh,BGD,2009,2.55
Bangladesh,BGD,2010,2.8499999999999996
Bangladesh,BGD,2011,3.13
Bangladesh,BGD,2012,3.09
Bangladesh,BGD,2013,3.83
Bangladesh,BGD,2014,3.99
Bangladesh,BGD,2015,4.04
Bangladesh,BGD,2016,4.3
Bangladesh,BGD,2017,4.95
Barbados,BRB,2001,22.160000000000004
Barbados,BRB,2005,30.29
Barbados,BRB,2017,30.8
Belarus,BLR,2010,53.7
Belarus,BLR,2011,54.11
Belarus,BLR,2012,54.84
Belarus,BLR,2013,54.82
Belarus,BLR,2014,57.08
Belgium,BEL,2005,73.3
Belgium,BEL,2006,74.07
Belgium,BEL,2007,73.3
Belgium,BEL,2008,71.96
Belgium,BEL,2009,70.39
Belgium,BEL,2010,70.16
Belgium,BEL,2011,70.62
Belgium,BEL,2012,71
Belgium,BEL,2013,71.42999999999999
Belgium,BEL,2014,72.27000000000001
Belgium,BEL,2015,73.45
Belgium,BEL,2016,74.64
Belize,BLZ,2000,12.940000000000001
Belize,BLZ,2009,3.8200000000000003
Belize,BLZ,2010,3.73
Belize,BLZ,2017,15.48
Benin,BEN,2004,0.14
Benin,BEN,2008,0.42999999999999994
Benin,BEN,2016,0.08
Bhutan,BTN,2004,1.56
Bhutan,BTN,2007,1.02
Bhutan,BTN,2017,8.299999999999999
Bolivia,BOL,2007,6.33
Bolivia,BOL,2010,9.84
Bolivia,BOL,2011,11.21
Bolivia,BOL,2016,22.3
Bosnia and Herzegovina,BIH,2010,21.41
Bosnia and Herzegovina,BIH,2011,21.9
Bosnia and Herzegovina,BIH,2012,23.98
Bosnia and Herzegovina,BIH,2013,22.44
Bosnia and Herzegovina,BIH,2014,23.14
Botswana,BWA,2004,2.08
Botswana,BWA,2007,1.6700000000000002
Botswana,BWA,2008,0.9199999999999999
Botswana,BWA,2009,2.7800000000000002
Botswana,BWA,2010,2.7300000000000004
Botswana,BWA,2011,2.68
Botswana,BWA,2012,2.63
Botswana,BWA,2016,4.04
Brazil,BRA,2000,87.52000000000001
Brazil,BRA,2001,86.88000000000001
Brazil,BRA,2002,90.58999999999999
Brazil,BRA,2003,93.68
Brazil,BRA,2004,96.37
Brazil,BRA,2005,111.22999999999999
Brazil,BRA,2006,114.92000000000002
Brazil,BRA,2007,115.07999999999998
Brazil,BRA,2008,117.69999999999999
Brazil,BRA,2009,118.72999999999999
Brazil,BRA,2010,113.33
Brazil,BRA,2017,123.68
Brunei,BRN,2000,14.41
Brunei,BRN,2002,20.18
Brunei,BRN,2004,18.919999999999998
Brunei,BRN,2005,19.990000000000002
Brunei,BRN,2006,20.25
Brunei,BRN,2007,21.61
Brunei,BRN,2008,21.619999999999997
Brunei,BRN,2009,18.759999999999998
Brunei,BRN,2010,22.130000000000003
Brunei,BRN,2011,24.11
Brunei,BRN,2012,23.52
Brunei,BRN,2015,22.509999999999998
Bulgaria,BGR,2010,86.28
Bulgaria,BGR,2011,90.83
Bulgaria,BGR,2012,92.33000000000001
Bulgaria,BGR,2013,100.37
Bulgaria,BGR,2014,97.66999999999999
Burkina Faso,BFA,2004,0.44999999999999996
Burkina Faso,BFA,2010,0.21000000000000002
Burkina Faso,BFA,2012,0.22999999999999998
Burundi,BDI,2004,0.19
Burundi,BDI,2010,0.02
Cambodia,KHM,2000,1.7199999999999998
Cambodia,KHM,2008,1.8599999999999999
Cambodia,KHM,2009,1.7399999999999998
Cambodia,KHM,2010,1.6900000000000002
Cambodia,KHM,2011,2.0100000000000002
Cambodia,KHM,2012,1.51
Cambodia,KHM,2013,1.59
Cambodia,KHM,2014,1.6500000000000001
Cameroon,CMR,2005,0.15
Cameroon,CMR,2007,0.21000000000000002
Cameroon,CMR,2009,0.16
Cameroon,CMR,2010,0.29000000000000004
Cameroon,CMR,2011,0.28
Cameroon,CMR,2016,0.38
Canada,CAN,2001,56.83
Canada,CAN,2002,57.36
Canada,CAN,2004,57.220000000000006
Canada,CAN,2006,57.97
Canada,CAN,2008,58.17
Canada,CAN,2012,60.44
Canada,CAN,2013,61.07
Canada,CAN,2014,61.589999999999996
Canada,CAN,2015,62.46000000000001
Canada,CAN,2016,63.54
Cape Verde,CPV,2006,0.62
Cape Verde,CPV,2007,0.62
Cape Verde,CPV,2008,0.61
Cape Verde,CPV,2009,0.6
Cape Verde,CPV,2010,0.8
Cape Verde,CPV,2011,0.59
Cape Verde,CPV,2016,0.72
Central African Republic,CAF,2004,0.15
Central African Republic,CAF,2008,0.12
Central African Republic,CAF,2009,0.09
Chad,TCD,2004,0.07
Chile,CHL,2002,0.06
Chile,CHL,2003,0.08
Chile,CHL,2004,0.08
Chile,CHL,2005,0.07
Chile,CHL,2006,0.09
Chile,CHL,2007,0.08
Chile,CHL,2008,0.08
Chile,CHL,2009,0.09
Chile,CHL,2016,16
China,CHN,2005,3.84
China,CHN,2011,8.65
Colombia,COL,2000,75.1
Colombia,COL,2001,77.37
Colombia,COL,2002,81.67
Colombia,COL,2003,81.86
Colombia,COL,2004,84.09
Colombia,COL,2005,86.34
Colombia,COL,2006,88.59
Colombia,COL,2007,90.84
Colombia,COL,2008,93.11
Colombia,COL,2009,95.39999999999999
Colombia,COL,2010,97.69
Colombia,COL,2015,96
Comoros,COM,2004,2.8499999999999996
Comoros,COM,2005,2.7800000000000002
Comoros,COM,2009,3.12
Comoros,COM,2012,2.49
Congo,COG,2011,2.9499999999999997
Cook Islands,COK,2001,54.64
Cook Islands,COK,2004,51.28
Cook Islands,COK,2009,21.16
Cook Islands,COK,2014,125
Costa Rica,CRI,2000,37.370000000000005
Costa Rica,CRI,2013,12.729999999999999
Costa Rica,CRI,2017,1
Cote d'Ivoire,CIV,2004,1.88
Cote d'Ivoire,CIV,2005,1.11
Cote d'Ivoire,CIV,2008,1.41
Cote d'Ivoire,CIV,2014,2.17
Croatia,HRV,2010,72.96000000000001
Croatia,HRV,2011,73.31
Croatia,HRV,2012,75.01
Croatia,HRV,2013,75.39
Croatia,HRV,2014,78.14
Croatia,HRV,2015,85.32
Cuba,CUB,2000,88.94
Cuba,CUB,2001,88.29
Cuba,CUB,2002,88.74000000000001
Cuba,CUB,2003,90.41
Cuba,CUB,2004,92.77
Cuba,CUB,2005,93.53
Cuba,CUB,2006,95.16999999999999
Cuba,CUB,2007,96.31
Cuba,CUB,2008,99.33
Cuba,CUB,2009,102.24000000000001
Cuba,CUB,2010,107.16
Cuba,CUB,2011,112.66999999999999
Cuba,CUB,2012,122.98
Cuba,CUB,2013,133.62
Cuba,CUB,2014,145.37
Cuba,CUB,2017,166
Cyprus,CYP,2007,67.97
Cyprus,CYP,2008,68.69
Cyprus,CYP,2009,68.94
Cyprus,CYP,2010,69.39
Cyprus,CYP,2011,69.61
Cyprus,CYP,2012,71.89
Cyprus,CYP,2013,72.47
Cyprus,CYP,2014,72.81
Czech Republic,CZE,2010,68.92999999999999
Czech Republic,CZE,2011,70.28999999999999
Czech Republic,CZE,2012,70.47
Czech Republic,CZE,2013,70.09
Czech Republic,CZE,2014,74.6
Czech Republic,CZE,2015,79.79
Czech Republic,CZE,2016,74.97
Democratic Republic of Congo,COD,2009,0.07
Denmark,DNK,2001,90.22
Denmark,DNK,2003,84.97999999999999
Denmark,DNK,2004,85.44
Denmark,DNK,2005,85.47
Denmark,DNK,2008,83.97999999999999
Denmark,DNK,2009,80.31
Denmark,DNK,2010,80.74
Denmark,DNK,2011,78.86999999999999
Denmark,DNK,2012,78.05
Denmark,DNK,2013,76.18
Denmark,DNK,2014,74.93
Denmark,DNK,2015,73.92
Djibouti,DJI,2004,1.3
Djibouti,DJI,2014,2.08
Dominica,DMA,2017,6.7700000000000005
Dominican Republic,DOM,2000,81.75
Dominican Republic,DOM,2008,12.5
Dominican Republic,DOM,2009,18.27
Dominican Republic,DOM,2011,19.05
Dominican Republic,DOM,2017,21
Ecuador,ECU,2000,16.33
Ecuador,ECU,2001,16.48
Ecuador,ECU,2002,17.06
Ecuador,ECU,2003,16.65
Ecuador,ECU,2009,22.89
Ecuador,ECU,2011,27.56
Ecuador,ECU,2015,53.05
Ecuador,ECU,2016,32
Egypt,EGY,2004,10.87
Egypt,EGY,2014,16.07
Egypt,EGY,2015,18
Egypt,EGY,2016,18.34
Egypt,EGY,2017,19.59
El Salvador,SLV,2002,58.33
El Salvador,SLV,2005,70.58
El Salvador,SLV,2008,76.41
Equatorial Guinea,GNQ,2004,0.6900000000000001
Eritrea,ERI,2004,0.41000000000000003
Estonia,EST,2000,64.97
Estonia,EST,2010,89.93
Estonia,EST,2011,88.75
Estonia,EST,2012,90.27
Estonia,EST,2013,90.03999999999999
Estonia,EST,2014,92.75999999999999
Estonia,EST,2015,94.2
Estonia,EST,2016,95.77
Ethiopia,ETH,2003,0.08
Federated States of Micronesia,,2000,13.040000000000001
Federated States of Micronesia,,2003,9.360000000000001
Federated States of Micronesia,,2005,12.24
Federated States of Micronesia,,2008,13.4
Fiji,FJI,2003,7.35
Fiji,FJI,2009,20.07
Fiji,FJI,2015,7.17
Finland,FIN,2002,89.35000000000001
Finland,FIN,2009,75.13
Finland,FIN,2010,78.91
Finland,FIN,2011,77.77
Finland,FIN,2012,74.06
Finland,FIN,2013,72.61999999999999
Finland,FIN,2014,71.89
France,FRA,2000,68.01
France,FRA,2001,67.48
France,FRA,2002,67.22
France,FRA,2003,67.13
France,FRA,2007,66.89
France,FRA,2008,66.46
France,FRA,2011,65.53
France,FRA,2012,65.59
France,FRA,2013,65.84
France,FRA,2014,65.87
France,FRA,2015,66.09
France,FRA,2016,66.47999999999999
Gabon,GAB,2004,1.03
Gabon,GAB,2016,0.44999999999999996
Gambia,GMB,2003,0.52
Gambia,GMB,2005,0.6900000000000001
Gambia,GMB,2006,0.67
Gambia,GMB,2007,0.71
Gambia,GMB,2008,0.76
Gambia,GMB,2015,0.8599999999999999
Georgia,GEO,2010,29.700000000000003
Georgia,GEO,2011,41.790000000000006
Georgia,GEO,2012,48.91
Georgia,GEO,2013,49.83
Georgia,GEO,2014,53.9
Georgia,GEO,2015,62.480000000000004
Germany,DEU,2010,82.12
Germany,DEU,2011,82.75
Germany,DEU,2012,83.46000000000001
Germany,DEU,2013,84.09
Germany,DEU,2014,84.78
Germany,DEU,2015,85.5
Germany,DEU,2016,85.83
Ghana,GHA,2004,0.5
Ghana,GHA,2007,0.14
Ghana,GHA,2008,0.19
Greece,GRC,2010,128.09
Greece,GRC,2011,127.10000000000001
Greece,GRC,2012,124.87
Greece,GRC,2013,122.87
Greece,GRC,2014,122.03
Grenada,GRD,2000,8.86
Grenada,GRD,2001,8.84
Grenada,GRD,2002,8.81
Grenada,GRD,2003,8.79
Grenada,GRD,2006,18.39
Grenada,GRD,2017,15.77
Guatemala,GTM,2007,17.34
Guatemala,GTM,2018,1.04
Guinea,GIN,2000,0.2
Guinea,GIN,2004,0.22999999999999998
Guinea,GIN,2005,0.18
Guinea-Bissau,GNB,2004,0.21999999999999997
Guinea-Bissau,GNB,2008,0.14
Guinea-Bissau,GNB,2009,0.45999999999999996
Guyana,GUY,2000,3.9800000000000004
Guyana,GUY,2009,3.89
Guyana,GUY,2018,3.58
Haiti,HTI,2011,0.49
Haiti,HTI,2018,2.13
Honduras,HND,2000,17.490000000000002
Honduras,HND,2008,3
Honduras,HND,2016,26.73
Honduras,HND,2017,3.3200000000000003
Hungary,HUN,2010,52.95
Hungary,HUN,2011,52.9
Hungary,HUN,2012,56.83
Hungary,HUN,2013,60.59
Hungary,HUN,2014,63.209999999999994
Hungary,HUN,2015,60.67
Hungary,HUN,2016,62.370000000000005
Iceland,ISL,2001,100.74
Iceland,ISL,2002,100.95
Iceland,ISL,2003,100
Iceland,ISL,2004,98.59
Iceland,ISL,2005,97.97
Iceland,ISL,2006,95.42999999999999
Iceland,ISL,2007,96.32999999999998
Iceland,ISL,2008,96.82000000000001
Iceland,ISL,2009,93.01
Iceland,ISL,2010,93.35000000000001
Iceland,ISL,2011,87.50999999999999
Iceland,ISL,2012,82.95
Iceland,ISL,2013,83.17999999999999
Iceland,ISL,2014,83.41
Iceland,ISL,2015,84.19
Iceland,ISL,2016,83.61000000000001
Iceland,ISL,2017,83.28
India,IND,2000,3.71
India,IND,2001,4.41
India,IND,2002,4.33
India,IND,2003,4.27
India,IND,2004,4.89
India,IND,2005,4.84
India,IND,2006,6.720000000000001
India,IND,2007,6.1899999999999995
India,IND,2008,7.800000000000001
India,IND,2009,8.61
India,IND,2011,9.45
India,IND,2012,9.57
India,IND,2014,11.94
India,IND,2016,14.930000000000001
India,IND,2017,18.759999999999998
Indonesia,IDN,2003,2.3899999999999997
Indonesia,IDN,2009,2.27
Indonesia,IDN,2010,3.5999999999999996
Indonesia,IDN,2012,4.25
Indonesia,IDN,2015,4.93
Indonesia,IDN,2017,5.48
Iran,IRN,2004,15.3
Iran,IRN,2005,18.759999999999998
Iran,IRN,2006,13.37
Iran,IRN,2014,35.43
Iran,IRN,2015,33
Iraq,IRQ,2010,15.600000000000001
Iraq,IRQ,2014,22.54
Iraq,IRQ,2016,24
Iraq,IRQ,2017,24.88
Ireland,IRL,2006,43.92
Ireland,IRL,2010,58.81
Ireland,IRL,2011,57.199999999999996
Ireland,IRL,2012,56.879999999999995
Ireland,IRL,2013,56.580000000000005
Ireland,IRL,2014,58.849999999999994
Ireland,IRL,2015,60.17
Israel,ISR,2010,85.74
Israel,ISR,2011,77.52
Israel,ISR,2012,69.71000000000001
Israel,ISR,2013,69.03999999999999
Israel,ISR,2014,79.33
Israel,ISR,2015,82.25
Israel,ISR,2016,79.75
Italy,ITA,2010,56.959999999999994
Italy,ITA,2011,58.87
Italy,ITA,2012,66.15
Italy,ITA,2013,68.03
Italy,ITA,2014,79.9
Italy,ITA,2015,80
Italy,ITA,2016,81.71
Italy,ITA,2017,83.16000000000001
Jamaica,JAM,2003,7.82
Jamaica,JAM,2008,1.6500000000000001
Jamaica,JAM,2012,1.23
Jamaica,JAM,2013,1.23
Jamaica,JAM,2014,1.26
Jamaica,JAM,2015,1.29
Jamaica,JAM,2016,1.56
Jamaica,JAM,2017,9
Japan,JPN,2000,71.24
Japan,JPN,2002,72.61
Japan,JPN,2004,74.25
Japan,JPN,2006,75.67999999999999
Japan,JPN,2008,77.34
Japan,JPN,2010,76.81
Japan,JPN,2012,77.61999999999999
Japan,JPN,2014,78.8
Japan,JPN,2016,79.52
Jordan,JOR,2000,56.529999999999994
Jordan,JOR,2001,55.24
Jordan,JOR,2002,45.05
Jordan,JOR,2003,64.33
Jordan,JOR,2004,71.77
Jordan,JOR,2005,73.4
Jordan,JOR,2006,77.47
Jordan,JOR,2007,78.97
Jordan,JOR,2008,78.49000000000001
Jordan,JOR,2009,64.26
Jordan,JOR,2010,79.24000000000001
Jordan,JOR,2013,80.87
Jordan,JOR,2014,78.11
Jordan,JOR,2015,74.31
Jordan,JOR,2016,70.99000000000001
Jordan,JOR,2017,73.25
Kazakhstan,KAZ,2010,40.59
Kazakhstan,KAZ,2011,39.24
Kazakhstan,KAZ,2012,40.9
Kazakhstan,KAZ,2013,37.23
Kazakhstan,KAZ,2014,36.77
Kenya,KEN,2002,2.25
Kenya,KEN,2008,2.49
Kenya,KEN,2009,2.5
Kenya,KEN,2010,2.17
Kenya,KEN,2011,2.19
Kenya,KEN,2012,2.2600000000000002
Kenya,KEN,2013,2.33
