Entity,Code,Year,Diamond (BGS (2016)) (carats)
Angola,AGO,1970,2396000
Angola,AGO,1971,2413021
Angola,AGO,1972,2155057
Angola,AGO,1973,2124720
Angola,AGO,1974,1959272
Angola,AGO,1975,991000
Angola,AGO,1976,340000
Angola,AGO,1977,353000
Angola,AGO,1978,650000
Angola,AGO,1979,840000
Angola,AGO,1980,1485100
Angola,AGO,1981,1400481
Angola,AGO,1982,1221150
Angola,AGO,1983,1006520
Angola,AGO,1984,923669
Angola,AGO,1985,717028
Angola,AGO,1986,266184
Angola,AGO,1987,871391
Angola,AGO,1988,1044551
Angola,AGO,1989,1320000
Angola,AGO,1990,1280000
Angola,AGO,1991,960559
Angola,AGO,1992,1395379
Angola,AGO,1993,146787
Angola,AGO,1994,303867
Angola,AGO,1995,671394
Angola,AGO,1996,2500000
Angola,AGO,1997,1314182
Angola,AGO,1998,2764858
Angola,AGO,1999,3572200
Angola,AGO,2000,4014000
Angola,AGO,2001,5100000
Angola,AGO,2002,5700000
Angola,AGO,2003,6300000
Angola,AGO,2004,6146361
Angola,AGO,2005,7079121
Angola,AGO,2006,9175061
Angola,AGO,2007,9701709
Angola,AGO,2008,8906974
Angola,AGO,2009,13827609
Angola,AGO,2010,8362139
Angola,AGO,2011,8328519
Angola,AGO,2012,8330096
Angola,AGO,2013,8598695
Angola,AGO,2014,8791340
Angola,AGO,2015,9016343
Armenia,ARM,2001,186000
Australia,AUS,1979,0
Australia,AUS,1980,0
Australia,AUS,1981,0
Australia,AUS,1982,457000
Australia,AUS,1983,6200227
Australia,AUS,1984,5692193
Australia,AUS,1985,7070062
Australia,AUS,1986,29232453
Australia,AUS,1987,30331701
Australia,AUS,1988,35221000
Australia,AUS,1989,35079000
Australia,AUS,1990,34662000
Australia,AUS,1991,35956000
Australia,AUS,1992,40172000
Australia,AUS,1993,41883000
Australia,AUS,1994,43789000
Australia,AUS,1995,40692000
Australia,AUS,1996,41993000
Australia,AUS,1997,40175000
Australia,AUS,1998,40843000
Australia,AUS,1999,29784000
Australia,AUS,2000,26647000
Australia,AUS,2001,26176000
Australia,AUS,2002,33648000
Australia,AUS,2003,31013000
Australia,AUS,2004,20620000
Australia,AUS,2005,30678000
Australia,AUS,2006,29308000
Australia,AUS,2007,19231000
Australia,AUS,2008,15670000
Australia,AUS,2009,10795000
Australia,AUS,2010,9998000
Australia,AUS,2011,7561487
Australia,AUS,2012,8625996
Australia,AUS,2013,11481749
Australia,AUS,2014,9288118
Australia,AUS,2015,13560795
Botswana,BWA,1970,463595
Botswana,BWA,1971,871765
Botswana,BWA,1972,2402936
Botswana,BWA,1973,2416460
Botswana,BWA,1974,2718000
Botswana,BWA,1975,2413839
Botswana,BWA,1976,2361000
Botswana,BWA,1977,2691000
Botswana,BWA,1978,2799000
Botswana,BWA,1979,4369000
Botswana,BWA,1980,5146000
Botswana,BWA,1981,4960000
Botswana,BWA,1982,7562000
Botswana,BWA,1983,10897000
Botswana,BWA,1984,12904000
Botswana,BWA,1985,12608000
Botswana,BWA,1986,13138000
Botswana,BWA,1987,13225344
Botswana,BWA,1988,15229000
Botswana,BWA,1989,15252000
Botswana,BWA,1990,17351000
Botswana,BWA,1991,16506000
Botswana,BWA,1992,15946000
Botswana,BWA,1993,14730000
Botswana,BWA,1994,15550000
Botswana,BWA,1995,16802438
Botswana,BWA,1996,17707000
Botswana,BWA,1997,20111000
Botswana,BWA,1998,19639000
Botswana,BWA,1999,21263000
Botswana,BWA,2000,24635000
Botswana,BWA,2001,26190000
Botswana,BWA,2002,28368000
Botswana,BWA,2003,30412155
Botswana,BWA,2004,31125000
Botswana,BWA,2005,31889771
Botswana,BWA,2006,34293401
Botswana,BWA,2007,33639000
Botswana,BWA,2008,32595000
Botswana,BWA,2009,17734000
Botswana,BWA,2010,22019000
Botswana,BWA,2011,22903000
Botswana,BWA,2012,20478000
Botswana,BWA,2013,22597000
Botswana,BWA,2014,24658000
Botswana,BWA,2015,20824000
Brazil,BRA,1970,73000
Brazil,BRA,1971,92000
Brazil,BRA,1972,99087
Brazil,BRA,1973,112751
Brazil,BRA,1974,254032
Brazil,BRA,1975,261641
Brazil,BRA,1976,261000
Brazil,BRA,1977,320000
Brazil,BRA,1978,500000
Brazil,BRA,1979,500000
Brazil,BRA,1980,666832
Brazil,BRA,1981,1089313
Brazil,BRA,1982,529760
Brazil,BRA,1983,311589
Brazil,BRA,1984,800927
Brazil,BRA,1985,450000
Brazil,BRA,1986,625000
Brazil,BRA,1987,522437
Brazil,BRA,1988,544588
Brazil,BRA,1989,500141
Brazil,BRA,1990,1542241
Brazil,BRA,1991,1546800
Brazil,BRA,1992,1285402
Brazil,BRA,1993,1000000
Brazil,BRA,1994,300000
Brazil,BRA,1995,676269
Brazil,BRA,1996,200000
Brazil,BRA,1997,100000
Brazil,BRA,1998,100349
Brazil,BRA,1999,900000
Brazil,BRA,2000,1000000
Brazil,BRA,2001,700000
Brazil,BRA,2002,500000
Brazil,BRA,2003,400000
Brazil,BRA,2004,300000
Brazil,BRA,2005,207836
Brazil,BRA,2006,181350
Brazil,BRA,2007,182031
Brazil,BRA,2008,80226
Brazil,BRA,2009,21153
Brazil,BRA,2010,25394
Brazil,BRA,2011,45536
Brazil,BRA,2012,46292
Brazil,BRA,2013,49166
Brazil,BRA,2014,56923
Brazil,BRA,2015,31826
Cameroon,CMR,2001,4800
Cameroon,CMR,2002,5000
Cameroon,CMR,2003,5500
Cameroon,CMR,2004,12000
Cameroon,CMR,2005,12000
Cameroon,CMR,2006,12000
Cameroon,CMR,2007,12000
Cameroon,CMR,2008,12000
Cameroon,CMR,2009,8000
Cameroon,CMR,2010,6000
Cameroon,CMR,2011,6000
Cameroon,CMR,2012,5000
Cameroon,CMR,2013,5000
Cameroon,CMR,2014,6000
Cameroon,CMR,2015,5000
Canada,CAN,1994,0
Canada,CAN,1995,0
Canada,CAN,1996,0
Canada,CAN,1997,0
Canada,CAN,1998,300006
Canada,CAN,1999,2492807
Canada,CAN,2000,2533750
Canada,CAN,2001,3685173
Canada,CAN,2002,4975021
Canada,CAN,2003,10755654
Canada,CAN,2004,12618080
Canada,CAN,2005,12314000
Canada,CAN,2006,13233813
Canada,CAN,2007,17007850
Canada,CAN,2008,14802699
Canada,CAN,2009,10946098
Canada,CAN,2010,11773000
Canada,CAN,2011,10795000
Canada,CAN,2012,10529215
Canada,CAN,2013,10561600
Canada,CAN,2014,12082000
Canada,CAN,2015,11600000
Central African Republic,CAF,1970,482447
Central African Republic,CAF,1971,468138
Central African Republic,CAF,1972,524102
Central African Republic,CAF,1973,380100
Central African Republic,CAF,1974,337800
Central African Republic,CAF,1975,338894
Central African Republic,CAF,1976,286007
Central African Republic,CAF,1977,296908
Central African Republic,CAF,1978,284246
Central African Republic,CAF,1979,314067
Central African Republic,CAF,1980,342000
Central African Republic,CAF,1981,311903
Central African Republic,CAF,1982,276573
Central African Republic,CAF,1983,295357
Central African Republic,CAF,1984,337150
Central African Republic,CAF,1985,353481
Central African Republic,CAF,1986,356707
Central African Republic,CAF,1987,413087
Central African Republic,CAF,1988,359752
Central African Republic,CAF,1989,447676
Central African Republic,CAF,1990,418667
Central African Republic,CAF,1991,429734
Central African Republic,CAF,1992,414277
Central African Republic,CAF,1993,494922
Central African Republic,CAF,1994,531926
Central African Republic,CAF,1995,477698
Central African Republic,CAF,1996,487360
Central African Republic,CAF,1997,486787
Central African Republic,CAF,1998,419967
Central African Republic,CAF,1999,430126
Central African Republic,CAF,2000,461004
Central African Republic,CAF,2001,550000
Central African Republic,CAF,2002,414767
Central African Republic,CAF,2003,331543
Central African Republic,CAF,2004,354703
Central African Republic,CAF,2005,382756
Central African Republic,CAF,2006,419528
Central African Republic,CAF,2007,467711
Central African Republic,CAF,2008,372754
Central African Republic,CAF,2009,310469
Central African Republic,CAF,2010,301558
Central African Republic,CAF,2011,323576
Central African Republic,CAF,2012,365917
China,CHN,1980,900000
China,CHN,1981,950000
China,CHN,1982,1000000
China,CHN,1983,1000000
China,CHN,1984,1000000
China,CHN,1985,1000000
China,CHN,1986,1000000
China,CHN,1987,1000000
China,CHN,1988,1000000
China,CHN,1989,1000000
China,CHN,1990,1000000
China,CHN,1991,1000000
China,CHN,1992,115255
China,CHN,1993,118300
China,CHN,1994,141940
China,CHN,1995,365085
China,CHN,1996,118380
China,CHN,1997,120385
China,CHN,1998,112825
China,CHN,1999,113065
China,CHN,2000,160000
China,CHN,2001,1185000
China,CHN,2002,1190000
China,CHN,2003,1190000
China,CHN,2004,1060000
China,CHN,2005,1060000
China,CHN,2006,1065000
China,CHN,2007,1070000
China,CHN,2008,69480
China,CHN,2009,45932
China,CHN,2010,17227
China,CHN,2011,201
China,CHN,2012,1855
China,CHN,2013,1050
China,CHN,2014,0
China,CHN,2015,0
Congo,COG,2007,22000
Congo,COG,2008,110000
Congo,COG,2009,68000
Congo,COG,2010,381242
Congo,COG,2011,76548
Congo,COG,2012,51588
Congo,COG,2013,56495
Congo,COG,2014,53163
Congo,COG,2015,40057
Cote d'Ivoire,CIV,1970,212808
