Entity,Code,Year,Females (all ages) (%),Males (all ages) (%),Males (aged 25-49) (%),Males (aged 20-24) (%),Females (aged 20-24) (%),Females (aged 15-19) (%),Females (aged 25-49) (%),Males (aged 15-19) (%),Total (all ages) (%)
Afghanistan,AFG,2016,56.7,64.1,64.3,63,55.6,56.6,57.1,57.7,60.2
Albania,ALB,2016,64.7,62.4,64.2,52.8,54.9,53.3,70,63.2,64.1
Angola,AGO,2016,53,50,,41,49,52,,54,51
Armenia,ARM,2016,72,76.5,76.4,75.7,69.3,71.7,72.7,79,73
Bangladesh,BGD,2016,34.6,,,,33,25.7,38.8,,
Barbados,BRB,2016,20.7,,,,27.3,30.7,18,,
Belize,BLZ,2016,32,,,,33.8,39.1,29.2,,30.8
Benin,BEN,2016,56.2,52.8,53.3,51,54.5,54,57.2,52.8,55.4
Bhutan,BTN,2016,30.5,,,,24.9,28.9,32.4,,
Bolivia,BOL,2016,43.5,48.5,51,38,37,43.2,45.4,49.2,44.7
Bosnia and Herzegovina,BIH,2016,56.9,57.2,58.4,51.8,52.4,49,59.6,58.1,57.1
Botswana,BWA,2016,10.8,16.1,12.2,23.1,14.1,18.1,9.2,23.6,13.2
Burkina Faso,BFA,2016,64.4,56.8,55.3,52.1,62.1,66.6,64.4,64.7,62.3
Burundi,BDI,2016,29.7,15,11.9,9.5,28.4,37.8,26.5,26.2,25.5
Cambodia,KHM,2016,20,17.3,15.4,15.7,17.3,27.6,18.9,26.2,19.4
Cameroon,CMR,2016,40.3,40.8,39.6,37,34.9,43,41.2,46.6,40.5
Central African Republic,CAF,2016,33.7,30.2,28.9,32,34.1,36.3,32.7,32.9,32.6
Chad,TCD,2016,44.3,,,,45.2,43.4,44.4,,
Colombia,COL,2016,44.7,,,,44,51.8,42.9,,
Comoros,COM,2016,58.1,49.7,49.2,41.2,56.2,61.2,57.5,56,55.8
Congo,COG,2016,36.6,32.6,29.8,31,34.9,43.9,34.7,42.4,35.4
Costa Rica,CRI,2016,27.2,,,,28.3,36.4,24.7,,
Cote d'Ivoire,CIV,2016,45.2,42.9,42.4,42.2,41.9,47,45.7,45.1,44.5
Cuba,CUB,2016,15.9,17.5,16.9,14.7,12.2,19.7,15.9,23.5,16.4
Democratic Republic of Congo,COD,2016,52.2,42,40.1,39.1,51.2,54.4,51.8,49.8,49.2
Dominican Republic,DOM,2016,45.4,53.4,51.5,51.5,44.1,56.2,42.5,61.2,49.3
Egypt,EGY,2016,78.8,,,,79,75.8,78.9,,
Ethiopia,ETH,2016,66,52.2,54.6,47,59.5,60.2,70.4,50.2,59.9
Gabon,GAB,2016,25,25.6,24.4,23.8,23.1,30.9,23.6,31.1,25.3
Gambia,GMB,2016,52.8,45.7,39.6,48,50.9,59.4,50.8,57.9,51
Ghana,GHA,2016,69.3,63.8,61,63.5,64.6,73.6,69.5,72,67.7
Guatemala,GTM,2016,59.5,63,,,,,,,60.6
Guinea,GIN,2016,83.7,70,71.3,61.6,80.8,84.4,84.4,73.4,80.1
Haiti,HTI,2016,60.2,53.6,49.4,53.1,57.2,65.8,58.9,63.4,57.7
Honduras,HND,2016,44.4,46.7,45.5,43.3,42.1,51,42.8,52.8,44.9
Indonesia,IDN,2016,63.2,61.1,60.6,70.5,63.5,69.5,61.6,75,62.8
Iraq,IRQ,2016,79.3,,,,77.4,77.4,80.5,,
Jamaica,JAM,2016,69.3,72.9,,,,,,,71
