Entity,Code,Year,Median (%),83rd percentile (%),17th percentile (%),2.5th percentile (%),97.5th percentile (%)
Afghanistan,AFG,15,0.028581322,0.245645898,-0.107122489,-0.431044965,0.643088817
Albania,ALB,15,0.001047848,0.139769727,-0.14213596,-0.433203872,0.423185268
Algeria,DZA,15,-0.222447233,-0.026671517,-0.56462435,-1.074974458,0.154144567
Angola,AGO,15,-0.462597637,-0.243947355,-0.748105885,-1.144182862,-0.047641523
Argentina,ARG,15,-0.102534499,0.036091501,-0.356877157,-0.767839346,0.260240002
Armenia,ARM,15,0.430934923,1.065316891,0.020064558,-0.418947128,1.966294341
Australia,AUS,15,-0.072360427,0.006888443,-0.234902438,-0.49373714,0.117086003
Austria,AUT,15,0.350981366,1.018268071,-0.116012857,-0.733349502,1.992372515
Azerbaijan,AZE,15,0.029832828,0.254569258,-0.096902138,-0.414406313,0.685633032
Bahamas,BHS,15,-0.569194117,-0.190716918,-0.966700961,-1.569853379,0.165963092
Bangladesh,BGD,15,-1.049305828,-0.554787223,-1.671987316,-2.47771968,-0.089373693
Belarus,BLR,15,0.472341483,1.454405007,-0.229829012,-1.213266653,2.827750272
Belgium,BEL,15,0.16351631,0.61084398,-0.066975958,-0.449155869,1.332963949
Belize,BLZ,15,-0.713223348,-0.349124119,-1.146420947,-1.68026403,-0.000393445
Benin,BEN,15,-0.786638786,-0.386710249,-1.257773681,-1.86284202,0.044637121
Bhutan,BTN,15,0.052490959,0.251196373,-0.105889396,-0.381656719,0.555822184
Bolivia,BOL,15,-0.199967522,-0.036585965,-0.452002383,-0.822261575,0.093547902
Bosnia and Herzegovina,BIH,15,0.215391458,0.717372249,-0.074966501,-0.555838699,1.495392822
Botswana,BWA,15,-0.312062856,0.018195822,-0.756914354,-1.402190524,0.471372564
Brazil,BRA,15,-0.52364841,-0.130016022,-1.043727732,-1.7261876,0.322649084
Brunei,BRN,15,-0.652151952,-0.236850106,-1.121792103,-1.663116699,0.105926204
Bulgaria,BGR,15,0.160971662,0.597250925,-0.069553463,-0.47032386,1.265394598
Burkina Faso,BFA,15,-0.885156487,-0.315067952,-1.60890876,-2.559922899,0.299038493
Burundi,BDI,15,-0.330679244,-0.110596282,-0.629976321,-1.032809917,0.073528023
Cambodia,KHM,15,-0.939077211,-0.313436906,-1.683883393,-2.689794304,0.487832618
Cameroon,CMR,15,-0.660017394,-0.3739998,-1.022933791,-1.498416675,-0.132818276
Canada,CAN,15,0.710010239,1.388689599,0.209253983,-0.324881559,2.261178241
Cape Verde,CPV,15,-0.409498501,-0.074315503,-0.836984337,-1.563453229,0.423356691
Central African Republic,CAF,15,-0.657237752,-0.308962588,-1.076909446,-1.619581679,0.07659301
Chad,TCD,15,-0.97316974,-0.301520706,-1.746133721,-2.721277685,0.392410994
Chile,CHL,15,0.146263126,0.432560751,-0.012113788,-0.210935326,0.830685632
China,CHN,15,-0.02884882,0.128163463,-0.239493427,-0.561258798,0.404638485
