Entity,Code,Year,Weather-related disaster losses (Munich Re) (% of global GDP),Weather-related disaster losses (Aon Benfield) (% of global GDP),Total disaster losses (Munich Re) (% of global GDP),Total disaster losses (Aon Benfield) (% of global GDP)
World,OWID_WRL,1990,0.22,,0.24,
World,OWID_WRL,1991,0.25,,0.27,
World,OWID_WRL,1992,0.29,,0.31,
World,OWID_WRL,1993,0.35,,0.36,
World,OWID_WRL,1994,0.2,,0.37,
World,OWID_WRL,1995,0.23,,0.45,
World,OWID_WRL,1996,0.26,,0.26,
World,OWID_WRL,1997,0.15,,0.18,
World,OWID_WRL,1998,0.38,,0.38,
World,OWID_WRL,1999,0.28,,0.41,
World,OWID_WRL,2000,0.14,0.18,0.15,0.18
World,OWID_WRL,2001,0.1,0.13,0.13,0.15
World,OWID_WRL,2002,0.26,0.23,0.26,0.24
World,OWID_WRL,2003,0.18,0.19,0.2,0.22
World,OWID_WRL,2004,0.27,0.25,0.36,0.34
World,OWID_WRL,2005,0.48,0.5,0.5,0.51
World,OWID_WRL,2006,0.12,0.12,0.13,0.13
World,OWID_WRL,2007,0.15,0.15,0.18,0.16
World,OWID_WRL,2008,0.21,0.21,0.37,0.36
World,OWID_WRL,2009,0.11,0.11,0.12,0.14
World,OWID_WRL,2010,0.18,0.18,0.25,0.37
World,OWID_WRL,2011,0.22,0.22,0.49,0.6
World,OWID_WRL,2012,0.2,0.2,0.23,0.28
World,OWID_WRL,2013,0.16,0.16,0.18,0.26
World,OWID_WRL,2014,0.12,0.12,0.13,0.17
World,OWID_WRL,2015,0.11,0.11,0.14,0.17
World,OWID_WRL,2016,0.18,0.18,0.24,0.3
World,OWID_WRL,2017,0.4,0.4,0.43,0.45
