Entity,Code,Year,Coal (terrawatt-hours),Oil (terrawatt-hours),Natural gas (terrawatt-hours),Nuclear (terrawatt-hours),Natural flow hydropower (terrawatt-hours),Wind and solar (terrawatt-hours),Other fuels (terrawatt-hours)
United Kingdom,GBR,1920,42.682100000000005,0.23260000000000003,,,0,,
United Kingdom,GBR,1921,36.053000000000004,1.0467,,,0,,
United Kingdom,GBR,1922,36.8671,0.46520000000000006,,,0,,
United Kingdom,GBR,1923,41.5191,0.5815,,,0,,
United Kingdom,GBR,1924,44.7755,0.5815,,,0,,
United Kingdom,GBR,1925,46.985200000000006,0.46520000000000006,,,0,,
United Kingdom,GBR,1926,47.1015,1.163,,,0,,
United Kingdom,GBR,1927,53.498,0.3489,,,0,,
United Kingdom,GBR,1928,55.24250000000001,0.3489,,,0.11630000000000001,,
United Kingdom,GBR,1929,59.6619,0.3489,,,0.11630000000000001,,
United Kingdom,GBR,1930,65.0117,0.3489,,,0.3489,,1.6078476163000002
United Kingdom,GBR,1931,64.54650000000001,0.3489,,,0.46520000000000006,,1.6383281018
United Kingdom,GBR,1932,65.94210000000001,0.46520000000000006,,,0.3489,,1.9202730288
United Kingdom,GBR,1933,69.3148,0.3489,,,0.3489,,1.7831106696
United Kingdom,GBR,1934,75.01350000000001,0.23260000000000003,,,0.46520000000000006,,1.546886529
United Kingdom,GBR,1935,82.2241,0.23260000000000003,,,0.5815,,1.3335228979000002
United Kingdom,GBR,1936,91.41180000000001,0.23260000000000003,,,0.6978,,1.2801820192
United Kingdom,GBR,1937,99.2039,0.23260000000000003,,,0.6978,,1.6230879172000001
United Kingdom,GBR,1938,100.25059999999999,0.23260000000000003,,,0.9304000000000001,,1.3944839852000002
United Kingdom,GBR,1939,106.996,0.23260000000000003,,,0.9304000000000001,,1.7907307619
United Kingdom,GBR,1940,121.64980000000001,0.3489,,,0.8141000000000002,,1.9659938152000003
United Kingdom,GBR,1941,137.234,0.23260000000000003,,,0.8141000000000002,,2.0955359658
United Kingdom,GBR,1942,149.6781,0.23260000000000003,,,1.0467,,2.4384418638
United Kingdom,GBR,1943,151.77150000000003,0.11630000000000001,,,1.2793,,2.4232016792
United Kingdom,GBR,1944,161.657,0.23260000000000003,,,1.163,,2.5679841307
United Kingdom,GBR,1945,157.81910000000002,0.23260000000000003,,,1.163,,2.5146432520000004
United Kingdom,GBR,1946,175.9619,0.3489,,,1.163,,2.8804094269
United Kingdom,GBR,1947,181.66060000000002,0.8141000000000002,,,1.163,,1.7069092814
United Kingdom,GBR,1948,192.8254,0.8141000000000002,,,0.9304000000000001,,3.2004549317
United Kingdom,GBR,1949,200.73380000000003,1.0467,,,0.6978,,5.8675008438
United Kingdom,GBR,1950,213.06160000000003,0.8141000000000002,,,1.0467,,6.698095091300001
United Kingdom,GBR,1951,229.5762,0.9304000000000001,,,1.7445000000000002,,5.837020242000001
United Kingdom,GBR,1952,231.437,0.8141000000000002,,,1.8608000000000002,,6.393289887400001
United Kingdom,GBR,1953,239.1128,1.163,,,1.8608000000000002,,6.8733580283
United Kingdom,GBR,1954,259.34900000000005,2.0934,,,2.326,,8.4278647659
United Kingdom,GBR,1955,281.446,2.5586,,,1.7445000000000002,,7.810634149500001
United Kingdom,GBR,1956,300.8681,4.4194,,0.23260000000000003,2.326,,6.8733580283
