Entity,Code,Year,Carbon Monoxide (CO) ((1990 = 100)),Nitrogen oxides (NOx) ((1990 = 100)),PM₁₀ (Index) ((1990 = 100)),PM₂.₅ (Index) ((1990 = 100)),Sulphur oxides (SO₂) ((1990 = 100))
Australia,AUS,1990,100,100,,,100
Australia,AUS,1991,100.33,98.48,,,102.74
Australia,AUS,1992,102.93,101.31,,,109.76
Australia,AUS,1993,106.87,103.97,,,112.97
Australia,AUS,1994,109.33,104.08,,,116.97
Australia,AUS,1995,106.62,104.49,,,109.12
Australia,AUS,1996,109.66,107.67,,,112.99
Australia,AUS,1997,109.93,110.96,,,116.21
Australia,AUS,1998,103.83,113.26,,,112.38
Australia,AUS,1999,100.53,115.11,,,117.8
Australia,AUS,2000,94.78,115.82,,,151.73
Australia,AUS,2001,90.46,121.16,,,163.13
Australia,AUS,2002,85.25,125.58,,,173.74
Australia,AUS,2003,77.26,130.49,,,173.24
Australia,AUS,2004,78.52,133.67,,,157
Australia,AUS,2005,68.94,135.24,,,162.05
Australia,AUS,2006,66.01,135.26,,,155.14
Australia,AUS,2007,58.08,136.87,,,157.18
Australia,AUS,2008,56.06,140.04,,,168.46
Australia,AUS,2009,54.97,138.68,,,167.16
Australia,AUS,2010,52.02,146.32,,,153.02
Australia,AUS,2011,51.13,140.73,,,151.43
Australia,AUS,2012,50.65,150.18,,,150.47
Australia,AUS,2013,48.98,155.31,,,148.32
Australia,AUS,2014,47.5,155.69,,,146.84
Australia,AUS,2015,46.66,157.22,,,145.46
Austria,AUT,1990,100,100,100,100,100
Austria,AUT,1991,99.96,103.86,,,96
Austria,AUT,1992,94.53,97.75,,,74
Austria,AUT,1993,89.41,93.3,,,71.82
Austria,AUT,1994,84.32,90.64,,,64.22
Austria,AUT,1995,76.72,90.38,98.3,96.43,63.69
Austria,AUT,1996,77.15,98.28,,,60.06
Austria,AUT,1997,71.75,93.02,,,53.78
Austria,AUT,1998,68.77,98.53,,,47.55
Austria,AUT,1999,60.85,94.67,,,44.99
Austria,AUT,2000,60.97,97.1,96.92,93.26,42.26
Austria,AUT,2001,59.22,101.57,96.71,93.83,43.43
Austria,AUT,2002,56.68,104.08,93.94,90.5,42.32
Austria,AUT,2003,57.04,107.9,93.68,90.16,42.39
Austria,AUT,2004,55.55,106.48,93.33,88.35,36.2
Austria,AUT,2005,53.34,107.37,92.26,87.16,34.69
Austria,AUT,2006,51.69,100.9,89.15,83.84,35.62
Austria,AUT,2007,48.69,96.02,86.85,80.61,30.96
Austria,AUT,2008,46.84,88.81,86.95,78.74,27.49
Austria,AUT,2009,44.18,81.47,82.46,73.95,20.16
Austria,AUT,2010,45.17,81.54,83.28,75.16,22.28
Austria,AUT,2011,43.75,77.1,81.64,71.81,20.75
Austria,AUT,2012,43.78,73.97,80.44,70.4,20.08
Austria,AUT,2013,45.37,73.88,81.21,71.35,19.91
Austria,AUT,2014,41.69,68.78,76.66,64.27,19.69
Austria,AUT,2015,43.92,67,77.66,65.66,19.86
Belgium,BEL,1990,100,100,,,100
Belgium,BEL,1991,97.12,97.39,,,100.67
Belgium,BEL,1992,95.15,94.71,,,98.26
Belgium,BEL,1993,89.02,93.28,,,91.24
Belgium,BEL,1994,80.95,93.26,,,79.52
Belgium,BEL,1995,79.91,92.91,,,70.57
Belgium,BEL,1996,78.18,90.3,,,67.92
Belgium,BEL,1997,71.14,87.44,,,61.54
Belgium,BEL,1998,68.13,88.35,,,58.3
Belgium,BEL,1999,62.71,82.21,,,47.4
Belgium,BEL,2000,66.76,83.32,,,47.25
Belgium,BEL,2001,63.47,80.97,,,45.49
Belgium,BEL,2002,62.62,78.08,,,42.81
Belgium,BEL,2003,60.55,77.69,,,41.6
Belgium,BEL,2004,57.79,80.43,,,42.31
Belgium,BEL,2005,54.5,76.86,,,38.8
Belgium,BEL,2006,50.8,73.47,,,36.35
Belgium,BEL,2007,47.67,71.07,,,33.64
Belgium,BEL,2008,47.55,64.46,,,25.99
Belgium,BEL,2009,31.47,57.88,,,20.01
Belgium,BEL,2010,36.78,58.9,,,16.22
Belgium,BEL,2011,29.28,54.7,,,14.29
Belgium,BEL,2012,25.91,51.37,,,12.8
Belgium,BEL,2013,38.73,49.35,,,12.09
Belgium,BEL,2014,24.45,47.74,,,11.53
Belgium,BEL,2015,28.04,46.94,,,11.63
Canada,CAN,1990,100,100,100,100,100
Canada,CAN,1991,97.54,95.56,98.32,97.82,92.8
Canada,CAN,1992,96.77,98.46,96.26,94.74,88.94
Canada,CAN,1993,98.91,100.23,95.86,95.03,86.3
Canada,CAN,1994,96.72,104.92,99.81,97.33,79.41
Canada,CAN,1995,93.95,107.34,94.29,92.99,83.6
Canada,CAN,1996,91.84,110.35,95.18,92.53,83.9
Canada,CAN,1997,90.01,116.88,100.34,94.31,82.51
Canada,CAN,1998,90.98,119.02,91.04,87.33,81.18
Canada,CAN,1999,89.29,121.55,93.07,87.38,78.16
Canada,CAN,2000,87.34,119.93,91.91,85.48,78.36
Canada,CAN,2001,80.67,114.23,91.95,83.19,77.79
Canada,CAN,2002,79.63,112.05,89.06,80.55,76.09
Canada,CAN,2003,77.19,110.87,88.8,79.09,74.57
Canada,CAN,2004,72.48,104.98,87.98,76.86,73.68
Canada,CAN,2005,64.7,101.49,88.13,75.99,71.44
Canada,CAN,2006,60.72,96.81,90.54,75.95,64.94
Canada,CAN,2007,58.29,96,95.78,78.77,63.09
Canada,CAN,2008,56.88,92.68,100.95,82.13,57
Canada,CAN,2009,53.81,86.21,92.48,75.32,48.21
Canada,CAN,2010,52.87,87.93,99,79.61,44.72
Canada,CAN,2011,49.72,85.79,101.79,81.03,41.99
Canada,CAN,2012,48.09,81.71,107.92,84.89,41.47
Canada,CAN,2013,47.1,80.28,107.23,83.89,41.02
Canada,CAN,2014,46.93,79.68,106.99,83.68,39.41
Canada,CAN,2015,46,78.27,106.34,82.42,34.39
Czech Republic,CZE,1990,100,100,,,100
Czech Republic,CZE,1991,109.23,98,,,94.47
Czech Republic,CZE,1992,109.6,94.73,,,83.08
Czech Republic,CZE,1993,112.19,92.63,,,78.36
Czech Republic,CZE,1994,100.5,59.7,,,68.67
Czech Republic,CZE,1995,86.77,56.67,,,58.27
Czech Republic,CZE,1996,88.87,59.17,,,49.77
Czech Republic,CZE,1997,90.06,62.41,,,52.25
Czech Republic,CZE,1998,73.74,55.19,,,23.43
Czech Republic,CZE,1999,66.16,50.72,,,14.13
Czech Republic,CZE,2000,68.74,39.29,,,12.14
Czech Republic,CZE,2001,71.17,40.46,,,11.96
Czech Republic,CZE,2002,68.22,38.85,,,11.74
Czech Republic,CZE,2003,68.22,38.85,,,11.74
Czech Republic,CZE,2004,68.24,38.63,,,11.31
Czech Republic,CZE,2005,62.56,37.49,,,11.1
Czech Republic,CZE,2006,62.22,36.65,,,10.88
Czech Republic,CZE,2007,62.81,36.25,,,11.17
Czech Republic,CZE,2008,57.07,33.65,,,9.03
Czech Republic,CZE,2009,52.96,31.02,,,8.87
Czech Republic,CZE,2010,55.88,29.68,,,8.57
Czech Republic,CZE,2011,50.77,27.86,,,8.58
Czech Republic,CZE,2012,50.71,26.04,,,8.29
Czech Republic,CZE,2013,51.4,24.15,,,7.43
