Entity,Code,Year,Female genital mutilation prevalence (%) (%)
Benin,BEN,2001,16.8
Benin,BEN,2006,12.9
Benin,BEN,2012,7.3
Benin,BEN,2014,9.2
Burkina Faso,BFA,1999,71.6
Burkina Faso,BFA,2003,76.6
Burkina Faso,BFA,2006,72.5
Burkina Faso,BFA,2010,75.8
Cameroon,CMR,2004,1.4
Central African Republic,CAF,1995,43.4
Central African Republic,CAF,2010,24.2
Chad,TCD,2004,44.9
Chad,TCD,2010,44.3
Chad,TCD,2015,38.4
Cote d'Ivoire,CIV,1999,44.5
Cote d'Ivoire,CIV,2005,41.7
Cote d'Ivoire,CIV,2012,38.2
Djibouti,DJI,2006,93.1
Egypt,EGY,1995,97
Egypt,EGY,2000,97.3
Egypt,EGY,2003,97
Egypt,EGY,2005,95.8
Egypt,EGY,2008,95.5
Egypt,EGY,2014,92.3
Egypt,EGY,2015,87.2
Eritrea,ERI,1995,94.5
Eritrea,ERI,2002,88.7
Eritrea,ERI,2010,83
Ethiopia,ETH,2000,79.9
Ethiopia,ETH,2005,74.3
Ethiopia,ETH,2016,65.2
Gambia,GMB,2006,78.3
Gambia,GMB,2010,76.4
Gambia,GMB,2013,74.9
Ghana,GHA,2003,5.4
Ghana,GHA,2011,3.8
Guinea,GIN,1999,98.6
Guinea,GIN,2005,95.6
Guinea,GIN,2012,96.9
Guinea-Bissau,GNB,2006,44.5
Guinea-Bissau,GNB,2010,49.8
Guinea-Bissau,GNB,2014,44.9
Iraq,IRQ,2011,8.1
Kenya,KEN,1998,37.6
Kenya,KEN,2003,32.2
Kenya,KEN,2009,27.1
Kenya,KEN,2014,21
Mali,MLI,1996,93.7
Mali,MLI,2001,91.6
Mali,MLI,2006,85.2
Mali,MLI,2010,88.5
Mali,MLI,2013,91.4
Mauritania,MRT,2001,71.3
Mauritania,MRT,2007,72.2
Mauritania,MRT,2011,69.4
Niger,NER,1998,4.5
Niger,NER,2006,2.2
Niger,NER,2012,2
Nigeria,NGA,2003,19
Nigeria,NGA,2008,29.6
Nigeria,NGA,2011,27
Nigeria,NGA,2013,24.8
Senegal,SEN,2005,28.2
Senegal,SEN,2011,25.7
Senegal,SEN,2014,24.7
Senegal,SEN,2015,24.2
Senegal,SEN,2016,22.7
Sierra Leone,SLE,2005,94
Sierra Leone,SLE,2008,91.3
Sierra Leone,SLE,2010,88.3
Sierra Leone,SLE,2013,89.6
Somalia,SOM,2006,97.9
Sudan,SDN,1990,89.2
Sudan,SDN,2014,86.6
Tanzania,TZA,1996,17.9
Tanzania,TZA,2005,14.6
Tanzania,TZA,2010,14.6
Tanzania,TZA,2016,10
Togo,TGO,2006,5.8
Togo,TGO,2010,3.9
Togo,TGO,2014,4.7
Uganda,UGA,2006,0.6
Uganda,UGA,2011,1.4
Yemen,YEM,1997,22.6
Yemen,YEM,2013,18.5
