Entity,Code,Year,"Fish species, threatened"
Afghanistan,AFG,2017,5
Albania,ALB,2017,44
Algeria,DZA,2017,40
American Samoa,ASM,2017,12
Andorra,AND,2017,0
Angola,AGO,2017,52
Antigua and Barbuda,ATG,2017,30
Arab World,,2017,644
Argentina,ARG,2017,41
Armenia,ARM,2017,3
Aruba,ABW,2017,23
Australia,AUS,2017,123
Austria,AUT,2017,11
Azerbaijan,AZE,2017,12
Bahamas,BHS,2017,45
Bahrain,BHR,2017,13
Bangladesh,BGD,2017,29
Barbados,BRB,2017,30
Belarus,BLR,2017,2
Belgium,BEL,2017,13
Belize,BLZ,2017,44
Benin,BEN,2017,39
Bermuda,BMU,2017,26
Bhutan,BTN,2017,3
Bolivia,BOL,2017,8
Bosnia and Herzegovina,BIH,2017,35
Botswana,BWA,2017,2
Brazil,BRA,2017,90
British Virgin Islands,VGB,2017,29
Brunei,BRN,2017,14
Bulgaria,BGR,2017,22
Burkina Faso,BFA,2017,4
Burundi,BDI,2017,17
Cambodia,KHM,2017,49
Cameroon,CMR,2017,121
Canada,CAN,2017,43
Cape Verde,CPV,2017,35
Caribbean small states,,2017,429
Cayman Islands,CYM,2017,32
Central African Republic,CAF,2017,3
Central Europe and the Baltics,,2017,182
Chad,TCD,2017,1
Chile,CHL,2017,25
China,CHN,2017,134
Colombia,COL,2017,98
Comoros,COM,2017,10
Congo,COG,2017,57
Costa Rica,CRI,2017,62
Cote d'Ivoire,CIV,2017,58
Croatia,HRV,2017,64
Cuba,CUB,2017,45
Curacao,CUW,2017,28
Cyprus,CYP,2017,24
Czech Republic,CZE,2017,2
Democratic Republic of Congo,COD,2017,94
Denmark,DNK,2017,18
Djibouti,DJI,2017,20
Dominica,DMA,2017,30
Dominican Republic,DOM,2017,30
Early-demographic dividend,,2017,2561
East Asia & Pacific,,2017,1618
East Asia & Pacific (IDA & IBRD),,2017,1095
East Asia & Pacific (excluding high income),,2017,1103
Ecuador,ECU,2017,61
Egypt,EGY,2017,54
El Salvador,SLV,2017,16
Equatorial Guinea,GNQ,2017,44
Eritrea,ERI,2017,26
Estonia,EST,2017,5
Ethiopia,ETH,2017,14
Euro area,,2017,525
Europe & Central Asia,,2017,1223
Europe & Central Asia (IDA & IBRD),,2017,525
Europe & Central Asia (excluding high income),,2017,453
European Union,,2017,732
Faeroe Islands,FRO,2017,12
Fiji,FJI,2017,19
Finland,FIN,2017,6
Fragile and conflict affected situations,,2017,1018
France,FRA,2017,52
French Polynesia,PYF,2017,29
Gabon,GAB,2017,72
Gambia,GMB,2017,35
Georgia,GEO,2017,11
Germany,DEU,2017,24
Ghana,GHA,2017,57
Gibraltar,GIB,2017,18
Greece,GRC,2017,80
Greenland,GRL,2017,9
Grenada,GRD,2017,29
Guam,GUM,2017,14
Guatemala,GTM,2017,37
Guinea,GIN,2017,76
Guinea-Bissau,GNB,2017,41
Guyana,GUY,2017,32
Haiti,HTI,2017,30
Heavily indebted poor countries (HIPC),,2017,1695
High income,,2017,2426
Honduras,HND,2017,43
Hong Kong,HKG,2017,15
Hungary,HUN,2017,9
IBRD only,,2017,3246
IDA & IBRD total,,2017,5854
IDA blend,,2017,614
IDA only,,2017,1994
IDA total,,2017,2608
Iceland,ISL,2017,16
India,IND,2017,228
Indonesia,IDN,2017,163
Iran,IRN,2017,46
Iraq,IRQ,2017,18
Ireland,IRL,2017,27
Isle of Man,IMN,2017,2
Israel,ISR,2017,45
Italy,ITA,2017,51
Jamaica,JAM,2017,31
Japan,JPN,2017,77
Jordan,JOR,2017,15
Kazakhstan,KAZ,2017,14
Kenya,KEN,2017,73
Kiribati,KIR,2017,14
Kuwait,KWT,2017,17
Kyrgyzstan,KGZ,2017,3
Laos,LAO,2017,55
Late-demographic dividend,,2017,1764
Latin America & Caribbean,,2017,1685
Latin America & Caribbean (IDA & IBRD),,2017,1307
Latin America & Caribbean (excluding high income),,2017,1093
Latvia,LVA,2017,6
Least developed countries: UN classification,,2017,1670
Lebanon,LBN,2017,28
Lesotho,LSO,2017,1
Liberia,LBR,2017,64
Libya,LBY,2017,32
Liechtenstein,LIE,2017,0
Lithuania,LTU,2017,6
Low & middle income,,2017,5555
Low income,,2017,1286
Lower middle income,,2017,1989
Luxembourg,LUX,2017,1
Macao,MAC,2017,5
Macedonia,MKD,2017,13
Madagascar,MDG,2017,110
Malawi,MWI,2017,98
Malaysia,MYS,2017,87
Maldives,MDV,2017,24
Mali,MLI,2017,2
Malta,MLT,2017,22
Marshall Islands,MHL,2017,18
Mauritania,MRT,2017,44
Mauritius,MUS,2017,20
Mexico,MEX,2017,181
Micronesia (country),FSM,2017,26
Middle East & North Africa,,2017,644
Middle East & North Africa (IDA & IBRD),,2017,436
Middle East & North Africa (excluding high income),,2017,438
Middle income,,2017,4269
Moldova,MDA,2017,8
Monaco,MCO,2017,15
Mongolia,MNG,2017,2
Montenegro,MNE,2017,32
Morocco,MAR,2017,55
Mozambique,MOZ,2017,67
Myanmar,MMR,2017,53
Namibia,NAM,2017,33
Nauru,NRU,2017,11
Nepal,NPL,2017,7
Netherlands,NLD,2017,15
New Caledonia,NCL,2017,37
New Zealand,NZL,2017,35
Nicaragua,NIC,2017,38
Niger,NER,2017,4
Nigeria,NGA,2017,72
North America,,2017,320
North Korea,PRK,2017,18
Northern Mariana Islands,MNP,2017,15
Norway,NOR,2017,23
OECD members,,2017,1558
Oman,OMN,2017,36
Other small states,,2017,545
Pacific island small states,,2017,199
Pakistan,PAK,2017,45
Palau,PLW,2017,22
Palestine,PSE,2017,2
Panama,PAN,2017,55
Papua New Guinea,PNG,2017,60
Paraguay,PRY,2017,0
Peru,PER,2017,51
Philippines,PHL,2017,93
Poland,POL,2017,8
Portugal,PRT,2017,64
Post-demographic dividend,,2017,1438
Pre-demographic dividend,,2017,1711
Puerto Rico,PRI,2017,31
Qatar,QAT,2017,16
Romania,ROU,2017,22
Russia,RUS,2017,39
Rwanda,RWA,2017,7
Saint Kitts and Nevis,KNA,2017,29
Saint Lucia,LCA,2017,31
Saint Martin (French part),MAF,2017,29
Saint Vincent and the Grenadines,VCT,2017,30
Samoa,WSM,2017,16
San Marino,SMR,2017,0
Sao Tome and Principe,STP,2017,25
Saudi Arabia,SAU,2017,38
Senegal,SEN,2017,56
Serbia,SRB,2017,15
Seychelles,SYC,2017,23
Sierra Leone,SLE,2017,57
Singapore,SGP,2017,29
Sint Maarten (Dutch part),SXM,2017,29
Slovakia,SVK,2017,5
Slovenia,SVN,2017,33
Small states,,2017,1173
Solomon Islands,SLB,2017,25
Somalia,SOM,2017,31
South Africa,ZAF,2017,120
South Asia,,2017,398
South Asia (IDA & IBRD),,2017,398
South Korea,KOR,2017,27
South Sudan,SSD,2017,0
Spain,ESP,2017,80
Sri Lanka,LKA,2017,57
Sub-Saharan Africa,,2017,2093
Sub-Saharan Africa (IDA & IBRD),,2017,2093
Sub-Saharan Africa (excluding high income),,2017,2070
Sudan,SDN,2017,28
Suriname,SUR,2017,32
Swaziland,SWZ,2017,4
Sweden,SWE,2017,15
Switzerland,CHE,2017,9
Syrian Arab Republic,,2017,51
Tajikistan,TJK,2017,5
Tanzania,TZA,2017,176
Thailand,THA,2017,107
Timor,TLS,2017,11
Togo,TGO,2017,37
Tonga,TON,2017,16
Trinidad and Tobago,TTO,2017,36
Tunisia,TUN,2017,39
Turkey,TUR,2017,131
Turkmenistan,TKM,2017,11
Turks and Caicos Islands,TCA,2017,30
Tuvalu,TUV,2017,13
Uganda,UGA,2017,60
Ukraine,UKR,2017,24
United Arab Emirates,ARE,2017,19
United Kingdom,GBR,2017,47
United States,USA,2017,251
United States Virgin Islands,VIR,2017,27
Upper middle income,,2017,2280
Uruguay,URY,2017,43
Uzbekistan,UZB,2017,7
Vanuatu,VUT,2017,19
Venezuela,VEN,2017,44
Vietnam,VNM,2017,82
World,OWID_WRL,2017,8233
Yemen,YEM,2017,38
Zambia,ZMB,2017,20
Zimbabwe,ZWE,2017,3
