Entity,Code,Year,All cancers (%),Bladder (%),Brain and nervous system (%),Breast (%),Cervix uteri (%),Colon and rectum (%),Esophagus  (%),Leukemia (%),Liver (%),Lung and bronchus (%),Myeloma (%),Ovary (%),Pancreas (%),Prostate (%),Skin (%),Stomach (%),Thyroid (%)
"All races, females",,1977,55.9,68.3,24.8,74.8,69.1,50.6,7.5,35.6,6.3,15.3,25.3,36,2.2,,86.3,16.6,92.5
"All races, females",,1980,55,70.4,25.1,74.4,67.4,52.2,5.6,37.3,5.4,16.3,27.5,37.7,3,,87.7,18.9,93.6
"All races, females",,1983,55.1,72.7,25.5,76.1,66.9,54.2,8.2,37.8,5.2,16.4,29.4,38.9,3.1,,87.3,18.7,93.9
"All races, females",,1986,57.6,72.7,28.5,78.9,67.2,57.6,12.1,41.1,9.5,16,26.9,38.4,3.5,,91,20.9,94.3
"All races, females",,1989,59.6,71.9,31,84,70.1,59.3,9.5,41.3,8,15,25.5,38.2,3.7,,91.5,24.3,95.2
"All races, females",,1992,60.9,71.9,29.7,85.2,69.6,61.3,13.4,46,7,15.9,27.9,40.5,4.5,,91.8,25.4,95.5
"All races, females",,1995,61.8,75,31.3,86.4,72.6,60,11.7,46.4,6.1,16.9,31,41.5,4.3,,92.6,22.6,96.7
"All races, females",,1998,63.6,75.4,32,88.2,72.6,62.5,14.4,48,9.1,16.8,30.3,43.9,4.1,,92.7,24.2,96.9
"All races, females",,2001,65.7,77.3,37.6,89.7,72.4,64.1,19.5,49.5,12.2,17.9,31.9,43.9,5,,94.6,25.2,97.1
"All races, females",,2006,66.9,74.8,36,90.2,69.5,66,18.9,58.9,15.6,19.2,42.9,44.3,6.5,,95.2,30.8,98.4
"All races, females",,2013,69.1,74.4,36.2,91.1,68.8,66.6,22.3,61.7,17.8,22.6,51.8,46.7,8.3,,95.7,34.6,98.7
"All races, males",,1977,41.7,73.7,20.7,,,49,4,33,1.8,11.1,23.9,,2.6,67.8,77.5,14.4,91.1
"All races, males",,1980,43.1,75.1,22.4,,,50.2,4.8,35,2.2,11.3,24.4,,2.7,70.1,77.7,14.3,87.2
"All races, males",,1983,45.2,78.1,23,,,53.8,6,36.9,2.9,11.5,25.7,,2.4,72,78.4,16.4,92.2
"All races, males",,1986,47.2,78.1,25.6,,,57.7,8.4,40.1,3.7,11.2,27.7,,2.3,75.2,82.6,15.5,89.8
"All races, males",,1989,51.1,81.3,27.3,,,59.8,9.4,44,3.2,11.9,28.9,,3.3,82.8,84.9,17,91.6
"All races, males",,1992,59.1,81.7,30.5,,,61,11.7,44.6,5,12.1,30.5,,4.1,92.9,87,18.1,90.5
"All races, males",,1995,60.8,82.1,32.9,,,59.8,12.2,48.4,5.3,12.5,32.2,,3.7,95.2,87.3,20.1,91.6
"All races, males",,1998,63,80.4,30.6,,,62.4,13,48.5,8.3,12.9,24.5,,4.6,97.4,89.5,21,91
"All races, males",,2001,66.3,80.9,30.9,,,66.1,17.6,51.9,10.9,13.1,36.8,,5.2,99.3,90.1,23.4,94.3
"All races, males",,2006,68.1,81.9,34.4,,,65.9,18.7,59.9,15.8,14.5,44.9,,5.7,99.6,91.3,26.1,94.9
"All races, males",,2013,69.2,79.2,33.7,,,66.1,20.6,65.2,18.7,16.6,50.4,,9.2,99.2,92,28.9,96.2
"All races, total",,1977,48.9,72.3,22.5,74.8,69.1,49.8,5,34.1,3.4,12.2,24.6,36,2.5,67.8,81.9,15.2,92.1
"All races, total",,1980,49,73.9,23.6,74.4,67.4,51.2,5,36,3.3,12.8,25.9,37.7,2.9,70.1,82.8,16.1,92.1
"All races, total",,1983,50.2,76.7,24.1,76.1,66.9,54,6.6,37.3,3.7,13.1,27.5,38.9,2.7,72,82.8,17.2,93.6
"All races, total",,1986,52.4,76.7,26.9,78.9,67.2,57.7,9.5,40.5,5.7,12.8,27.3,38.4,2.9,75.2,86.6,17.6,93.2
"All races, total",,1989,55.3,79,28.9,84,70.1,59.6,9.4,42.9,4.9,13,27.2,38.2,3.5,82.8,88.1,19.7,94.4
"All races, total",,1992,59.9,79.2,30.2,85.2,69.6,61.2,12.2,45.2,5.6,13.6,29.3,40.5,4.3,92.9,89.2,20.9,94.3
"All races, total",,1995,61.3,80.2,32.2,86.4,72.6,59.9,12.1,47.5,5.6,14.3,31.6,41.5,4,95.2,89.7,21,95.4
"All races, total",,1998,63.3,79.1,31.3,88.2,72.6,62.4,13.4,48.3,8.6,14.6,32.5,43.9,4.4,97.4,91,22.3,95.6
