Entity,Code,Year,All cancers (%)
"All races, females",,1977,55.9
"All races, females",,1980,55
"All races, females",,1983,55.1
"All races, females",,1986,57.6
"All races, females",,1989,59.6
"All races, females",,1992,60.9
"All races, females",,1995,61.8
"All races, females",,1998,63.6
"All races, females",,2001,65.7
"All races, females",,2006,66.9
"All races, females",,2013,69.1
"All races, males",,1977,41.7
"All races, males",,1980,43.1
"All races, males",,1983,45.2
"All races, males",,1986,47.2
"All races, males",,1989,51.1
"All races, males",,1992,59.1
"All races, males",,1995,60.8
"All races, males",,1998,63
"All races, males",,2001,66.3
"All races, males",,2006,68.1
"All races, males",,2013,69.2
"All races, total",,1977,48.9
"All races, total",,1980,49
"All races, total",,1983,50.2
"All races, total",,1986,52.4
"All races, total",,1989,55.3
"All races, total",,1992,59.9
"All races, total",,1995,61.3
"All races, total",,1998,63.3
"All races, total",,2001,66
"All races, total",,2006,67.5
"All races, total",,2013,69.2
"Black, females",,1977,46.2
"Black, females",,1980,45.6
"Black, females",,1983,44.4
"Black, females",,1986,45.5
"Black, females",,1989,47.7
"Black, females",,1992,48.2
"Black, females",,1995,50.6
"Black, females",,1998,52.1
"Black, females",,2001,54.3
"Black, females",,2006,55.8
"Black, females",,2013,60.3
"Black, males",,1977,32.7
"Black, males",,1980,33.3
"Black, males",,1983,34.2
"Black, males",,1986,35.5
"Black, males",,1989,38.9
"Black, males",,1992,47.6
"Black, males",,1995,54.5
"Black, males",,1998,57.9
"Black, males",,2001,61.1
"Black, males",,2006,63.6
"Black, males",,2013,65.9
"Black, total",,1963,27
"Black, total",,1973,31
"Black, total",,1977,39
"Black, total",,1980,39
"Black, total",,1983,38.8
"Black, total",,1986,40.2
"Black, total",,1989,43
"Black, total",,1992,47.9
"Black, total",,1995,52.8
"Black, total",,1998,55.2
"Black, total",,2001,58
"Black, total",,2006,59.9
"Black, total",,2013,63.3
"White, females",,1977,56.5
"White, females",,1980,55.6
"White, females",,1983,56
"White, females",,1986,58.6
"White, females",,1989,60.6
"White, females",,1992,62.1
"White, females",,1995,62.8
"White, females",,1998,64.7
"White, females",,2001,66.8
"White, females",,2006,68.2
"White, females",,2013,70.1
"White, males",,1977,42.7
"White, males",,1980,44.3
"White, males",,1983,46.6
"White, males",,1986,48.6
"White, males",,1989,52.8
"White, males",,1992,60.8
"White, males",,1995,62
"White, males",,1998,64.1
"White, males",,2001,67.5
"White, males",,2006,69.4
"White, males",,2013,70.1
"White, total",,1963,39
"White, total",,1973,43
"White, total",,1977,49.8
"White, total",,1980,50
"White, total",,1983,51.3
"White, total",,1986,53.6
"White, total",,1989,56.7
"White, total",,1992,61.4
"White, total",,1995,62.4
"White, total",,1998,64.4
"White, total",,2001,67.2
"White, total",,2006,68.8
"White, total",,2013,70.1
