Entity,Code,Year,Breast (%)
Algeria,DZA,1999,17.1
Algeria,DZA,2004,29.5
Algeria,DZA,2009,59.8
Argentina,ARG,2004,75.5
Argentina,ARG,2009,76.6
Australia,AUS,1999,84.6
Australia,AUS,2004,86.4
Australia,AUS,2009,86.2
Austria,AUT,1999,78.7
Austria,AUT,2004,81.4
Austria,AUT,2009,82.9
Belgium,BEL,2004,84.8
Belgium,BEL,2009,85.4
Brazil,BRA,1999,78.2
Brazil,BRA,2004,86.9
Brazil,BRA,2009,87.4
Bulgaria,BGR,1999,68
Bulgaria,BGR,2004,71.2
Bulgaria,BGR,2009,73.9
Canada,CAN,1999,83.7
Canada,CAN,2004,85.3
Canada,CAN,2009,85.8
Chile,CHL,1999,73.3
Chile,CHL,2004,76.8
Chile,CHL,2009,77.1
China,CHN,1999,53.8
China,CHN,2004,78
China,CHN,2009,80.9
Colombia,COL,1999,65.7
Colombia,COL,2004,70.4
Colombia,COL,2009,76.1
Croatia,HRV,1999,77.5
Croatia,HRV,2004,75.1
Croatia,HRV,2009,77.9
Cuba,CUB,1999,72.8
Cuba,CUB,2004,73.3
Cuba,CUB,2009,77.7
Cyprus,CYP,2004,88.7
Cyprus,CYP,2009,90.6
Czech Republic,CZE,1999,72.7
Czech Republic,CZE,2004,77.8
Czech Republic,CZE,2009,80
Denmark,DNK,1999,75.8
Denmark,DNK,2004,80.7
Denmark,DNK,2009,82
Ecuador,ECU,1999,68.9
Ecuador,ECU,2004,79.6
Ecuador,ECU,2009,83.2
Estonia,EST,1999,62.3
Estonia,EST,2004,70.4
Estonia,EST,2009,72.4
Finland,FIN,1999,82.8
Finland,FIN,2004,86.5
Finland,FIN,2009,86.8
France,FRA,1999,83.7
France,FRA,2004,86.5
France,FRA,2009,86.9
Germany,DEU,1999,81.2
Germany,DEU,2004,84.1
Germany,DEU,2009,85.3
Iceland,ISL,1999,83
Iceland,ISL,2004,88.1
Iceland,ISL,2009,85.3
India,IND,1999,48.1
India,IND,2004,55.3
India,IND,2009,60.4
Indonesia,IDN,2009,77.7
Ireland,IRL,1999,73.1
Ireland,IRL,2004,77.7
Ireland,IRL,2009,80
Israel,ISR,1999,80.9
Israel,ISR,2004,85.5
Israel,ISR,2009,86.7
Italy,ITA,1999,82.8
Italy,ITA,2004,85.5
Italy,ITA,2009,86.2
Japan,JPN,1999,81.8
Japan,JPN,2004,84.2
Japan,JPN,2009,84.7
Jordan,JOR,2004,57.6
Jordan,JOR,2009,43.1
Latvia,LVA,1999,64.1
Latvia,LVA,2004,69.8
Latvia,LVA,2009,71.1
Lithuania,LTU,1999,65.3
Lithuania,LTU,2004,70.3
Lithuania,LTU,2009,72.1
Malaysia,MYS,1999,64.8
Malaysia,MYS,2004,71.1
Malaysia,MYS,2009,67.8
Malta,MLT,1999,71.3
Malta,MLT,2004,76.3
Malta,MLT,2009,76.3
Mauritius,MUS,2009,87.4
Mongolia,MNG,2009,56.5
Netherlands,NLD,1999,80
Netherlands,NLD,2004,83.5
Netherlands,NLD,2009,85
New Zealand,NZL,1999,79.5
New Zealand,NZL,2004,82.3
New Zealand,NZL,2009,83.7
Norway,NOR,1999,81.5
Norway,NOR,2004,84.1
Norway,NOR,2009,85.9
Poland,POL,1999,66.9
Poland,POL,2004,72.3
Poland,POL,2009,74.1
Portugal,PRT,1999,74.9
Portugal,PRT,2004,81.4
Portugal,PRT,2009,83.4
Puerto Rico,PRI,2004,82.6
Puerto Rico,PRI,2009,83
Qatar,QAT,2009,85.3
Romania,ROU,2009,75
Russia,RUS,2004,62.4
Russia,RUS,2009,70.6
Saudi Arabia,SAU,1999,70.9
Saudi Arabia,SAU,2004,78.4
Slovakia,SVK,2004,74
Slovakia,SVK,2009,72.1
Slovenia,SVN,1999,71.3
Slovenia,SVN,2004,78.3
Slovenia,SVN,2009,80.2
South Africa,ZAF,1999,71.5
South Africa,ZAF,2004,37.9
South Africa,ZAF,2009,53.4
South Korea,KOR,1999,76.7
South Korea,KOR,2004,79.6
South Korea,KOR,2009,82.7
Spain,ESP,1999,77.8
Spain,ESP,2004,82.2
Spain,ESP,2009,83.7
Sweden,SWE,1999,83.8
Sweden,SWE,2004,85.6
Sweden,SWE,2009,86.2
Switzerland,CHE,1999,78.7
Switzerland,CHE,2004,84
Switzerland,CHE,2009,85.5
Taiwan,TWN,1999,77.2
Taiwan,TWN,2004,80.7
Taiwan,TWN,2009,82.4
Thailand,THA,1999,65.9
Thailand,THA,2004,72.9
Thailand,THA,2009,71.3
Tunisia,TUN,1999,85.6
Tunisia,TUN,2004,76.7
Tunisia,TUN,2009,68.4
Turkey,TUR,1999,72.8
Turkey,TUR,2004,81.5
Turkey,TUR,2009,78.6
United Kingdom,GBR,1999,74.2
United Kingdom,GBR,2004,78.7
United Kingdom,GBR,2009,81.1
United States,USA,1999,86
United States,USA,2004,87.9
United States,USA,2009,88.6
