Entity,Code,Year,15.1.1 - Forest area as a proportion of total land area (%) - AG_LND_FRST (%)
Afghanistan,AFG,2000,2.06782
Afghanistan,AFG,2005,2.06782
Afghanistan,AFG,2010,2.06782
Afghanistan,AFG,2015,2.06782
Africa,,2000,22.33551
Africa,,2005,21.78698
Africa,,2010,21.21749
Africa,,2015,20.72245
Albania,ALB,2000,28.07664
Albania,ALB,2005,28.55474
Albania,ALB,2010,28.33212
Albania,ALB,2015,28.15693
Algeria,DZA,2000,0.66296
Algeria,DZA,2005,0.64491
Algeria,DZA,2010,0.80529
Algeria,DZA,2015,0.82125
American Samoa,ASM,2000,90.25
American Samoa,ASM,2005,89.405
American Samoa,ASM,2010,88.56
American Samoa,ASM,2015,87.715
Americas,,2000,42.26014
Americas,,2005,41.67209
Americas,,2010,41.30728
Americas,,2015,41.05598
Andorra,AND,2000,34.04255
Andorra,AND,2005,34.04255
Andorra,AND,2010,34.04255
Andorra,AND,2015,34.04255
Angola,AGO,2000,47.90888
Angola,AGO,2005,47.40836
Angola,AGO,2010,46.90784
Angola,AGO,2015,46.40732
Anguilla,AIA,2000,61.11111
Anguilla,AIA,2005,61.11111
Anguilla,AIA,2010,61.11111
Anguilla,AIA,2015,61.11111
Antigua and Barbuda,ATG,2000,22.72727
Antigua and Barbuda,ATG,2005,22.27273
Antigua and Barbuda,ATG,2010,22.27273
Antigua and Barbuda,ATG,2015,22.27273
Argentina,ARG,2000,11.6418
Argentina,ARG,2005,11.03011
Argentina,ARG,2010,10.44912
Argentina,ARG,2015,9.90686
Armenia,ARM,2000,11.69652
Armenia,ARM,2005,11.6614
Armenia,ARM,2010,11.62627
Armenia,ARM,2015,11.6614
Aruba,ABW,2000,2.33333
Aruba,ABW,2005,2.33333
Aruba,ABW,2010,2.33333
Aruba,ABW,2015,2.33333
Asia,,2000,18.24314
Asia,,2005,18.72527
Asia,,2010,19.0005
Asia,,2015,19.12803
"Asia, Central",,2000,3.04979
"Asia, Central",,2005,3.0666
"Asia, Central",,2010,3.00551
"Asia, Central",,2015,2.98167
Australia,AUS,2000,16.77115
Australia,AUS,2005,16.61495
Australia,AUS,2010,16.0383
Australia,AUS,2015,16.23876
Australia and New Zealand,,2000,17.49025
Australia and New Zealand,,2005,17.34477
Australia and New Zealand,,2010,16.78324
Australia and New Zealand,,2015,16.97717
Austria,AUT,2000,46.50825
Austria,AUT,2005,46.66578
Austria,AUT,2010,46.77484
Austria,AUT,2015,46.8839
Azerbaijan,AZE,2000,10.54644
Azerbaijan,AZE,2005,10.61176
Azerbaijan,AZE,2010,12.19772
Azerbaijan,AZE,2015,13.78368
Bahamas,BHS,2000,51.44855
Bahamas,BHS,2005,51.44855
Bahamas,BHS,2010,51.44855
Bahamas,BHS,2015,51.44855
Bahrain,BHR,2000,0.47686
Bahrain,BHR,2005,0.57584
Bahrain,BHR,2010,0.67609
Bahrain,BHR,2015,0.77635
Bangladesh,BGD,2000,11.27756
Bangladesh,BGD,2005,11.17769
Bangladesh,BGD,2010,11.07782
