Entity,Code,Year,US Hurricanes (hurricanes reaching landfall in the US),Major US Hurricanes (major hurricanes reaching landfall in US),Major North Atlantic Hurricanes (major hurricanes),North Atlantic Hurricanes (hurricanes)
North Atlantic,,1851,2,1,1,3
North Atlantic,,1852,3,1,1,5
North Atlantic,,1853,1,0,2,4
North Atlantic,,1854,3,1,1,3
North Atlantic,,1855,1,1,1,4
North Atlantic,,1856,2,1,2,4
North Atlantic,,1857,1,0,0,3
North Atlantic,,1858,1,0,0,6
North Atlantic,,1859,2,0,1,7
North Atlantic,,1860,3,1,1,6
North Atlantic,,1861,3,0,0,6
North Atlantic,,1862,0,0,0,3
North Atlantic,,1863,0,0,0,5
North Atlantic,,1864,0,0,0,3
North Atlantic,,1865,2,0,0,3
North Atlantic,,1866,1,0,1,6
North Atlantic,,1867,2,0,1,7
North Atlantic,,1868,0,0,0,3
North Atlantic,,1869,4,1,1,7
North Atlantic,,1870,3,0,2,10
North Atlantic,,1871,3,1,2,6
North Atlantic,,1872,0,0,0,4
North Atlantic,,1873,2,1,2,3
North Atlantic,,1874,1,0,0,4
North Atlantic,,1875,1,1,1,5
North Atlantic,,1876,1,0,2,4
North Atlantic,,1877,2,1,1,3
North Atlantic,,1878,2,0,2,10
North Atlantic,,1879,3,2,2,6
North Atlantic,,1880,4,1,2,9
North Atlantic,,1881,2,0,0,4
North Atlantic,,1882,2,1,2,4
North Atlantic,,1883,1,0,2,3
North Atlantic,,1884,0,0,1,4
North Atlantic,,1885,1,0,0,6
North Atlantic,,1886,7,2,4,10
North Atlantic,,1887,4,0,2,11
North Atlantic,,1888,3,1,2,6
North Atlantic,,1889,1,0,0,6
North Atlantic,,1890,0,0,1,2
North Atlantic,,1891,2,0,1,7
North Atlantic,,1892,0,0,0,5
North Atlantic,,1893,5,3,5,10
North Atlantic,,1894,2,1,4,5
North Atlantic,,1895,1,0,0,2
North Atlantic,,1896,3,1,2,6
North Atlantic,,1897,1,0,0,3
North Atlantic,,1898,3,1,1,5
North Atlantic,,1899,3,1,2,5
North Atlantic,,1900,1,1,2,3
North Atlantic,,1901,2,0,0,6
North Atlantic,,1902,0,0,0,3
North Atlantic,,1903,2,0,1,7
North Atlantic,,1904,2,0,0,4
North Atlantic,,1905,0,0,1,1
North Atlantic,,1906,4,1,3,6
North Atlantic,,1907,0,0,0,0
North Atlantic,,1908,1,0,1,6
North Atlantic,,1909,5,3,4,6
North Atlantic,,1910,2,0,1,3
North Atlantic,,1911,2,0,0,3
North Atlantic,,1912,2,0,1,4
North Atlantic,,1913,3,0,0,4
North Atlantic,,1914,0,0,0,0
North Atlantic,,1915,4,2,3,5
North Atlantic,,1916,4,2,5,10
North Atlantic,,1917,1,1,2,2
North Atlantic,,1918,2,1,1,4
North Atlantic,,1919,1,1,1,2
North Atlantic,,1920,1,0,0,4
North Atlantic,,1921,2,1,2,5
North Atlantic,,1922,0,0,1,3
North Atlantic,,1923,1,0,1,4
North Atlantic,,1924,3,0,2,5
North Atlantic,,1925,0,0,0,1
North Atlantic,,1926,4,2,6,8
North Atlantic,,1927,0,0,1,4
North Atlantic,,1928,2,1,1,4
North Atlantic,,1929,2,1,1,3
North Atlantic,,1930,0,0,2,2
North Atlantic,,1931,0,0,1,3
North Atlantic,,1932,2,1,4,6
North Atlantic,,1933,5,2,6,11
North Atlantic,,1934,3,0,1,7
North Atlantic,,1935,2,1,3,5
North Atlantic,,1936,3,0,1,7
North Atlantic,,1937,0,0,1,4
North Atlantic,,1938,2,1,2,4
North Atlantic,,1939,1,0,1,3
North Atlantic,,1940,2,0,0,6
North Atlantic,,1941,2,1,3,4
North Atlantic,,1942,2,1,1,4
North Atlantic,,1943,1,0,2,5
North Atlantic,,1944,3,1,3,8
North Atlantic,,1945,3,2,2,5
North Atlantic,,1946,1,0,0,3
North Atlantic,,1947,3,1,2,5
North Atlantic,,1948,3,1,4,6
North Atlantic,,1949,3,1,2,7
North Atlantic,,1950,3,2,6,11
North Atlantic,,1951,0,0,3,8
North Atlantic,,1952,1,0,2,5
North Atlantic,,1953,3,0,3,7
North Atlantic,,1954,3,2,3,7
North Atlantic,,1955,2,0,4,9
North Atlantic,,1956,1,0,1,4
North Atlantic,,1957,1,1,2,3
North Atlantic,,1958,1,1,3,7
North Atlantic,,1959,3,1,2,7
North Atlantic,,1960,2,1,2,4
North Atlantic,,1961,1,1,7,8
North Atlantic,,1962,0,0,1,3
North Atlantic,,1963,1,0,2,7
North Atlantic,,1964,4,1,6,6
North Atlantic,,1965,1,1,1,4
North Atlantic,,1966,2,0,3,7
North Atlantic,,1967,1,1,1,6
North Atlantic,,1968,1,0,0,4
North Atlantic,,1969,2,1,5,12
North Atlantic,,1970,1,1,2,5
North Atlantic,,1971,3,0,1,6
North Atlantic,,1972,1,0,0,3
North Atlantic,,1973,0,0,1,4
North Atlantic,,1974,1,1,2,4
North Atlantic,,1975,1,1,3,6
North Atlantic,,1976,1,0,2,6
North Atlantic,,1977,1,0,1,5
North Atlantic,,1978,0,0,2,5
North Atlantic,,1979,3,1,2,5
North Atlantic,,1980,1,1,2,9
North Atlantic,,1981,0,0,3,7
North Atlantic,,1982,0,0,1,2
North Atlantic,,1983,1,1,1,3
North Atlantic,,1984,1,0,1,5
North Atlantic,,1985,6,2,3,7
North Atlantic,,1986,2,0,0,4
North Atlantic,,1987,1,0,1,3
North Atlantic,,1988,1,0,3,5
North Atlantic,,1989,3,1,2,7
North Atlantic,,1990,0,0,1,8
North Atlantic,,1991,1,0,2,4
North Atlantic,,1992,1,1,1,4
North Atlantic,,1993,1,1,1,4
North Atlantic,,1994,0,0,0,3
North Atlantic,,1995,2,1,5,11
North Atlantic,,1996,2,1,6,9
North Atlantic,,1997,1,0,1,3
North Atlantic,,1998,3,0,3,10
North Atlantic,,1999,3,1,5,8
North Atlantic,,2000,0,0,3,8
North Atlantic,,2001,0,0,4,9
North Atlantic,,2002,1,0,2,4
North Atlantic,,2003,2,0,3,7
North Atlantic,,2004,6,3,6,9
North Atlantic,,2005,6,4,7,15
North Atlantic,,2006,0,0,2,5
North Atlantic,,2007,1,0,2,6
North Atlantic,,2008,3,0,5,8
North Atlantic,,2009,0,0,2,3
North Atlantic,,2010,0,0,5,12
North Atlantic,,2011,1,0,4,7
North Atlantic,,2012,2,0,2,10
North Atlantic,,2013,0,0,0,2
North Atlantic,,2014,1,0,2,6
North Atlantic,,2015,0,0,2,4
North Atlantic,,2016,2,0,4,7
North Atlantic,,2017,3,2,6,10
