Entity,Code,Year,Freshwater withdrawals per 1000kcal (liters per 1000kcal)
Apples,,2018,375.2083333
Bananas,,2018,190.8333333
Barley,,2018,3.42
Beef (beef herd),,2018,531.5750916
Beef (dairy herd),,2018,994.2490842
Beet Sugar,,2018,62.02279202
Berries & Grapes,,2018,736.1403509
Brassicas,,2018,702.3529412
Cane Sugar,,2018,176.6666667
Cheese,,2018,1448.372093
Citrus Fruit,,2018,258.4375
Coffee,,2018,46.25
Dark Chocolate,,2018,104.5647969
Eggs,,2018,401.1805556
Fish (farmed),,2018,2062.178771
Groundnuts,,2018,319.362069
Lamb & Mutton,,2018,568.7066246
Maize,,2018,47.69485904
Milk,,2018,1047
Nuts,,2018,672.1626016
Oatmeal,,2018,183.9115517
Olive Oil,,2018,242.2850679
Onions & Leeks,,2018,38.64864865
Palm Oil,,2018,0.7239819
Pig Meat,,2018,751.3807531
Potatoes,,2018,80.73770492
Poultry Meat,,2018,356.7567568
Prawns (farmed),,2018,3413.009709
Rapeseed Oil,,2018,26.88914027
Rice,,2018,609.9837222
Root Vegetables,,2018,76.75675676
Sunflower Oil,,2018,114.0158371
Tofu (soybeans),,2018,54.83394834
Tomatoes,,2018,1946.315789
Wheat & Rye,,2018,242.0262173
