Entity,Code,Year,Gender Inequality Index (Human Development Report (2015)) ((index score))
Afghanistan,AFG,2005,0.73900002
Afghanistan,AFG,2010,0.72399998
Afghanistan,AFG,2011,0.713
Afghanistan,AFG,2012,0.70099998
Afghanistan,AFG,2013,0.68900001
Afghanistan,AFG,2014,0.676
Afghanistan,AFG,2015,0.667
Albania,ALB,2000,0.38100001
Albania,ALB,2005,0.33199999
Albania,ALB,2010,0.273
Albania,ALB,2011,0.27900001
Albania,ALB,2012,0.28099999
Albania,ALB,2013,0.27200001
Albania,ALB,2014,0.26699999
Albania,ALB,2015,0.26699999
Algeria,DZA,1995,0.68000001
Algeria,DZA,2000,0.62699997
Algeria,DZA,2005,0.56099999
Algeria,DZA,2010,0.523
Algeria,DZA,2011,0.514
Algeria,DZA,2012,0.43200001
Algeria,DZA,2013,0.42899999
Algeria,DZA,2014,0.42899999
Algeria,DZA,2015,0.42899999
Argentina,ARG,1995,0.43099999
Argentina,ARG,2000,0.42199999
Argentina,ARG,2005,0.37400001
Argentina,ARG,2010,0.37
Argentina,ARG,2011,0.36700001
Argentina,ARG,2012,0.366
Argentina,ARG,2013,0.36399999
Argentina,ARG,2014,0.36399999
Armenia,ARM,1995,0.47099999
Armenia,ARM,2000,0.46700001
Armenia,ARM,2005,0.40599999
Armenia,ARM,2010,0.34400001
Armenia,ARM,2011,0.338
Armenia,ARM,2012,0.317
Armenia,ARM,2013,0.308
Armenia,ARM,2014,0.29899999
Armenia,ARM,2015,0.29300001
Australia,AUS,1995,0.18000001
Australia,AUS,2000,0.16
Australia,AUS,2005,0.139
Australia,AUS,2010,0.138
Australia,AUS,2011,0.133
Australia,AUS,2012,0.131
Australia,AUS,2013,0.124
Australia,AUS,2014,0.123
Australia,AUS,2015,0.12
Austria,AUT,1995,0.18700001
Austria,AUT,2000,0.15099999
Austria,AUT,2005,0.118
Austria,AUT,2010,0.111
Austria,AUT,2011,0.105
Austria,AUT,2012,0.1
Austria,AUT,2013,0.086999997
Austria,AUT,2014,0.082999997
Austria,AUT,2015,0.078000002
Azerbaijan,AZE,2005,0.324
Azerbaijan,AZE,2010,0.317
Azerbaijan,AZE,2011,0.31900001
Azerbaijan,AZE,2012,0.31900001
Azerbaijan,AZE,2013,0.324
Azerbaijan,AZE,2014,0.33000001
Azerbaijan,AZE,2015,0.32600001
Bahamas,BHS,2000,0.38499999
Bahamas,BHS,2005,0.35800001
Bahamas,BHS,2010,0.38299999
Bahamas,BHS,2011,0.38100001
Bahamas,BHS,2012,0.377
Bahamas,BHS,2013,0.37200001
Bahamas,BHS,2014,0.37
Bahamas,BHS,2015,0.36199999
Bahrain,BHR,2005,0.331
Bahrain,BHR,2010,0.241
Bahrain,BHR,2011,0.22499999
Bahrain,BHR,2012,0.22499999
Bahrain,BHR,2013,0.22
Bahrain,BHR,2014,0.22400001
Bahrain,BHR,2015,0.233
Bangladesh,BGD,1995,0.65600002
Bangladesh,BGD,2000,0.63
Bangladesh,BGD,2005,0.59100002
Bangladesh,BGD,2010,0.55900002
Bangladesh,BGD,2011,0.54900002
Bangladesh,BGD,2012,0.542
Bangladesh,BGD,2013,0.53500003
Bangladesh,BGD,2014,0.52700001
Bangladesh,BGD,2015,0.51999998
Barbados,BRB,1995,0.37200001
Barbados,BRB,2000,0.35600001
Barbados,BRB,2005,0.345
Barbados,BRB,2010,0.32100001
Barbados,BRB,2011,0.31299999
Barbados,BRB,2012,0.30700001
Barbados,BRB,2013,0.294
Barbados,BRB,2014,0.29100001
Barbados,BRB,2015,0.29100001
Belarus,BLR,2010,0.15099999
Belarus,BLR,2011,0.148
Belarus,BLR,2012,0.15099999
Belarus,BLR,2013,0.148
Belarus,BLR,2014,0.146
Belarus,BLR,2015,0.14399999
Belgium,BEL,1995,0.163
Belgium,BEL,2000,0.122
Belgium,BEL,2005,0.104
Belgium,BEL,2010,0.093000002
Belgium,BEL,2011,0.090000004
Belgium,BEL,2012,0.086999997
Belgium,BEL,2013,0.083999999
Belgium,BEL,2014,0.075999998
Belgium,BEL,2015,0.072999999
Belize,BLZ,1995,0.51499999
Belize,BLZ,2000,0.48100001
Belize,BLZ,2005,0.46399999
Belize,BLZ,2010,0.42300001
Belize,BLZ,2011,0.41100001
Belize,BLZ,2012,0.39399999
Belize,BLZ,2013,0.384
Belize,BLZ,2014,0.37799999
Belize,BLZ,2015,0.375
Benin,BEN,1995,0.68199998
Benin,BEN,2000,0.67799997
Benin,BEN,2005,0.65600002
Benin,BEN,2010,0.62099999
Benin,BEN,2011,0.62699997
Benin,BEN,2012,0.62099999
Benin,BEN,2013,0.61500001
Benin,BEN,2014,0.60900003
Benin,BEN,2015,0.61299998
Bhutan,BTN,2012,0.48699999
Bhutan,BTN,2013,0.52399999
Bhutan,BTN,2014,0.49599999
Bhutan,BTN,2015,0.477
Bolivia,BOL,2000,0.59100002
Bolivia,BOL,2005,0.55900002
Bolivia,BOL,2010,0.50300002
Bolivia,BOL,2011,0.498
Bolivia,BOL,2012,0.49200001
Bolivia,BOL,2013,0.486
Bolivia,BOL,2014,0.45100001
Bolivia,BOL,2015,0.44600001
Bosnia and Herzegovina,BIH,2010,0.23899999
Bosnia and Herzegovina,BIH,2011,0.20999999
Bosnia and Herzegovina,BIH,2012,0.199
Bosnia and Herzegovina,BIH,2013,0.186
Bosnia and Herzegovina,BIH,2015,0.15800001
Botswana,BWA,1995,0.551
Botswana,BWA,2000,0.52100003
Botswana,BWA,2005,0.523
Botswana,BWA,2010,0.49599999
Botswana,BWA,2011,0.486
Botswana,BWA,2012,0.47799999
Botswana,BWA,2013,0.465
Botswana,BWA,2014,0.44499999
Botswana,BWA,2015,0.435
Brazil,BRA,1995,0.509
Brazil,BRA,2000,0.50300002
Brazil,BRA,2005,0.46900001
Brazil,BRA,2010,0.454
Brazil,BRA,2011,0.44800001
Brazil,BRA,2012,0.44800001
Brazil,BRA,2013,0.43099999
Brazil,BRA,2014,0.41999999
Brazil,BRA,2015,0.414
Bulgaria,BGR,1995,0.373
Bulgaria,BGR,2000,0.336
Bulgaria,BGR,2005,0.25099999
Bulgaria,BGR,2010,0.23199999
Bulgaria,BGR,2011,0.229
Bulgaria,BGR,2012,0.214
Bulgaria,BGR,2013,0.215
Bulgaria,BGR,2014,0.226
Bulgaria,BGR,2015,0.223
Burkina Faso,BFA,2005,0.63599998
Burkina Faso,BFA,2010,0.611
Burkina Faso,BFA,2011,0.60699999
Burkina Faso,BFA,2012,0.602
Burkina Faso,BFA,2013,0.59799999
Burkina Faso,BFA,2015,0.61500001
Burundi,BDI,2000,0.59399998
Burundi,BDI,2005,0.52700001
Burundi,BDI,2010,0.50199997
Burundi,BDI,2011,0.49900001
Burundi,BDI,2012,0.49399999
Burundi,BDI,2013,0.48899999
Burundi,BDI,2014,0.48300001
Burundi,BDI,2015,0.47400001
Cambodia,KHM,1995,0.66000003
Cambodia,KHM,2000,0.59899998
Cambodia,KHM,2005,0.56099999
Cambodia,KHM,2010,0.49200001
Cambodia,KHM,2011,0.48800001
Cambodia,KHM,2012,0.486
Cambodia,KHM,2013,0.48500001
Cambodia,KHM,2014,0.48199999
Cambodia,KHM,2015,0.479
Cameroon,CMR,1995,0.70300001
Cameroon,CMR,2000,0.69300002
Cameroon,CMR,2005,0.66100001
Cameroon,CMR,2010,0.62300003
Cameroon,CMR,2011,0.61799997
Cameroon,CMR,2012,0.61299998
Cameroon,CMR,2013,0.57700002
Cameroon,CMR,2014,0.57200003
Cameroon,CMR,2015,0.56800002
Canada,CAN,1995,0.184
Canada,CAN,2005,0.132
Canada,CAN,2010,0.127
Canada,CAN,2011,0.118
Canada,CAN,2012,0.113
Canada,CAN,2013,0.108
Canada,CAN,2014,0.102
Canada,CAN,2015,0.097999997
Central African Republic,CAF,1995,0.74000001
Central African Republic,CAF,2000,0.70599997
Central African Republic,CAF,2005,0.68400002
Central African Republic,CAF,2010,0.67400002
Central African Republic,CAF,2011,0.65899998
Central African Republic,CAF,2012,0.65600002
Chad,TCD,2015,0.69499999
Chile,CHL,1995,0.47600001
Chile,CHL,2000,0.43399999
Chile,CHL,2005,0.38600001
Chile,CHL,2010,0.359
Chile,CHL,2011,0.352
Chile,CHL,2012,0.347
Chile,CHL,2013,0.329
Chile,CHL,2014,0.32499999
Chile,CHL,2015,0.322
China,CHN,2000,0.25400001
China,CHN,2005,0.228
China,CHN,2010,0.197
China,CHN,2011,0.191
China,CHN,2012,0.184
China,CHN,2013,0.17200001
China,CHN,2014,0.168
China,CHN,2015,0.164
Colombia,COL,1995,0.53799999
Colombia,COL,2000,0.49700001
Colombia,COL,2005,0.484
Colombia,COL,2010,0.43700001
Colombia,COL,2011,0.43099999
Colombia,COL,2012,0.42399999
Colombia,COL,2013,0.42300001
Colombia,COL,2014,0.39899999
Colombia,COL,2015,0.39300001
Congo,COG,2000,0.62300003
Congo,COG,2005,0.625
Congo,COG,2010,0.61699998
Congo,COG,2011,0.61199999
Congo,COG,2012,0.60900003
Congo,COG,2013,0.60600001
Congo,COG,2014,0.59399998
Congo,COG,2015,0.59200001
Costa Rica,CRI,1995,0.463
Costa Rica,CRI,2000,0.428
Costa Rica,CRI,2005,0.347
Costa Rica,CRI,2010,0.32699999
Costa Rica,CRI,2011,0.31999999
Costa Rica,CRI,2012,0.31400001
Costa Rica,CRI,2013,0.308
Costa Rica,CRI,2014,0.31299999
Costa Rica,CRI,2015,0.308
Cote d'Ivoire,CIV,1995,0.70899999
Cote d'Ivoire,CIV,2005,0.69099998
Cote d'Ivoire,CIV,2010,0.68300003
Cote d'Ivoire,CIV,2011,0.67299998
Cote d'Ivoire,CIV,2012,0.67400002
Cote d'Ivoire,CIV,2013,0.671
Cote d'Ivoire,CIV,2014,0.67199999
Cote d'Ivoire,CIV,2015,0.67199999
Croatia,HRV,1995,0.28
Croatia,HRV,2000,0.206
Croatia,HRV,2005,0.164
Croatia,HRV,2010,0.146
Croatia,HRV,2011,0.142
Croatia,HRV,2012,0.13500001
Croatia,HRV,2013,0.12800001
Croatia,HRV,2014,0.12
Croatia,HRV,2015,0.141
Cuba,CUB,1995,0.428
Cuba,CUB,2000,0.39300001
Cuba,CUB,2005,0.34299999
Cuba,CUB,2010,0.32800001
Cuba,CUB,2011,0.322
Cuba,CUB,2012,0.317
Cuba,CUB,2013,0.31099999
Cuba,CUB,2014,0.30700001
Cuba,CUB,2015,0.30399999
Cyprus,CYP,1995,0.347
Cyprus,CYP,2000,0.25799999
Cyprus,CYP,2005,0.14
Cyprus,CYP,2010,0.134
Cyprus,CYP,2011,0.14
Cyprus,CYP,2012,0.138
Cyprus,CYP,2013,0.13500001
Cyprus,CYP,2014,0.12
Cyprus,CYP,2015,0.116
Czech Republic,CZE,1995,0.252
Czech Republic,CZE,2005,0.153
Czech Republic,CZE,2010,0.13500001
Czech Republic,CZE,2011,0.132
Czech Republic,CZE,2012,0.131
Czech Republic,CZE,2013,0.13500001
Czech Republic,CZE,2014,0.134
Czech Republic,CZE,2015,0.12899999
Democratic Republic of Congo,COD,2005,0.667
Democratic Republic of Congo,COD,2010,0.67699999
Democratic Republic of Congo,COD,2012,0.67000002
Democratic Republic of Congo,COD,2013,0.667
Democratic Republic of Congo,COD,2014,0.65700001
Democratic Republic of Congo,COD,2015,0.66299999
Denmark,DNK,1995,0.102
Denmark,DNK,2000,0.075999998
Denmark,DNK,2010,0.056000002
Denmark,DNK,2011,0.050999999
Denmark,DNK,2012,0.048
Denmark,DNK,2013,0.044
Denmark,DNK,2014,0.043000001
Denmark,DNK,2015,0.041000001
Dominican Republic,DOM,1995,0.57099998
Dominican Republic,DOM,2000,0.48500001
Dominican Republic,DOM,2005,0.46900001
Dominican Republic,DOM,2010,0.46700001
Dominican Republic,DOM,2011,0.493
Dominican Republic,DOM,2012,0.447
Dominican Republic,DOM,2013,0.48300001
Dominican Republic,DOM,2014,0.47600001
Dominican Republic,DOM,2015,0.47
Ecuador,ECU,1995,0.58899999
Ecuador,ECU,2000,0.491
Ecuador,ECU,2005,0.454
Ecuador,ECU,2010,0.421
Ecuador,ECU,2011,0.42399999
Ecuador,ECU,2012,0.41800001
Ecuador,ECU,2013,0.405
Ecuador,ECU,2014,0.39399999
Ecuador,ECU,2015,0.391
Egypt,EGY,1995,0.66500002
Egypt,EGY,2000,0.634
Egypt,EGY,2005,0.58099997
Egypt,EGY,2012,0.57499999
El Salvador,SLV,1995,0.52600002
El Salvador,SLV,2000,0.51800001
El Salvador,SLV,2005,0.486
El Salvador,SLV,2010,0.43799999
El Salvador,SLV,2011,0.43700001
El Salvador,SLV,2012,0.41299999
El Salvador,SLV,2013,0.40599999
El Salvador,SLV,2014,0.39700001
El Salvador,SLV,2015,0.384
Estonia,EST,1995,0.38600001
Estonia,EST,2000,0.28400001
Estonia,EST,2005,0.214
Estonia,EST,2010,0.168
Estonia,EST,2011,0.171
Estonia,EST,2012,0.162
Estonia,EST,2013,0.155
Estonia,EST,2014,0.154
Estonia,EST,2015,0.131
Ethiopia,ETH,2005,0.611
Ethiopia,ETH,2010,0.57599998
Ethiopia,ETH,2011,0.56800002
Ethiopia,ETH,2012,0.56
Ethiopia,ETH,2013,0.546
Ethiopia,ETH,2014,0.53100002
Ethiopia,ETH,2015,0.49900001
Fiji,FJI,1995,0.49900001
Fiji,FJI,2005,0.40900001
Fiji,FJI,2014,0.36899999
Fiji,FJI,2015,0.35800001
Finland,FIN,1995,0.103
Finland,FIN,2000,0.085000001
Finland,FIN,2005,0.088
Finland,FIN,2010,0.077
Finland,FIN,2011,0.071999997
Finland,FIN,2012,0.068000004
Finland,FIN,2013,0.064000003
Finland,FIN,2014,0.059999999
Finland,FIN,2015,0.056000002
France,FRA,1995,0.22
France,FRA,2000,0.192
France,FRA,2005,0.156
France,FRA,2010,0.125
France,FRA,2011,0.123
France,FRA,2012,0.108
France,FRA,2013,0.107
France,FRA,2014,0.103
France,FRA,2015,0.102
Gabon,GAB,1995,0.60600001
Gabon,GAB,2000,0.59500003
Gabon,GAB,2005,0.574
Gabon,GAB,2010,0.55800003
Gabon,GAB,2011,0.55599999
Gabon,GAB,2012,0.55199999
Gabon,GAB,2013,0.54900002
Gabon,GAB,2014,0.54699999
Gabon,GAB,2015,0.542
Gambia,GMB,1995,0.74699998
Gambia,GMB,2000,0.73900002
Gambia,GMB,2005,0.64700001
Gambia,GMB,2010,0.662
Gambia,GMB,2011,0.65899998
Gambia,GMB,2012,0.65700001
Gambia,GMB,2013,0.65399998
Gambia,GMB,2014,0.64200002
Gambia,GMB,2015,0.64099997
Georgia,GEO,1995,0.426
Georgia,GEO,2000,0.42199999
Georgia,GEO,2005,0.38800001
Georgia,GEO,2010,0.41999999
Georgia,GEO,2011,0.41600001
Georgia,GEO,2012,0.375
Georgia,GEO,2013,0.36899999
Georgia,GEO,2014,0.36300001
Georgia,GEO,2015,0.361
Germany,DEU,1995,0.156
Germany,DEU,2000,0.13
Germany,DEU,2005,0.117
Germany,DEU,2010,0.097000003
Germany,DEU,2011,0.092
Germany,DEU,2012,0.086999997
Germany,DEU,2013,0.077
Germany,DEU,2014,0.072999999
Germany,DEU,2015,0.066
Ghana,GHA,1995,0.62599999
Ghana,GHA,2005,0.57300001
Ghana,GHA,2010,0.56999999
Ghana,GHA,2011,0.56699997
Ghana,GHA,2013,0.54900002
Ghana,GHA,2014,0.54799998
Ghana,GHA,2015,0.54699999
Greece,GRC,1995,0.28299999
Greece,GRC,2000,0.221
Greece,GRC,2005,0.17900001
Greece,GRC,2010,0.15899999
Greece,GRC,2011,0.148
Greece,GRC,2012,0.134
Greece,GRC,2013,0.12800001
Greece,GRC,2014,0.121
Greece,GRC,2015,0.119
Guatemala,GTM,1995,0.59600002
Guatemala,GTM,2000,0.59899998
Guatemala,GTM,2005,0.56999999
Guatemala,GTM,2010,0.54000002
Guatemala,GTM,2011,0.53100002
Guatemala,GTM,2012,0.523
Guatemala,GTM,2013,0.52200001
Guatemala,GTM,2014,0.50300002
Guatemala,GTM,2015,0.49399999
Guyana,GUY,2000,0.54000002
Guyana,GUY,2005,0.52700001
Guyana,GUY,2010,0.52200001
Guyana,GUY,2011,0.51800001
Guyana,GUY,2012,0.51499999
Guyana,GUY,2013,0.51200002
Guyana,GUY,2014,0.509
Guyana,GUY,2015,0.50800002
Haiti,HTI,2005,0.579
Haiti,HTI,2011,0.597
Haiti,HTI,2012,0.60299999
Haiti,HTI,2013,0.60000002
Haiti,HTI,2014,0.597
Haiti,HTI,2015,0.59299999
Honduras,HND,2000,0.54699999
Honduras,HND,2005,0.51499999
Honduras,HND,2010,0.51300001
Honduras,HND,2011,0.50400001
Honduras,HND,2012,0.495
Honduras,HND,2014,0.46599999
Honduras,HND,2015,0.461
