Entity,Code,Year,Greenhouse gas emissions per 100g protein (kgCO₂eq per 100g protein)
Apples,,2018,14.33333333
Bananas,,2018,9.555555556
Beef (beef herd),,2018,49.88966901
Beef (dairy herd),,2018,16.86930091
Berries & Grapes,,2018,15.3
Brassicas,,2018,4.636363636
Cassava,,2018,14.66666667
Cheese,,2018,10.81521739
Citrus Fruit,,2018,6.5
Coffee,,2018,35.6625
Dark Chocolate,,2018,93.3
Eggs,,2018,4.208723864
Fish (farmed),,2018,5.976759483
Grains,,2018,2.7
Groundnuts,,2018,1.233766234
Lamb & Mutton,,2018,19.85007496
Maize,,2018,1.789473684
Milk,,2018,9.5
Nuts,,2018,0.263319045
Oatmeal,,2018,1.907692308
Onions & Leeks,,2018,3.846153846
Other Pulses,,2018,0.836057917
Peas,,2018,0.441044104
Pig Meat,,2018,7.60815822
Potatoes,,2018,2.705882353
Poultry Meat,,2018,5.698614319
Prawns (farmed),,2018,18.19228165
Rice,,2018,6.267605634
Root Vegetables,,2018,4.3
Tofu (soybeans),,2018,1.975
Tomatoes,,2018,19
Wheat & Rye,,2018,1.286885246
