Entity,Code,Year,Share surviving first 5 years of life (%),Share dying in first 5 years (%)
World,OWID_WRL,1800,56.7,43.3
World,OWID_WRL,1820,57.3,42.7
World,OWID_WRL,1840,59.6,40.4
World,OWID_WRL,1860,58.6,41.4
World,OWID_WRL,1880,62,38
World,OWID_WRL,1900,63.8,36.2
World,OWID_WRL,1920,67.9,32.1
World,OWID_WRL,1940,76.1,23.9
World,OWID_WRL,1960,81.5,18.5
World,OWID_WRL,1961,81.96,18.04
World,OWID_WRL,1962,82.29,17.71
World,OWID_WRL,1963,82.59,17.41
World,OWID_WRL,1964,82.48,17.52
World,OWID_WRL,1965,82.72,17.28
World,OWID_WRL,1966,82.88,17.12
World,OWID_WRL,1967,83.11,16.89
World,OWID_WRL,1968,83.63,16.37
World,OWID_WRL,1969,85.02,14.98
World,OWID_WRL,1970,85.51,14.49
World,OWID_WRL,1971,85.86,14.14
World,OWID_WRL,1972,86.17,13.83
World,OWID_WRL,1973,86.49,13.51
World,OWID_WRL,1974,86.8,13.2
World,OWID_WRL,1975,87.06,12.94
World,OWID_WRL,1976,87.34,12.66
World,OWID_WRL,1977,87.61,12.39
World,OWID_WRL,1978,87.86,12.14
World,OWID_WRL,1979,88.1,11.9
World,OWID_WRL,1980,88.36,11.64
World,OWID_WRL,1981,88.67,11.33
World,OWID_WRL,1982,88.97,11.03
World,OWID_WRL,1983,89.27,10.73
World,OWID_WRL,1984,89.59,10.41
World,OWID_WRL,1985,89.88,10.12
World,OWID_WRL,1986,90.14,9.86
World,OWID_WRL,1987,90.38,9.62
World,OWID_WRL,1988,90.6,9.4
World,OWID_WRL,1990,90.94,9.32
World,OWID_WRL,1991,91.08,9.2
World,OWID_WRL,1992,91.18,9.08
World,OWID_WRL,1993,91.27,8.96
World,OWID_WRL,1994,91.35,8.86
World,OWID_WRL,1995,91.47,8.71
World,OWID_WRL,1996,91.6,8.54
World,OWID_WRL,1997,91.75,8.37
World,OWID_WRL,1998,91.94,8.18
World,OWID_WRL,1999,92.17,7.95
World,OWID_WRL,2000,92.41,7.71
World,OWID_WRL,2001,92.66,7.45
World,OWID_WRL,2002,92.93,7.17
World,OWID_WRL,2003,93.21,6.9
World,OWID_WRL,2004,93.45,6.65
World,OWID_WRL,2005,93.74,6.35
World,OWID_WRL,2006,93.99,6.09
World,OWID_WRL,2007,94.22,5.83
World,OWID_WRL,2008,94.42,5.6
World,OWID_WRL,2009,94.65,5.35
World,OWID_WRL,2010,94.83,5.15
World,OWID_WRL,2011,95.06,4.91
World,OWID_WRL,2012,95.26,4.71
World,OWID_WRL,2013,95.44,4.52
World,OWID_WRL,2014,95.61,4.35
World,OWID_WRL,2015,95.75,4.19
World,OWID_WRL,2016,95.95,4.05
World,OWID_WRL,2017,96.09,3.91
