Entity,Code,Year,
Africa,,1970,163661984
Africa,,1975,188124192
Africa,,1980,216124112
Africa,,1985,248772896
Africa,,1990,282240096
Africa,,1995,312818272
Africa,,2000,342407360
Africa,,2005,374806016
Africa,,2010,411556928
Africa,,2015,445063776
Africa,,2020,468199520
Africa,,2025,480809280
Africa,,2030,488443936
Africa,,2035,494317376
Africa,,2040,497518208
Africa,,2045,496262944
Africa,,2050,489731008
Africa,,2055,479123968
Africa,,2060,466069792
Africa,,2065,451727296
Africa,,2070,436503936
Africa,,2075,420595520
Africa,,2080,404278880
Africa,,2085,387858016
Africa,,2090,371644896
Africa,,2095,355708704
Africa,,2100,340000352
Asia,,1970,854652160
Asia,,1975,942393792
Asia,,1980,989771520
Asia,,1985,1022557696
Asia,,1990,1073736960
Asia,,1995,1125304192
Asia,,2000,1134165888
Asia,,2005,1098881408
Asia,,2010,1076098176
Asia,,2015,1048512960
Asia,,2020,1016215040
Asia,,2025,966250048
Asia,,2030,919933952
Asia,,2035,876642048
Asia,,2040,835628544
Asia,,2045,794947520
Asia,,2050,753593344
Asia,,2055,712676288
Asia,,2060,673786880
Asia,,2065,637898624
Asia,,2070,605086848
Asia,,2075,574598848
Asia,,2080,545543040
Asia,,2085,517447936
Asia,,2090,490528000
Asia,,2095,465260288
Asia,,2100,441839232
Europe,,1970,166128416
Europe,,1975,160373728
Europe,,1980,153564336
Europe,,1985,150282048
Europe,,1990,147575264
Europe,,1995,140214352
Europe,,2000,127606144
Europe,,2005,115854240
Europe,,2010,113936776
Europe,,2015,115985200
Europe,,2020,116211664
Europe,,2025,111482864
Europe,,2030,106140160
Europe,,2035,102332368
Europe,,2040,100992416
Europe,,2045,101198432
Europe,,2050,100971456
Europe,,2055,99270000
Europe,,2060,96746408
Europe,,2065,94495024
Europe,,2070,92953128
Europe,,2075,91715672
Europe,,2080,90106576
Europe,,2085,87845392
Europe,,2090,85184408
Europe,,2095,82578040
Europe,,2100,80248200
Latin America and the Caribbean,,1970,121496400
Latin America and the Caribbean,,1975,132854864
Latin America and the Caribbean,,1980,142566304
Latin America and the Caribbean,,1985,152389216
Latin America and the Caribbean,,1990,160054944
Latin America and the Caribbean,,1995,164339184
Latin America and the Caribbean,,2000,165875872
Latin America and the Caribbean,,2005,166247040
Latin America and the Caribbean,,2010,164390416
Latin America and the Caribbean,,2015,160162096
Latin America and the Caribbean,,2020,153491456
Latin America and the Caribbean,,2025,147105296
Latin America and the Caribbean,,2030,140946224
Latin America and the Caribbean,,2035,135099440
Latin America and the Caribbean,,2040,128957808
Latin America and the Caribbean,,2045,122581264
Latin America and the Caribbean,,2050,116154816
Latin America and the Caribbean,,2055,109888040
Latin America and the Caribbean,,2060,103868240
Latin America and the Caribbean,,2065,98208464
Latin America and the Caribbean,,2070,92921512
Latin America and the Caribbean,,2075,87986672
Latin America and the Caribbean,,2080,83356800
Latin America and the Caribbean,,2085,79017128
Latin America and the Caribbean,,2090,75000840
Latin America and the Caribbean,,2095,71345520
Latin America and the Caribbean,,2100,68019592
Northern America,,1970,65912220
Northern America,,1975,61215088
Northern America,,1980,57499168
Northern America,,1985,58038040
Northern America,,1990,60721480
Northern America,,1995,64289432
Northern America,,2000,66234888
Northern America,,2005,66578352
Northern America,,2010,67901280
Northern America,,2015,68151184
Northern America,,2020,68204208
Northern America,,2025,67732120
Northern America,,2030,69585360
Northern America,,2035,70944688
Northern America,,2040,71909360
Northern America,,2045,72496800
Northern America,,2050,72615728
Northern America,,2055,72659312
Northern America,,2060,73040016
Northern America,,2065,73597080
Northern America,,2070,73870784
Northern America,,2075,73578752
Northern America,,2080,72744480
Northern America,,2085,71646848
Northern America,,2090,70581056
Northern America,,2095,69612680
Northern America,,2100,68566848
Oceania,,1970,6225890
Oceania,,1975,6644790
Oceania,,1980,6725660
Oceania,,1985,6933520
Oceania,,1990,7105800
Oceania,,1995,7493710
Oceania,,2000,7879470
Oceania,,2005,8215260
Oceania,,2010,8686710
Oceania,,2015,8979720
Oceania,,2020,9291240
Oceania,,2025,9402170
Oceania,,2030,9514910
Oceania,,2035,9516050
Oceania,,2040,9470960
Oceania,,2045,9442760
Oceania,,2050,9436720
Oceania,,2055,9417480
Oceania,,2060,9360300
Oceania,,2065,9256580
Oceania,,2070,9114360
Oceania,,2075,8948610
Oceania,,2080,8767370
Oceania,,2085,8570510
Oceania,,2090,8351640
Oceania,,2095,8109370
Oceania,,2100,7849690
World,OWID_WRL,1970,1378077056
World,OWID_WRL,1975,1491606400
World,OWID_WRL,1980,1566251264
World,OWID_WRL,1985,1638973440
World,OWID_WRL,1990,1731434496
World,OWID_WRL,1995,1814459136
World,OWID_WRL,2000,1844169728
World,OWID_WRL,2005,1830582272
World,OWID_WRL,2010,1842570240
World,OWID_WRL,2015,1846854912
World,OWID_WRL,2020,1831613184
World,OWID_WRL,2025,1782781696
World,OWID_WRL,2030,1734564608
World,OWID_WRL,2035,1688851968
World,OWID_WRL,2040,1644477184
World,OWID_WRL,2045,1596929792
World,OWID_WRL,2050,1542503040
World,OWID_WRL,2055,1483035136
World,OWID_WRL,2060,1422871680
World,OWID_WRL,2065,1365183104
World,OWID_WRL,2070,1310450560
World,OWID_WRL,2075,1257424000
World,OWID_WRL,2080,1204797184
World,OWID_WRL,2085,1152385920
World,OWID_WRL,2090,1101290752
World,OWID_WRL,2095,1052614656
World,OWID_WRL,2100,1006523904
