Entity,Code,Year,Global Education Trends (GET) scenario (people),Constant Enrollment Rates (CER) scenario (people),Fast Track (FT) scenario (people)
Africa,,1970,163661984,163661984,163661984
Africa,,1975,188124192,188124192,188124192
Africa,,1980,216124112,216124112,216124112
Africa,,1985,248772896,248772896,248772896
Africa,,1990,282240096,282240096,282240096
Africa,,1995,312818272,312818272,312818272
Africa,,2000,342407360,342407360,342407360
Africa,,2005,374806016,374806016,374806016
Africa,,2010,411556928,411556928,411556928
Africa,,2015,448425408,451055040,445063776
Africa,,2020,480958592,489995040,468199520
Africa,,2025,507724384,526420352,480809280
Africa,,2030,529410240,559410816,488443936
Africa,,2035,546841344,588111872,494317376
Africa,,2040,560525056,613617600,497518208
Africa,,2045,570194816,635450688,496262944
Africa,,2050,575264960,652689920,489731008
Africa,,2055,573139264,664246272,479123968
Africa,,2060,565429952,670120704,466069792
Africa,,2065,554237696,671518848,451727296
Africa,,2070,543082240,670643200,436503936
Africa,,2075,531237152,668576896,420595520
Africa,,2080,517601152,665529600,404278880
Africa,,2085,502304256,661272192,387858016
Africa,,2090,485611200,655936128,371644896
Africa,,2095,468737984,649705280,355708704
Africa,,2100,452220704,642639872,340000352
Asia,,1970,854652160,854652160,854652160
Asia,,1975,942393792,942393792,942393792
Asia,,1980,989771520,989771520,989771520
Asia,,1985,1022557696,1022557696,1022557696
Asia,,1990,1073736960,1073736960,1073736960
Asia,,1995,1125304192,1125304192,1125304192
Asia,,2000,1134165888,1134165888,1134165888
Asia,,2005,1098881408,1098881408,1098881408
Asia,,2010,1076098176,1076098176,1076098176
Asia,,2015,1058224960,1063433856,1048512960
Asia,,2020,1044372736,1063472128,1016215040
Asia,,2025,1015372544,1052311296,966250048
Asia,,2030,980749440,1034675584,919933952
Asia,,2035,944049600,1008416448,876642048
Asia,,2040,910803712,986000960,835628544
Asia,,2045,880450944,968410432,794947520
Asia,,2050,846658432,951677056,753593344
Asia,,2055,810746496,932122304,712676288
Asia,,2060,773324992,909902720,673786880
Asia,,2065,738273792,888180096,637898624
