Entity,Code,Year,Disaster losses as % of global GDP (Munich Re) (% of global GDP)
World,OWID_WRL,1990,0.24
World,OWID_WRL,1991,0.27
World,OWID_WRL,1992,0.31
World,OWID_WRL,1993,0.36
World,OWID_WRL,1994,0.37
World,OWID_WRL,1995,0.45
World,OWID_WRL,1996,0.26
World,OWID_WRL,1997,0.18
World,OWID_WRL,1998,0.38
World,OWID_WRL,1999,0.41
World,OWID_WRL,2000,0.15
World,OWID_WRL,2001,0.13
World,OWID_WRL,2002,0.26
World,OWID_WRL,2003,0.2
World,OWID_WRL,2004,0.36
World,OWID_WRL,2005,0.5
World,OWID_WRL,2006,0.13
World,OWID_WRL,2007,0.18
World,OWID_WRL,2008,0.37
World,OWID_WRL,2009,0.12
World,OWID_WRL,2010,0.25
World,OWID_WRL,2011,0.49
World,OWID_WRL,2012,0.23
World,OWID_WRL,2013,0.18
World,OWID_WRL,2014,0.13
World,OWID_WRL,2015,0.14
World,OWID_WRL,2016,0.24
World,OWID_WRL,2017,0.43
