Entity,Code,Year,Fossil fuels (% electricity production) (% electricity production),Nuclear + Renewables (% electricity production) (% electricity production)
World,OWID_WRL,1990,63.71867868,36.28132132
World,OWID_WRL,1991,63.45972365,36.54027635
World,OWID_WRL,1992,63.53818661,36.46181339
World,OWID_WRL,1993,62.7824135,37.2175865
World,OWID_WRL,1994,63.04760097,36.95239903
World,OWID_WRL,1995,62.65485459,37.34514541
World,OWID_WRL,1996,62.90321135,37.09678865
World,OWID_WRL,1997,63.56216881,36.43783119
World,OWID_WRL,1998,63.98014678,36.01985322
World,OWID_WRL,1999,64.24099881,35.75900119
World,OWID_WRL,2000,64.954821,35.045179
World,OWID_WRL,2001,65.24395919,34.75604081
World,OWID_WRL,2002,65.81868355,34.18131645
World,OWID_WRL,2003,66.9599262,33.0400738
World,OWID_WRL,2004,66.63490506,33.36509494
World,OWID_WRL,2005,66.96827915,33.03172085
World,OWID_WRL,2006,67.2432301,32.7567699
World,OWID_WRL,2007,68.45245654,31.54754346
World,OWID_WRL,2008,67.96583881,32.03416119
World,OWID_WRL,2009,67.31871155,32.68128845
World,OWID_WRL,2010,67.63792172,32.36207828
World,OWID_WRL,2011,68.45318485,31.54681515
World,OWID_WRL,2012,68.2899618,31.7100382
World,OWID_WRL,2013,67.74457179,32.25542821
World,OWID_WRL,2014,67.02688325,32.97311675
