Entity,Code,Year,Coal (TWh),Crude oil (TWh),Hydropower (TWh),Natural gas (TWh),Nuclear (TWh),Other renewables (TWh),Solar (TWh),Traditional biofuels (TWh),Wind (TWh)
World,OWID_WRL,1800,97.2223,0,0,0,0,0,0,5555.555556,0
World,OWID_WRL,1810,127.77788,0,0,0,0,0,0,5833.333333,0
World,OWID_WRL,1820,152.7779,0,0,0,0,0,0,6111.111111,0
World,OWID_WRL,1830,263.8891,0,0,0,0,0,0,6388.888889,0
World,OWID_WRL,1840,355.55584,0,0,0,0,0,0,6944.444444,0
World,OWID_WRL,1850,569.4449,0,0,0,0,0,0,7222.222222,0
World,OWID_WRL,1860,1061.11196,0,0,0,0,0,0,6944.444444,0
World,OWID_WRL,1870,1641.66798,5.55556,0,0,0,0,0,6944.444444,0
World,OWID_WRL,1880,2541.6687,33.33336,0,0,0,0,0,6944.444444,0
World,OWID_WRL,1890,3855.55864,88.88896,13.88888889,33.33336,0,0,0,6666.666667,0
World,OWID_WRL,1900,5727.78236,180.5557,16.66666667,63.88894,0,0,0,6111.111111,0
World,OWID_WRL,1910,8655.56248,397.22254,33.33333333,141.66678,0,0,0,6388.888889,0
World,OWID_WRL,1920,9833.3412,888.8896,63.88888889,233.33352,0,0,0,6944.444444,0
World,OWID_WRL,1930,10125.0081,1755.55696,130.5555556,602.77826,0,0,0,7222.222222,0
World,OWID_WRL,1940,11586.12038,2652.7799,191.6666667,875.0007,0,0,0,7222.222222,0
World,OWID_WRL,1950,12602.78786,5444.4488,333.3333333,2091.66834,0,0,0,7500,0
World,OWID_WRL,1960,15441.67902,11097.2311,688.8888889,4472.2258,0,0,0,8888.888889,0
World,OWID_WRL,1965,16151.96017,18054.69004,919.7702757,6306.370076,25.78689584,17.9852321,0,9162.456946,0
World,OWID_WRL,1966,16332.01679,19442.23715,986.2858717,6871.686791,34.57627093,19.8060069,0,9218.172711,0
World,OWID_WRL,1967,16071.18119,20830.13575,1009.244569,7377.525476,42.4078552,19.98657074,0,9274.227277,0
World,OWID_WRL,1968,16312.60576,22613.21746,1059.06286,8046.478672,52.52310447,22.1200451,0,9330.622704,0
World,OWID_WRL,1969,16825.99292,24534.98916,1122.442526,8835.591838,63.43876256,23.25796438,0,9387.361065,0
World,OWID_WRL,1970,17065.27113,26649.8116,1174.560348,9614.414364,78.40661173,25.69319599,0,9444.444444,0
World,OWID_WRL,1971,16971.04648,28233.71612,1221.63273,10289.89468,110.0047304,27.87916846,0,9498.581964,0
World,OWID_WRL,1972,17161.86462,30399.20981,1276.766396,10858.55694,150.8970728,29.87710082,0,9553.029811,0
World,OWID_WRL,1973,17673.14043,32775.00958,1292.752251,11374.03922,202.6554947,32.08492382,0,9607.789765,0
World,OWID_WRL,1974,17687.80045,32299.54837,1419.046721,11652.60482,263.3878734,33.95881358,0,9662.863614,0
World,OWID_WRL,1975,18031.66073,31973.18489,1440.451903,11657.59717,364.3608367,34.48367863,0,9718.253158,0
World,OWID_WRL,1976,18688.42129,34064.96456,1435.228335,12350.85663,433.3928498,38.46095587,0,9773.960206,0
World,OWID_WRL,1977,19241.4531,35224.40759,1472.559263,12756.89778,535.421645,40.56255723,0,9829.986579,0
World,OWID_WRL,1978,19456.78595,36354.28057,1588.704502,13291.68232,619.3130172,42.96747784,0,9886.334106,0
World,OWID_WRL,1979,20359.51044,36953.1491,1667.584671,14121.9509,639.6327497,46.16932882,0,9943.00463,0
World,OWID_WRL,1980,20856.53098,35506.32689,1698.609443,14238.31962,711.3538908,49.38536385,0,10000,0
World,OWID_WRL,1981,21148.79702,34228.87205,1725.232746,14395.89609,835.9370357,53.15454248,0,10105.91751,0
World,OWID_WRL,1982,21384.22049,33177.85701,1796.883172,14473.22634,916.6454617,61.37055642,0,10212.95688,0
World,OWID_WRL,1983,22040.19421,32981.31709,1879.268978,14706.11331,1029.398713,68.01793274,0,10321.12997,0
World,OWID_WRL,1984,22997.47253,33746.54047,1941.059184,15912.38739,1244.32029,76.00921831,0,10430.44881,0
World,OWID_WRL,1985,23906.3229,33792.84203,1979.586782,16263.14014,1489.132866,77.79223118,0,10540.92553,0.064220202
World,OWID_WRL,1986,24182.95534,34819.31693,2006.719694,16421.36448,1594.949344,85.57913281,0,10652.57239,0.138831313
World,OWID_WRL,1987,25145.10228,35532.11408,2034.519979,17289.17958,1734.946796,91.64285434,0,10765.40179,0.195376768
World,OWID_WRL,1988,25889.97449,36735.8996,2099.11293,18083.52241,1891.48684,94.28072727,0,10879.42625,0.331579798
World,OWID_WRL,1989,26152.07667,37343.11239,2086.54264,18902.85595,1945.242865,104.0343128,0,10994.65842,2.649776768
World,OWID_WRL,1990,25845.88485,37736.94729,2161.045291,19486.64542,2000.642591,116.4628246,0,11111.11111,3.632470516
World,OWID_WRL,1991,25561.41954,37763.14824,2213.110915,19984.58677,2096.356868,121.4122701,0.505223075,11242.7549,4.086706675
World,OWID_WRL,1992,25478.81089,38422.53103,2211.503167,20076.92098,2112.277946,130.3448548,0.468615413,11375.95839,4.733212019
World,OWID_WRL,1993,25580.92144,38179.42324,2344.266136,20275.09431,2185.016841,134.7069628,0.556737928,11510.74008,5.697568819
World,OWID_WRL,1994,25729.64169,39021.80173,2359.685227,20405.36342,2226.050783,139.8004029,0.60006443,11647.11865,7.122929844
World,OWID_WRL,1995,25867.8533,39555.43054,2488.983207,21121.78818,2322.592422,145.5958811,0.640874386,11785.11302,8.261923444
World,OWID_WRL,1996,26516.28457,40480.1731,2523.481143,22143.41796,2407.002623,149.6884804,0.705278679,11924.74234,9.204610762
World,OWID_WRL,1997,26549.71899,41544.67299,2569.633113,22082.05319,2390.480054,160.9528063,0.756655499,12066.02598,12.01757667
World,OWID_WRL,1998,26351.79429,41768.48384,2590.551798,22485.93806,2431.571247,168.4548712,0.880289501,12208.98355,15.91490057
World,OWID_WRL,1999,26492.77461,42510.09274,2608.338262,23107.57158,2524.546817,177.1371664,0.965823997,12414.05573,21.21534431
World,OWID_WRL,2000,27403.94562,43038.62001,2654.953445,24019.89227,2580.976669,185.2722028,1.177935576,12500,31.41996387
World,OWID_WRL,2001,27851.05371,43421.10755,2586.668594,24367.11133,2653.821898,191.0179267,1.463956125,12500,38.39098735
World,OWID_WRL,2002,28936.6423,43796.55068,2633.835653,25108.12839,2696.204132,205.6996386,1.831247734,12470,52.33180737
World,OWID_WRL,2003,31475.58334,44803.21017,2629.430399,25769.17552,2641.599256,217.2027959,2.3293707,12328.70237,62.91691456
World,OWID_WRL,2004,33656.31109,46503.96733,2808.226932,26752.16794,2757.124087,234.3682046,3.054656084,12159.75217,85.11605376
World,OWID_WRL,2005,36118.94545,47115.72728,2918.064831,27537.09099,2769.046942,254.3922875,4.249617769,12076.14729,104.0868359
World,OWID_WRL,2006,37979.81684,47732.19992,3030.307944,28347.57835,2803.605088,271.7633551,5.818328387,11993.11724,132.8592792
World,OWID_WRL,2007,40143.91171,48471.73162,3079.79887,29580.25097,2746.479825,294.2977297,7.864870878,11910.65806,170.6860872
World,OWID_WRL,2008,40712.5427,48250.64229,3263.589026,30321.37836,2737.860822,314.3656167,12.72162081,11828.76583,220.5696719
World,OWID_WRL,2009,40088.33994,47422.36853,3253.601171,29477.9263,2699.245242,338.2157334,21.09259048,11747.43666,275.9292658
World,OWID_WRL,2010,41932.74507,48949.72046,3435.905581,31759.12422,2767.507814,378.0383427,33.82948514,11666.66667,341.5652412
World,OWID_WRL,2011,43948.96889,49455.27172,3503.227091,32410.44868,2651.771616,397.4546676,65.21188479,11553.3766,436.8034429
World,OWID_WRL,2012,44129.62497,50065.86499,3671.297583,33270.53388,2472.44864,430.3624386,100.9252749,11441.18663,523.8148612
World,OWID_WRL,2013,44953.01385,50698.38455,3797.954118,33714.94785,2491.705601,463.9825019,139.0442186,11330.0861,645.7219776
World,OWID_WRL,2014,44916.83781,51109.97172,3887.930335,33986.84723,2541.027341,504.3899227,197.6716635,11220.06442,712.4070431
World,OWID_WRL,2015,43786.8458,52053.27008,3891.408797,34741.88349,2575.664304,538.2067786,260.0058008,11111.11111,831.8262454
World,OWID_WRL,2016,43101.23216,53001.86598,4036.073668,35741.82987,2612.83283,556.9861292,328.1826964,11003.2158,959.4687163
World,OWID_WRL,2017,43397.13549,53752.27638,4059.868393,36703.96587,2635.561104,586.1710901,442.6183606,10895.32049,1122.74585
