Entity,Code,Year,Coal (terawatt-hours),Crude oil (terawatt-hours),Natural gas (terawatt-hours)
World,OWID_WRL,1800,97.2223,0,0
World,OWID_WRL,1810,127.77788,0,0
World,OWID_WRL,1820,152.7779,0,0
World,OWID_WRL,1830,263.8891,0,0
World,OWID_WRL,1840,355.55584,0,0
World,OWID_WRL,1850,569.4449,0,0
World,OWID_WRL,1860,1061.11196,0,0
World,OWID_WRL,1870,1641.66798,5.55556,0
World,OWID_WRL,1880,2541.6687,33.33336,0
World,OWID_WRL,1890,3855.55864,88.88896,33.33336
World,OWID_WRL,1900,5727.78236,180.5557,63.88894
World,OWID_WRL,1910,8655.56248,397.22254,141.66678
World,OWID_WRL,1920,9833.3412,888.8896,233.33352
World,OWID_WRL,1930,10125.0081,1755.55696,602.77826
World,OWID_WRL,1940,11586.12038,2652.7799,875.0007
World,OWID_WRL,1950,12602.78786,5444.4488,2091.66834
World,OWID_WRL,1960,15441.67902,11097.2311,4472.2258
World,OWID_WRL,1965,16151.96017,18054.69004,6306.370076
World,OWID_WRL,1966,16332.01679,19442.23715,6871.686791
World,OWID_WRL,1967,16071.18119,20830.13575,7377.525476
World,OWID_WRL,1968,16312.60576,22613.21746,8046.478672
World,OWID_WRL,1969,16825.99292,24534.98916,8835.591838
World,OWID_WRL,1970,17065.27113,26649.8116,9614.414364
World,OWID_WRL,1971,16971.04648,28233.71612,10289.89468
World,OWID_WRL,1972,17161.86462,30399.20981,10858.55694
World,OWID_WRL,1973,17673.14043,32775.00958,11374.03922
World,OWID_WRL,1974,17687.80045,32299.54837,11652.60482
World,OWID_WRL,1975,18031.66073,31973.18489,11657.59717
World,OWID_WRL,1976,18688.42129,34064.96456,12350.85663
World,OWID_WRL,1977,19241.4531,35224.40759,12756.89778
World,OWID_WRL,1978,19456.78595,36354.28057,13291.68232
World,OWID_WRL,1979,20359.51044,36953.1491,14121.9509
World,OWID_WRL,1980,20856.53098,35506.32689,14238.31962
World,OWID_WRL,1981,21148.79702,34228.87205,14395.89609
World,OWID_WRL,1982,21384.22049,33177.85701,14473.22634
World,OWID_WRL,1983,22040.19421,32981.31709,14706.11331
World,OWID_WRL,1984,22997.47253,33746.54047,15912.38739
World,OWID_WRL,1985,23906.3229,33792.84203,16263.14014
World,OWID_WRL,1986,24182.95534,34819.31693,16421.36448
World,OWID_WRL,1987,25145.10228,35532.11408,17289.17958
World,OWID_WRL,1988,25889.97449,36735.8996,18083.52241
World,OWID_WRL,1989,26152.07667,37343.11239,18902.85595
World,OWID_WRL,1990,25845.88485,37736.94729,19486.64542
World,OWID_WRL,1991,25561.41954,37763.14824,19984.58677
World,OWID_WRL,1992,25478.81089,38422.53103,20076.92098
World,OWID_WRL,1993,25580.92144,38179.42324,20275.09431
World,OWID_WRL,1994,25729.64169,39021.80173,20405.36342
World,OWID_WRL,1995,25867.8533,39555.43054,21121.78818
World,OWID_WRL,1996,26516.28457,40480.1731,22143.41796
World,OWID_WRL,1997,26549.71899,41544.67299,22082.05319
World,OWID_WRL,1998,26351.79429,41768.48384,22485.93806
World,OWID_WRL,1999,26492.77461,42510.09274,23107.57158
World,OWID_WRL,2000,27403.94562,43038.62001,24019.89227
World,OWID_WRL,2001,27851.05371,43421.10755,24367.11133
World,OWID_WRL,2002,28936.6423,43796.55068,25108.12839
World,OWID_WRL,2003,31475.58334,44803.21017,25769.17552
World,OWID_WRL,2004,33656.31109,46503.96733,26752.16794
World,OWID_WRL,2005,36118.94545,47115.72728,27537.09099
World,OWID_WRL,2006,37979.81684,47732.19992,28347.57835
World,OWID_WRL,2007,40143.91171,48471.73162,29580.25097
World,OWID_WRL,2008,40712.5427,48250.64229,30321.37836
World,OWID_WRL,2009,40088.33994,47422.36853,29477.9263
World,OWID_WRL,2010,41932.74507,48949.72046,31759.12422
World,OWID_WRL,2011,43948.96889,49455.27172,32410.44868
World,OWID_WRL,2012,44129.62497,50065.86499,33270.53388
World,OWID_WRL,2013,44953.01385,50698.38455,33714.94785
World,OWID_WRL,2014,44916.83781,51109.97172,33986.84723
World,OWID_WRL,2015,43786.8458,52053.27008,34741.88349
World,OWID_WRL,2016,43101.23216,53001.86598,35741.82987
World,OWID_WRL,2017,43397.13549,53752.27638,36703.96587
