Entity,Code,Year,
Afghanistan,AFG,2009,47.7
Albania,ALB,2009,16
Algeria,DZA,2009,17.3
Angola,AGO,2009,36
Antigua and Barbuda,ATG,2009,15
Argentina,ARG,2009,10.3
Armenia,ARM,2009,12.3
Azerbaijan,AZE,2009,23.3
Bangladesh,BGD,2009,29.3
Belarus,BLR,2009,12.7
Belize,BLZ,2009,17.3
Benin,BEN,2009,51.3
Bhutan,BTN,2009,33.3
Bolivia,BOL,2009,26.7
Bosnia and Herzegovina,BIH,2009,13.7
Botswana,BWA,2009,24.7
Brazil,BRA,2009,16
Bulgaria,BGR,2009,15.3
Burkina Faso,BFA,2009,48.3
Burundi,BDI,2009,39.7
Cambodia,KHM,2009,31
Cameroon,CMR,2009,36.3
Cape Verde,CPV,2009,14.7
Central African Republic,CAF,2009,51
Chad,TCD,2009,43.3
Chile,CHL,2009,8.3
China,CHN,2009,11.3
Colombia,COL,2009,11.7
Comoros,COM,2009,33.7
Congo,COG,2009,29.3
Cook Islands,COK,2009,14.3
Costa Rica,CRI,2009,8.3
Cote d'Ivoire,CIV,2009,44
Croatia,HRV,2009,8
Cuba,CUB,2009,7.7
Democratic Republic of Congo,COD,2009,47.7
Djibouti,DJI,2009,33.7
Dominica,DMA,2009,11.7
Dominican Republic,DOM,2009,13.7
Ecuador,ECU,2009,21
Egypt,EGY,2009,22
El Salvador,SLV,2009,14.3
Equatorial Guinea,GNQ,2009,23
Eritrea,ERI,2009,33.3
Estonia,EST,2009,12.7
Ethiopia,ETH,2009,41.3
Fiji,FJI,2009,15.3
Gabon,GAB,2009,21.7
Gambia,GMB,2009,43.7
Georgia,GEO,2009,22
Ghana,GHA,2009,47.7
Grenada,GRD,2009,15.7
Guatemala,GTM,2009,29.7
Guinea,GIN,2009,41.3
Guinea-Bissau,GNB,2009,40
Guyana,GUY,2009,15.3
Haiti,HTI,2009,30.7
Honduras,HND,2009,20.3
Hungary,HUN,2009,7.3
India,IND,2009,48.3
Indonesia,IDN,2009,27.3
Iran,IRN,2009,25
Iraq,IRQ,2009,28.3
Jamaica,JAM,2009,20.7
Jordan,JOR,2009,14.7
Kazakhstan,KAZ,2009,22
Kenya,KEN,2009,51.7
Kiribati,KIR,2009,25
Kyrgyzstan,KGZ,2009,23
Laos,LAO,2009,38.7
Latvia,LVA,2009,14.7
Lebanon,LBN,2009,18.3
Lesotho,LSO,2009,34.7
Liberia,LBR,2009,45.3
Libya,LBY,2009,16.3
Lithuania,LTU,2009,13.7
Macedonia,MKD,2009,19
Madagascar,MDG,2009,43
Malawi,MWI,2009,49.7
Malaysia,MYS,2009,11.7
Maldives,MDV,2009,30
Mali,MLI,2009,46
Marshall Islands,MHL,2009,32.3
Mauritania,MRT,2009,35.3
Mauritius,MUS,2009,9.7
Mexico,MEX,2009,18
Micronesia (country),FSM,2009,28
Moldova,MDA,2009,18.3
Mongolia,MNG,2009,20
Morocco,MAR,2009,27.3
Mozambique,MOZ,2009,51
Myanmar,MMR,2009,36.3
Namibia,NAM,2009,22.3
Nepal,NPL,2009,35.3
Nicaragua,NIC,2009,11.3
Niger,NER,2009,52
Nigeria,NGA,2009,36
Niue,NIU,2009,15.7
North Korea,PRK,2009,28.7
Oman,OMN,2009,14.3
Pakistan,PAK,2009,26.7
Palau,PLW,2009,13.3
Panama,PAN,2009,16.3
Papua New Guinea,PNG,2009,28.3
Paraguay,PRY,2009,15.7
Peru,PER,2009,21.7
Philippines,PHL,2009,30.7
Poland,POL,2009,12.7
Romania,ROU,2009,17.7
Russia,RUS,2009,14.3
Rwanda,RWA,2009,28.7
Saint Kitts and Nevis,KNA,2009,11.7
Saint Lucia,LCA,2009,13.7
Saint Vincent and the Grenadines,VCT,2009,15
Samoa,WSM,2009,14
Sao Tome and Principe,STP,2009,47.7
Saudi Arabia,SAU,2009,9.7
Senegal,SEN,2009,32.7
Seychelles,SYC,2009,9
Sierra Leone,SLE,2009,50
Slovakia,SVK,2009,12.7
Solomon Islands,SLB,2009,23.3
South Africa,ZAF,2009,18.3
Sri Lanka,LKA,2009,22.3
Sudan,SDN,2009,36
Suriname,SUR,2009,14
Swaziland,SWZ,2009,33
Syria,SYR,2009,21.7
Tajikistan,TJK,2009,28.3
Tanzania,TZA,2009,35
Thailand,THA,2009,14.7
Timor,TLS,2009,39
Togo,TGO,2009,29.3
Tonga,TON,2009,11.7
Trinidad and Tobago,TTO,2009,10.3
Tunisia,TUN,2009,12.3
Turkey,TUR,2009,14.7
Turkmenistan,TKM,2009,22.7
Tuvalu,TUV,2009,17.3
Uganda,UGA,2009,34.3
Ukraine,UKR,2009,20
Uruguay,URY,2009,12.3
Uzbekistan,UZB,2009,30.7
Vanuatu,VUT,2009,21.7
Venezuela,VEN,2009,13
Vietnam,VNM,2009,24
Yemen,YEM,2009,39.7
Zambia,ZMB,2009,42
Zimbabwe,ZWE,2009,33.7
